AAADL: ALADA
AANVÇ: ÇAVAN
AANWY: WAYAN
AANWÇ: ANÇWA
AAOPW: APAWO
AAPPP: PAPAP
AAPPY: PAPAY
AAPRT: ATRAP
AAPRÂ: APARÂ
AAPST: SAPAT
AAPSW: PASWA
       PAWAS
AAPSY: PASAY
       PAYAS
AAPTT: PATAT
AAPTÇ: PAÇAT
AARRY: RARYA
AARWZ: RAZWA
AASSÊ: ASASÊ
AASTÛ: ATÛSA
AATTÂ: ATÂTA
AATTÔ: ATATÔ
AATÂÇ: ATAÇÂ
AAWYÛ: AWÛYA
ABBEL: BABEL
ABBEY: BABYE
ABBIL: LABIB
ABBIN: BABIN
ABBIÇ: BABIÇ
ABBMÛ: BÛMBA
ABBNÊ: BANBÊ
ABBNÛ: BANBÛ
ABBOO: ABOBO
ABBOP: POBAB
ABDDO: ADBOD
ABDEN: BANDE
ABDEO: ABODE
ABDET: DEBAT
ABDEV: ADVEB
ABDIN: BADIN
       BANDI
ABDIR: DIRAB
ABDJÂ: BÂDAJ
ABDJÛ: DJÛBA
ABDNO: BANDO
       BONDA
       DONAB
ABDNÊ: BADNÊ
ABDNÔ: DÔNAB
ABDNÛ: BÛNDA
ABDOY: BADYO
ABDRÛ: BÛRAD
ABDÂÔ: ABÔDÂ
ABEES: ABESE
ABEFL: BAFLE
ABEFR: BAFRE
ABEFW: BAFWE
ABEFZ: FEZAB
ABEGL: BLAGE
       GABEL
       LEGBA
ABEGT: BAGET
ABEIM: ABIME
ABEIT: ABITE
ABEIY: ABIYE
ABEIZ: ABIZE
       AZIBE
ABEJL: ALJEB
ABEJN: JANBE
ABEKN: BEKAN
ABEKR: BRAKE
       KABRE
       KRABE
ABEKS: KABES
ABEKÂ: ÂBAKE
ABELM: BLAME
ABELN: ABLEN
       BALEN
       LANBE
ABELO: EBOLA
ABELR: LEBRA
ABELS: SABLE
ABELV: VEBAL
ABELZ: BLAZE
ABELÂ: ÂBALE
ABEMT: BATEM
ABENO: ABONE
ABENP: PENBA
ABENS: ANBES
       BASEN
ABENW: BENWA
ABENY: ANBYE
       BANYE
ABENZ: BAZEN
ABENÇ: ÇABEN
ABEOR: AREBO
ABERS: BRASE
ABERT: BARET
       REBAT
ABERY: BARYE
ABEST: ESTAB
ABETV: BAVET
ABETW: BWATE
ABETY: BETAY
ABETÂ: ÂBATE
ABEWY: BWAYE
ABEWZ: BWAZE
ABFNO: BAFON
ABFWÔ: BÔFWA
ABGIJ: GABJI
ABGIY: BIGAY
ABGLO: GALBO
ABGLÛ: BÛLGA
ABGMÛ: GÛMBA
ABGNÛ: GÛNBA
ABGOÂ: ÂBAGO
ABGYÔ: GABYÔ
ABIIS: ISIBA
ABIKR: BARIK
ABIKÇ: KABIÇ
ABILM: LABIM
ABILN: BILAN
       LANBI
ABILO: ABOLI
ABILS: BALIS
ABILT: TABLI
ABILY: BLAYI
ABILZ: BALIZ
       BAZIL
ABIMN: MINAB
ABIMÂ: ABIMÂ
ABIMÊ: ABIMÊ
ABINR: RIBAN
ABINT: BITAN
ABINÇ: ÇABIN
ABIRT: BATRI
ABIST: BATIS
ABISW: SIBWA
ABISY: BASIY
ABITY: TIBYA
ABITÂ: ABITÂ
ABITÛ: ABÛTI
ABIVV: VIVAB
ABIZÂ: ABIZÂ
ABJLO: BOJLA
ABJNÔ: BÔJAN
       JANBÔ
ABJWÛ: BÛJWA
ABKLO: BOKAL
ABKLÂ: BÂKAL
       LABÂK
ABKLÔ: BALKÔ
ABKNO: KABON
       KONBA
ABKNÂ: KABÂN
ABKNÛ: BÛKAN
ABKOT: TABOK
ABKOW: BAWOK
ABKOY: KOBAY
ABKOÇ: KABOÇ
ABKPÛ: KÛPAB
ABKRÂ: BRÂKA
ABKTÔ: KÔBAT
       KÔTAB
ABLMO: ALBOM
ABLMÛ: MABÛL
ABLNO: BALON
ABLNÂ: BÂNAL
ABLNÇ: BLANÇ
ABLNÊ: BALÊN
ABLOS: BOSAL
ABLOT: TABLO
ABLSÂ: BALÂS
ABLSÊ: SÊBAL
ABLTÊ: TÊBAL
ABLVÛ: BÛLVA
ABLÂÂ: ÂBALÂ
ABLÂÇ: BLÂÇA
ABMNO: MANBO
ABMNÂ: BAMÂN
ABNOP: PABON
       POBAN
ABNOT: BATON
       NOTAB
ABNOW: BAWON
ABNOÇ: ÇABON
ABNOÊ: ABONÊ
ABNRÇ: BRANÇ
ABNTÛ: TANBÛ
ABNYÊ: ANBYÊ
ABORV: BRAVO
ABOVW: BOVWA
ABPWÊ: BWAPÊ
ABPWÛ: PÛBWA
ABRVÛ: BRAVÛ
       ÛVRAB
ABSSÂ: ABSÂS
ABSTÊ: ABSÊT
ABSWÔ: BÔSWA
       BWASÔ
ABSYÛ: BYASÛ
ABTVÂ: BAVÂT
ABVZÛ: BÛVAZ
ABWWÔ: BWAWÔ
ABWYÛ: BÛYWA
ABWZÂ: ÂBWAZ
ABYYÛ: BÛYAY
ADDEG: DEGAD
ADEFN: FADEN
ADEFO: ADEFO
ADEGJ: DJAGE
       GADJE
ADEGR: GRADE
ADEGY: DYAGE
ADEJK: DJAKE
ADEJN: DANJE
       DEJAN
       JADEN
ADEJW: DEJWA
ADEKO: AKODE
ADEKR: KADRE
ADEKW: DEKWA
ADEKY: DYAKE
ADEKÇ: ÇADEK
ADELP: PEDAL
ADEMM: MEDAM
ADEMN: MANDE
ADEMR: MADER
       MADRE
ADEMS: DESAM
ADEMT: ADMET
ADEMY: DAMYE
       MEDAY
ADEMÇ: DEMAÇ
ADEMÊ: ADEMÊ
ADENP: DEPAN
       PEDAN
       PENDA
ADENR: DANRE
ADENS: DANSE
       DESAN
ADENT: DETAN
       TANDE
ADENV: DEVAN
ADENW: ADWEN
ADENY: ANDEY
ADENZ: DEZAN
ADEOR: ADORE
ADEPR: DAPRE
       PADRE
ADERS: ADRES
ADERY: DYARE
ADEST: ESTAD
ADESV: DEVAS
ADESZ: DEZAS
ADETW: DETWA
       DWATE
       TWADE
ADETY: DETAY
ADEVW: DEVWA
ADEYÇ: DEÇAY
ADFIN: DAFNI
ADFNÛ: FÛNDA
ADGIR: GADRI
ADGIT: DATIG
ADGKO: GADKO
ADGLÂ: ÂGLAD
ADGNO: GONAD
ADGRÊ: GRADÊ
ADGRÔ: DRAGÔ
ADGYÊ: GADYÊ
ADGYÛ: GÛYAD
ADIJY: DJAYI
ADIKT: DIKTA
ADIKÂ: ÂDAKI
ADIMS: SAMDI
ADINR: DIRAN
ADINS: SADIN
ADINT: DANTI
       DITAN
ADINV: DIVAN
ADINW: DAWIN
ADINZ: DIZAN
ADIPR: RAPID
ADIPS: PADSI
ADIRT: IDRAT
ADISW: DISWA
ADISÛ: ADÛSI
ADITW: DWATI
ADIWÔ: AWÔDI
ADIYY: DYAYI
ADJMN: DJANM
ADJMO: DOMAJ
ADJMÂ: JÂDAM
ADJWÊ: ADJWÊ
ADKKO: KODAK
       KOKAD
ADKLÛ: DÛKLA
ADKOS: KODAS
ADKOÊ: ADOKÊ
ADKRÂ: KADRÂ
ADKSÂ: KADÂS
ADLMO: LAMOD
ADLNÂ: LADÂN
ADLOS: SOLDA
ADLPÔ: DAPLÔ
ADLPÛ: PALÛD
ADLSÂ: SÂDAL
ADLSÛ: LASÛD
ADMMÂ: MADÂM
ADMNO: NOMAD
ADMNY: DYANM
ADMNÊ: DANMÊ
ADMOP: POMAD
ADMOS: MOSAD
ADMPÔ: PÔMAD
ADMTÛ: MÛTAD
ADMYÂ: DYAMÂ
ADNNO: DANNO
       DONAN
ADNNÂ: ÂNDAN
       ANNDÂ
ADNNÔ: DÔNAN
ADNOP: PADON
ADNOT: DOTAN
       TONAD
ADNPÂ: PÂDAN
       PANDÂ
ADNPÛ: ANPÛD
ADNRÎ: RANDÎ
ADNTÔ: TANDÔ
ADNVÛ: DÛVAN
ADNWY: DWANY
ADNZÛ: DÛZAN
ADNÇÊ: ÇÊDAN
ADNÊÔ: ADÔNÊ
ADOPR: DRAPO
ADORT: RADOT
ADORY: RADYO
ADPSÛ: PÛSAD
ADPTÊ: PÊTAD
ADWÇÔ: ÇADWÔ
ADYÂÇ: ÇÂDAY
AEEFS: AFESE
       EFASE
AEEGL: EGALE
AEEGR: EGARE
AEEJT: ETAJE
AEEKL: ALEKE
AEEKT: EKATE
AEELL: ALELE
AEELT: ETALE
AEELW: ALEWE
AEEMY: EMAYE
AEEPZ: APEZE
AEERT: ARETE
AEFIM: AFIME
AEFIÇ: AFIÇE
AEFJM: FEMAJ
AEFJR: JEFRA
AEFJY: FEYAJ
AEFKL: FEKAL
AEFKT: FAKTE
AEFKW: KWAFE
AEFLN: ANFLE
       LAFEN
       LANFE
AEFLR: RAFLE
AEFLT: FLATE
AEFLZ: FALEZ
AEFLÂ: ÂFALE
AEFLÇ: FLAÇE
AEFMN: FEMAN
AEFMT: FEMAT
AEFMÊ: AFEMÊ
AEFNN: ANFEN
AEFNP: PAFEN
AEFNW: FENWA
AEFNZ: FEZAN
AEFNÂ: ÂNAFE
AEFNÇ: ANÇEF
AEFOÇ: EÇAFO
AEFPR: FRAPE
AEFPY: PYAFE
AEFRW: FWARE
AEFRY: FERAY
AEFRZ: FRAZE
AEFST: ESTAF
       SAFTE
AEFSW: FWASE
AEFTY: FETAY
AEFTÛ: ATÛFE
AEFVÂ: ÂFAVE
AEFWY: FWAYE
AEGJR: GRAJE
AEGJÂ: ÂGAJE
AEGLL: LEGAL
AEGLM: GAMEL
AEGLN: ANGLE
AEGLP: PELAG
AEGLS: GLASE
       LASEG
AEGLT: GALET
AEGMR: GRAME
AEGMT: GAMET
AEGNR: ANGRE
       ANREG
       ENGRA
       GRENA
AEGNT: GANTE
       TANGE
AEGNY: GANYE
AEGNZ: ZENGA
AEGNÂ: ÂNEGA
AEGRT: GRATE
AEGRV: GRAVE
AEGTZ: EGZAT
       GAZET
AEGTÂ: AGÂTE
AEGTÇ: GAÇET
AEIJL: ALEJI
       ELAJI
AEIJT: AJITE
AEIKL: AKILE
AEIKY: AKEYI
AEIKZ: AKIZE
AEILN: ANILE
AEILT: ALITE
AEILZ: ALIZE
AEIMN: AMINE
       ANEMI
       ANIME
AEIMZ: AMEZI
       AMIZE
AEINP: EPINA
AEIPS: APESI
AEIPT: APETI
AEIPY: APIYE
AEIRS: ASIRE
AEIRT: ATERI
       ATIRE
AEITV: AVETI
AEIVZ: AVIZE
AEIYZ: EZAYI
AEJKN: KANJE
AEJKW: JEKWA
AEJLN: LANEJ
AEJLS: LAJES
AEJLV: ELVAJ
AEJLÑ: LAJEÑ
AEJLÔ: ALÔJE
AEJMN: MANJE
       MENAJ
AEJMS: MESAJ
AEJNN: JENAN
AEJNO: AJENO
AEJNR: JERAN
       RANJE
AEJNS: SEJAN
AEJNT: JANTE
AEJNV: VAJEN
       VANJE
AEJNY: JEYAN
AEJNÇ: ÇANJE
       EÇANJ
AEJNÛ: AJENÛ
       AJÛNE
AEJRT: JARET
       TRAJE
AEJRÂ: ÂRAJE
AEJTÂ: AJÂTE
AEJTÛ: AJÛTE
AEJWY: JWAYE
AEJÂÇ: ÂÇAJE
AEKKR: AKREK
       KRAKE
AEKKW: KWAKE
AEKKÂ: ÂKAKE
AEKLM: KALME
AEKLN: KALEN
       KANEL
AEKLP: PEKAL
       PLAKE
AEKLR: LAKRE
       RAKLE
AEKLS: KLASE
       SAKLE
AEKLT: KALTE
       KATEL
       KLATE
       LAKET
AEKLV: KALVE
AEKLY: KALYE
AEKLÊ: ALEKÊ
AEKMN: MANKE
AEKMR: KAREM
       REMAK
AEKMS: MASKE
AEKMT: MAKET
AEKNP: ENPAK
       KANPE
AEKNR: EKRAN
       RENKA
AEKNS: KANSE
AEKNT: ANKET
       NEKTA
       TAKEN
AEKNY: KAYEN
AEKNZ: KAZEN
AEKNÊ: ÊKANE
AEKOT: AKOTE
AEKPS: PASKE
AEKPT: KAPTE
       PAKET
AEKPW: KWAPE
AEKRS: KARES
       SAKRE
AEKRT: KARET
       KATRE
       RAKET
AEKRZ: KRAZE
AEKRÇ: KRAÇE
AEKST: KASET
AEKSW: SEKWA
AEKTT: TAKET
       TAKTE
AEKTY: KATYE
       TYAKE
AEKTZ: AZTEK
       EKZAT
AEKTÇ: KAÇTE
       KEÇAT
       TÇAKE
AEKWZ: KWAZE
AEKYÂ: AKEYÂ
AEKÇÛ: AKÛÇE
AELLN: LALEN
AELLS: LASEL
AELMN: LANME
       LEMAN
       MALEN
AELMR: MAREL
AELMS: LAMES
       MASEL
       MELAS
AELMT: MALET
       METAL
AELMÑ: MALEÑ
AELNO: ALONE
AELNP: LAPEN
       PLANE
AELNR: LAREN
       RENAL
AELNS: ASLEN
       LANSE
AELNT: LETAN
AELNV: ALVEN
       LANVE
AELOP: OPALE
AELPR: PRALE
       PRELA
AELPS: PLASE
AELPT: PALET
       PETAL
AELPY: LAPYE
AELPÇ: ÇAPEL
       ÇAPLE
       LAPEÇ
AELST: LASET
       SALTE
AELSV: VALSE
AELSW: LESWA
AELSY: LASYE
       SALYE
AELTT: ATLET
AELTV: TAVLE
       VALET
AELTW: ETWAL
AELTÇ: LATÇE
AELTÑ: LATEÑ
AELVW: VWALE
AELVY: LAVEY
AELVÂ: ALÂVE
AELVÇ: ÇEVAL
AELVÊ: ALEVÊ
AELWY: LWAYE
AELYÇ: ÇALYE
AEMMN: MANME
AEMMW: MEMWA
AEMNP: PEMAN
AEMNR: MAREN
AEMNS: SEMAN
AEMNT: MANTE
       MATEN
       METAN
AEMNV: MANEV
AEMNW: ANMWE
AEMNY: MANYE
AEMNZ: MANZE
AEMNÇ: MANÇE
       MEÇAN
AEMOS: AMOSE
AEMRT: TREMA
AEMRY: MARYE
       RAMYE
AEMRÛ: AMÛRE
AEMST: MASTE
AEMTY: MATYE
       MAYET
AEMTZ: MAZET
AEMWY: MWAYE
AEMWÇ: MAÇWE
AENNP: APENN
AENNR: RENNA
AENNT: ANTEN
       TANNE
AENNV: ANVEN
       NEVAN
AENNY: ANYEN
AENPR: ANPRE
AENPS: ENPAS
       PANSE
       SEPAN
AENPT: ETANP
       TANPE
AENPV: ENPAV
AENPY: PANYE
       PAYEN
AENPÇ: PANÇE
AENRS: RANSE
AENRT: ANTRE
AENRY: ARYEN
AENRÇ: ÇERAN
AENSS: ESANS
       SANSE
AENST: ANSET
       SANTE
       SATEN
AENSV: EVANS
       SAVEN
       VANSE
AENSÔ: ANÔSE
AENTT: ANTET
       TANTE
AENTV: NAVET
       VANTE
AENTW: WETAN
AENTY: TENAY
AENTÇ: ÇANTE
AENVY: VANYE
AENWY: NWAYE
AEORT: ORATE
AEOTV: AVOTE
AEOWZ: AWOZE
AEPPP: PEPAP
AEPPY: PAPYE
AEPRS: PARES
AEPRT: PARET
       TRAPE
AEPRY: PAREY
       PARYE
AEPRZ: RAPEZ
AEPRÂ: ÂPARE
AEPST: PASTE
AEPSW: ESPWA
AEPTY: PAYET
AEPTÂ: APÂTE
AEPTÇ: PATÇE
AEPYÂ: ÂPAYE
AERST: TERAS
       TRASE
AERSW: SWARE
AERTV: RAVET
       TRAVE
AERTY: RETAY
AERTÂ: ÂRETA
AERTÇ: ÇARET
       ÇATRE
AERVY: VARYE
AERVZ: VAREZ
AERYÇ: ÇARYE
AESSÂ: ASÂSE
AESTT: ESTAT
AESTY: ASYET
AESVÂ: AVÂSE
AESWÂ: AWESÂ
AESWÇ: SEÇWA
AESZÔ: ASEZÔ
AETTW: ETWAT
AETTY: TEYAT
AETWZ: TWAZE
AETWÛ: AWÛTE
AETYZ: TAYEZ
AETYÇ: ÇATYE
AFGIT: FATIG
AFIJR: JIRAF
AFIKN: KANIF
AFIKT: AKTIF
       FAKTI
AFIKW: KWAFI
AFILS: FASIL
       SILFA
AFIMN: FAMIN
       FANMI
AFIMS: MASIF
AFINN: NANFI
AFINR: FARIN
AFINT: NATIF
AFINY: NAYIF
AFINÇ: FAÇIN
AFISS: SIFAS
AFISÇ: FAÇIS
AFITY: FAYIT
AFIWZ: WAZIF
AFKLN: FLANK
AFKLO: FOKAL
AFKLÔ: FLAKÔ
AFKLÛ: KALFÛ
AFLMN: FLANM
AFLMÂ: FLAMÂ
AFLNN: FLANN
AFLNO: LAFON
AFLNÂ: FÂNAL
AFLOR: RALFO
AFLPÔ: PLAFÔ
AFLYÛ: FÛLAY
AFMNO: ANFOM
AFNOR: RANFO
AFNOS: FASON
AFNOW: AFWON
AFOYÇ: ÇOFAY
AFPRÂ: FRAPÂ
AFSWÂ: SÂFWA
AFSYÂ: FAYÂS
AGGIT: GAGIT
AGGNÂ: GÂGAN
       GAGÂN
       GANGÂ
AGGNÊ: GÊGAN
AGGOO: AGOGO
AGGOT: GAGOT
AGILR: GALRI
AGILS: GLASI
AGILÛ: AGÛLI
AGIMÂ: AGIMÂ
AGINO: AGONI
AGINP: PINGA
AGINW: IGWAN
AGINZ: ANGIZ
       ZANGI
AGITÛ: AGÛTI
AGJLÂ: LÂGAJ
AGJLÊ: LAJÊG
AGJNO: JAGON
AGKLÛ: KAGÛL
AGKRÂ: KARÂG
AGLLÛ: LÛGAL
AGLMÊ: MALÊG
AGLMÛ: MAGÛL
AGLNN: GLANN
AGLNO: GALON
AGLNÔ: LÔGAN
AGLOP: GALOP
AGLTÊ: LATÊG
AGMNO: MANGO
AGMNÊ: ÊGANM
AGMÂÂ: AGÂMÂ
AGNNR: GRANN
AGNNÛ: ÛNGAN
AGNOS: GASON
AGNOV: ANVOG
AGNOW: ANGWO
       GWANO
AGNOY: YOGAN
AGNOZ: GAZON
AGNOÇ: ÇANGO
AGNRÂ: ÂGRAN
       ANGRÂ
AGNRÊ: ANGRÊ
       GRÊNA
AGNTÊ: GÊTAN
AGOWÂ: AWOGÂ
AGOYZ: GAZOY
AGRTÊ: GRATÊ
AGRTÔ: GRATÔ
AGRYÔ: GARYÔ
AGRÇÊ: ÇAGRÊ
AGVYÛ: GÛYAV
AGVÂÛ: AVÂGÛ
AIILV: AVILI
AIJKM: MAJIK
AIJKN: KIJAN
AIJKS: JISKA
AIJLV: VILAJ
AIJLZ: LIZAJ
AIJMN: JIMAN
AIJMR: MIRAJ
AIJNN: ANJIN
AIJNS: IJANS
AIJNT: JANTI
AIJRT: TIRAJ
AIJRV: RIVAJ
       VIRAJ
AIKKN: KANIK
       KIKAN
AIKKS: KASIK
AIKKZ: ZIKAK
AIKLM: KALMI
       KLIMA
AIKLT: TIKAL
AIKMN: KINAM
AIKMR: MIRAK
AIKMY: KAMIY
AIKNN: ANNIK
       KANNI
       KINAN
AIKNP: PAKIN
       PIKAN
AIKNT: ANTIK
AIKNY: YANKI
AIKPW: PIKWA
AIKPY: KIPAY
AIKPZ: ZIKAP
AIKPÛ: AKÛPI
AIKST: SAKIT
       TAKSI
AILLN: LALIN
AILLP: LAPLI
AILLV: LAVIL
AILLY: LALIY
AILLÑ: LALIÑ
AILMP: APLIM
AILMR: LARIM
AILMS: ISLAM
       MALIS
AILMT: MILAT
AILMY: MALIY
       MILYA
AILMÂ: ALIMÂ
AILNP: ANPIL
AILNS: SALIN
AILNV: LAVNI
AILNY: ANLIY
AILPT: PILAT
       PLATI
AILRT: ILTRA
AILRV: AVRIL
AILSS: SISAL
AILSV: SALIV
AILSY: SIYAL
AILSZ: SIZAL
AILTV: VITAL
AILVZ: VALIZ
AILVÇ: ÇIVAL
AILYÊ: ALIYÊ
AIMMT: MAMIT
AIMNO: AMONI
AIMNP: PIMAN
AIMNR: MARIN
AIMNS: SIMAN
AIMNT: MANTI
       MITAN
AIMNZ: ANZIM
       ZANMI
AIMNÇ: MAÇIN
AIMOT: AMOTI
AIMRY: MIRAY
AIMWZ: MWAZI
AIMYÛ: MIYAÛ
AIMZÂ: AMIZÂ
AINNR: RANNI
AINOV: ANIVO
AINPT: PANTI
       TANPI
AINPV: PAVNI
AINRS: RASIN
AINRT: TANRI
AINRV: RAVIN
AINSS: SANSI
AINST: SANTI
       SITAN
AINSW: NWASI
AINSÇ: ÇANSI
AINTY: ANTIY
AINVV: VIVAN
AINVY: VANIY
AINWÇ: ÇINWA
AIOSS: ASOSI
AIOST: ASOTI
AIOTÇ: ATIÇO
AIPPY: PAPIY
AIPRT: PIRAT
AIPSW: PISWA
AIPSÛ: ASÛPI
AIPTÇ: ÇAPIT
AIPYY: PIYAY
AIRSV: VARIS
AIRSY: SIRAY
AIRTT: ATRIT
AIRTY: TIRAY
       TRAYI
AIRTÂ: ATIRÂ
AIRTÇ: ÇARIT
AISTW: ISTWA
AISYÊ: ASIYÊ
AITTW: TWATI
AITVW: VWATI
AITVÂ: AVÂTI
AITZÂ: ATIZÂ
AIVYÂ: ÂVAYI
AIWZÇ: ÇWAZI
AIYZÂ: AYIZÂ
AJKLO: KALOJ
AJKMO: JOKMA
AJKOS: KOSAJ
AJKRÛ: KÛRAJ
AJLNW: LWANJ
AJLNÛ: JÛNAL
AJLOR: LORAJ
AJLOV: JAVLO
AJLRÔ: RALÔJ
AJMNÛ: JÛMAN
AJMSÊ: JASMÊ
AJMÂÇ: ÇAJMÂ
AJNOS: JONAS
AJOSV: SOVAJ
AJRTÛ: ÛTRAJ
AJTÂÊ: AJÂTÊ
AJVÂÛ: AVÂJÛ
AKKNO: KAKON
AKKTÔ: KÔTAK
AKKVÔ: KÔKAV
AKKWÛ: KWAKÛ
AKKYÂ: KAYÂK
AKKYÊ: KÊKAY
AKLLO: ALKOL
       LAKOL
       LOKAL
AKLMÂ: KALMÂ
AKLMÛ: MALÛK
AKLNO: KOLAN
AKLNÂ: KÂNAL
AKLOR: KORAL
AKLOT: KALOT
       KOLTA
       LAKOT
AKLOV: VOKAL
AKLOZ: LAKOZ
AKLOÇ: KALOÇ
AKLPÂ: ÂPLAK
AKLSÔ: KALSÔ
AKLVÊ: KALVÊ
AKMNO: KOMAN
       MAKON
AKMNÛ: KÛMAN
AKMOÇ: KOÇMA
AKMTÛ: MAKÛT
AKMYÔ: KAMYÔ
AKNNO: KANNO
AKNNW: KWANN
AKNNÛ: KÛNAN
AKNOP: KANPO
       KAPON
       KONPA
       PANKO
AKNOR: KORAN
AKNOS: AKSON
       KONSA
AKNOT: KATON
AKNOZ: KANZO
AKNOÇ: ÇOKAN
AKNPR: KRANP
AKNRÂ: KARÂN
AKNRÛ: KÛRAN
AKNSÔ: KANSÔ
AKNTÔ: KANTÔ
       KÔTAN
AKNTÛ: TANKÛ
AKNYÂ: KÂNAY
AKNYÛ: KÛYAN
AKOPR: KRAPO
AKOPT: KAPOT
AKORY: KORAY
AKOST: KASTO
AKOTW: KAWOT
AKOTZ: KATOZ
AKPTÂ: PÂKAT
AKPYÔ: KÔPAY
AKRTÂ: KARÂT
       KATRÂ
AKRTÔ: KÔTRA
AKRWÊ: RAKWÊ
AKRYÛ: KÛRAY
AKSTÔ: KÔSTA
AKSVÂ: VAKÂS
AKSVÊ: VAKSÊ
AKSYÔ: AKSYÔ
AKTVÂ: KÂTAV
AKTWÔ: KÔTWA
AKTYÛ: KÛTAY
AKTÂÛ: ÂTÛKA
AKTÇÛ: KATÛÇ
AKWYÂ: KWAYÂ
ALMMÂ: MALMÂ
ALMNO: LANMO
       NOMAL
ALMNÂ: LÂMAN
       LANMÂ
ALMNÊ: LANMÊ
ALMNÛ: LANMÛ
ALMOR: MORAL
ALMOT: LAMOT
       MATLO
ALMOY: MAYOL
ALMPÂ: PALMÂ
ALMSÊ: MASLÊ
ALMTÂ: MÂTAL
ALMTÔ: LATÔM
ALMVÂ: LAVMÂ
ALMÂÇ: LAÇÂM
ALNNY: LYANN
ALNOS: SALON
ALNOT: TALON
ALNOV: VOLAN
ALNOW: LAWON
ALNPT: PLANT
ALNPÇ: PLANÇ
ALNPÛ: ANPÛL
ALNSÂ: LANSÂ
