AAABBMR: BAMBARA
AADEGJN: DEGAJAN
AADEGNN: ANNEGAD
AADEGNR: REGADAN
AADEGNY: GADENYA
AADEIKM: AKADEMI
AADEJKK: KADEJAK
AADEJKL: DEKALAJ
AADEJNN: ANDANJE
AADEJPR: DERAPAJ
AADEKMY: DEMAKAY
AADEKNR: ANKADRE
AADEKTY: DEKATYA
AADELNR: ADRENAL
AADEMNN: ANMEDAN
AADEMNP: DEPAMAN
AADEMNT: MANDATE
AADEMNÇ: MAÇANDE
AADENST: ESTANDA
AADENTT: ENTATAD
AADENTY: ANDETAY
         DETAYAN
AADENYZ: ANDEZAY
AADEORT: ADORATE
AADEPTY: DEPATYA
AADEPTÇ: DEPATÇA
AADERTY: RADYATE
AADFIIV: AFIDAVI
AADFMRY: DYAFRAM
AADFNNS: DANFANS
AADGILM: AMIGDAL
AADGIMR: MADIGRA
AADGINR: AGRANDI
AADGLVÂ: LAVÂGAD
AADGNRR: GRANDRA
AADIJNY: JADINAY
AADIKLM: MALKADI
AADIKLN: KADINAL
         KALINDA
AADIKLR: RADIKAL
AADIKNP: ANDIKAP
AADIKNS: AKSIDAN
AADIKNT: DANTIKA
AADIKRW: DIRAKWA
AADILPS: PALISAD
AADILRV: ALADRIV
AADILTW: DILATWA
AADIMNR: MARINAD
AADINOY: ADONAYI
AADJNOR: ORANJAD
AADKLMÂ: MAKÂDAL
AADKMRÂ: KÂMARAD
AADKNYÊ: KANADYÊ
AADKOPP: PAPADOK
AADLNTW: LANDWAT
AADMNNR: RANDMAN
AADMNNY: MANDYAN
AADMNOY: ADYOMAN
AADNNRÛ: ANDÛRAN
AADNNST: TANDANS
AADORTY: RADOTAY
AAEEJLL: ALALEJE
AAEEPRY: APAREYE
AAEFKRS: FRAKASE
AAEFLST: ASFALTE
AAEFMNR: AFREMAN
AAEFMNY: ANFEMAY
AAEFMTZ: METAFAZ
AAEFNNT: ANFANTE
AAEFTTY: TAFYATE
AAEGLNV: AVEGLAN
AAEGMNZ: MAGAZEN
         MAZENGA
AAEGNPT: GETAPAN
AAEGNSW: AGWESAN
AAEGNTW: WANGATE
AAEIJTT: AJITATE
AAEIKTZ: AKIZATE
AAEILNZ: ANALIZE
AAEILVZ: AVALIZE
AAEIMNT: ANIMATE
AAEINSS: ASASINE
AAEITVY: AVIYATE
AAEJNNT: AJANTEN
AAEJTVÂ: AVÂTAJE
AAEJVWY: VWAYAJE
AAEKKLR: KAKAREL
AAEKKRT: KARAKTE
AAEKKTW: KAKATWE
         KAKAWET
AAEKLLN: ALKALEN
AAEKLMR: KARAMEL
AAEKLMY: KAMELYA
AAEKLRV: KARAVEL
AAEKLRW: AKWAREL
AAEKLSÔ: ALEKÔSA
AAEKLVY: KAVALYE
AAEKMMR: MAKRAME
AAEKMNN: AMANNKE
AAEKMNR: KAREMAN
AAEKMPT: METAKAP
AAEKMRS: MASAKRE
AAEKMRY: MAREKAY
AAEKNRS: KARESAN
AAEKNTÇ: ANKAÇET
AAEKNYZ: KAZANYE
AAEKPYÔ: AKÔPAYE
AAEKSSW: AKSESWA
AAELLPR: PARALEL
AAELLYÛ: ALELÛYA
AAELMRY: LAMARYE
AAELMTY: MALTAYE
AAELNRS: ARANSEL
AAELNST: LASANTE
AAELNTY: LATANYE
AAELOPT: ALAPOTE
AAELPRS: LAPARES
AAELRST: LATERAS
AAELTTW: TATAWEL
AAEMNNP: PEMANAN
AAEMNNT: ANTEMAN
AAEMNPZ: APEZMAN
AAEMNRS: RANMASE
AAEMNRT: TAMAREN
AAENNRY: ANNARYE
AAENNSS: ANSANSE
         ANSASEN
AAENNST: ANSANTE
AAENNTW: ANWETAN
AAENNTÇ: ANÇANTE
AAENRTV: ANTRAVE
AAENSTY: SATANYE
AAENSVZ: SANZAVE
AAENTVY: AVANTYE
         EVANTAY
AAERTVY: TRAVAYE
AAFFNNW: FANNFWA
AAFGINT: FATIGAN
AAFGLNR: FLAGRAN
AAFIKNT: FANATIK
AAFILMN: LAFANMI
AAFIMNN: ANFANMI
AAFIMNS: FANMASI
AAFIMNT: FATIMAN
AAFINRY: FARINAY
AAFINRÇ: AFRANÇI
AAFINTT: ATANTIF
AAFINTY: ANFAYIT
AAFJMNS: FANMSAJ
AAFLMNN: FLANMAN
AAFLNTY: LAFYANT
AAFLNTÔ: LAFÔTAN
AAFMNSY: FANMSAY
AAFMSYÊ: FAMASYÊ
AAFNNTÊ: ANFANTÊ
AAFNORW: FARAWON
AAFNRSW: FRANSWA
AAGGNNN: NGANGAN
AAGGNNS: GANGANS
AAGGNNÊ: GAGANNÊ
AAGGOTY: GAGOTAY
AAGIILT: ALIGATI
AAGIKLS: GALAKSI
AAGILMN: LIGAMAN
AAGIMNR: MAGARIN
AAGINRT: GARANTI
AAGIPSY: GASPIYA
AAGJLWÛ: ALAGWÛJ
AAGJMNÂ: ÂGAJMAN
         ANGAJMÂ
AAGJNNR: GRANJAN
AAGKLOT: KATALOG
AAGLLSY: GLASYAL
AAGLMOÇ: MALAGOÇ
AAGLPYÂ: GALAPYÂ
AAGLWYÛ: ALAGWÛY
AAGMNNÂ: ÂGANMAN
         ANGÂMAN
         ANGANMÂ
AAGMNOS: MASOGAN
AAGMNRT: GRATMAN
AAGMNSÛ: MANGÛSA
AAGNOSW: AWOGANS
AAGOTWW: WOGATWA
AAGPPRÂ: GRÂPAPA
AAIJKMY: MAKIYAJ
AAIJLNV: VAJINAL
AAIJMNS: AJISMAN
AAIJNPT: PATINAJ
AAIJNRT: AJANTRI
AAIJPRT: PATIRAJ
AAIJSTY: AJISTAY
AAIKKMR: MAKAKRI
AAIKKRT: KAKATRI
AAIKKTW: AKWATIK
AAIKLMW: MAKWALI
         MIKALAW
AAIKLPT: KAPITAL
AAIKLTY: KATILAY
AAIKMNO: AMONIKA
AAIKMNY: KAYIMAN
AAIKMNÇ: KAÇIMAN
AAIKMST: ASMATIK
AAIKNNR: KANNARI
AAIKNPR: KAPRINA
AAIKNSW: SINAKWA
AAIKNTT: ANTATIK
AAIKTYZ: AZYATIK
AAILLVY: ALIVYAL
AAILMNT: MATINAL
AAILMNY: ALIYMAN
AAILNSS: SALISAN
AAILPPR: PARAPLI
AAILPTY: TILAPYA
AAILRSV: LAVARIS
AAIMMNZ: AMIZMAN
AAIMNOT: ANATOMI
AAIMNPÇ: PAÇIMAN
AAIMNRY: MARYANI
AAIMNTÇ: ÇATIMAN
AAINNPR: PANNARI
AAINPRS: ASPIRAN
AAINPRT: APRANTI
AAINPTY: PATINAY
AAINPTZ: PATIZAN
AAINRSS: ASIRANS
AAINRST: ATIRANS
AAINSST: ASISTAN
AAIOTYY: ATIYAYO
AAIPRTY: PATIRAY
AAIPRTZ: PARAZIT
AAIPRTÇ: PARAÇIT
AAIPSTT: PATATIS
         PATATSI
AAIWYZZ: ZAYIWAZ
AAJKNPÔ: KAPÔNAJ
AAJKOTW: KAWOTAJ
AAJKOWÇ: AKWOÇAJ
AAJMNNÇ: ÇANJMAN
AAJMNOW: MAWONAJ
AAJMNRÂ: ARÂJMAN
         ARANJMÂ
AAJNRTÛ: ANTÛRAJ
AAKKNNY: KANYANK
AAKKORY: KARYOKA
AAKLMNS: KLASMAN
AAKLMSÔ: KALMASÔ
AAKLMSÛ: MAKALÛS
AAKLNPR: LAKRANP
AAKLOPR: KAPORAL
AAKLOSW: LASKAWO
AAKLOSY: KASAYOL
AAKLOSÇ: ÇALOSKA
AAKMNOW: MAKAWON
AAKMNOY: AMONYAK
AAKMNRÛ: KÛRAMAN
AAKMNWZ: KWAZMAN
AAKMNÇÛ: AKÛÇMAN
AAKNPYÔ: KAPÔNAY
AAKNSSW: KWASANS
AAKNSWY: KWAYANS
AAKNSÇÛ: SANKÛÇA
AAKNWYÊ: ÊKWAYAN
AALLMOY: LAMAYOL
AALLNPÇ: LAPLANÇ
AALMMVÛ: MALAVÛM
AALMNNT: LANTMAN
AALMNOR: ORALMAN
AALMNPS: PLASMAN
AALMNSÇ: MALÇANS
AALMOTY: LAMAYOT
AALNNOW: ALAWONN
AALNPTV: PLAVANT
AALNPTÔ: PANTALÔ
AALNRTÂ: ALANTRÂ
         ALÂTRAN
AALNSSY: LASYANS
AALNTYÊ: LATANYÊ
AALNVYÛ: YANVALÛ
AALOPRS: PARASOL
AALPRSÂ: LAPARÂS
AALPRTÂ: ALATRÂP
AALPSTÂ: PLASÂTA
AALPSTÊ: PLASÊTA
AAMMNNÂ: AMÂNMAN
         AMANNMÂ
AAMNNNR: RANNMAN
AAMNNNS: SANNANM
AAMNNNZ: ZANMANN
AAMNNPS: PANSMAN
AAMNNSÇ: ÇANNMAS
AAMNNWÇ: WAÇMANN
AAMNOTV: AVOTMAN
AAMNSVÂ: AVANSMÂ
         AVÂSMAN
AAMNTWÇ: WATÇMAN
AANNNPÂ: ANPÂNAN
         ANPANNÂ
         ÂPANNAN
AANNNYÎ: ANNÎYAN
AANNNZÂ: ZÂNANNA
         ZANNÂNA
AANNOTW: ANTONWA
AANNPPÊ: ANPÊPAN
AANNPRT: ANTRANP
AANNPTW: PWATANN
AANNPTY: TYANPAN
AANNPTÇ: TÇANPAN
AANNRYÔ: ANRANYÔ
AANNSST: SANTANS
AANNSSW: SWASANN
AANNSVÂ: ÂNAVANS
         ANNAVÂS
AANOPSV: AVANPOS
AANOPTT: POTANTA
AANPSSY: PASYANS
AANPSYÊ: ÊPASYAN
AANPTZÂ: ZAPATÂN
AANRTYZ: ZANTRAY
AANRTYÛ: ANTÛRAY
AANSSTW: SWASANT
AANSSYÔ: ASANSYÔ
AANSTYÔ: ATANSYÔ
AAPRTWY: PWATRAY
AARTTYÛ: RATATÛY
AARTVYÂ: TRAVAYÂ
ABBDENO: BONBADE
ABBDEYÔ: BÔBADYE
ABBDMÂÔ: BÔBADMÂ
ABBEELZ: ZEBABLE
ABBEILN: BANBILE
ABBEJYÛ: JÛBABYE
ABBEKTÛ: BABÛKET
ABBENOÇ: BANBOÇE
ABBEOTZ: BABOTEZ
ABBILNO: BANBILO
ABBILYÂ: BÂBILAY
ABBINOY: BOBINAY
ABBIOOY: AYIBOBO
ABBLOOS: SOLOBAB
ABBNNOS: BONBANS
ABDDEFÂ: DEFÂDAB
ABDDEYÂ: DEBÂDAY
ABDDIIT: DABITID
ABDEEKS: DEKABES
ABDEELR: DELABRE
ABDEERY: DEBRAYE
ABDEEWZ: DEBWAZE
ABDEINN: BADINEN
ABDEINT: DEBITAN
ABDEJLN: DJANBEL
ABDEJLS: DJABLES
ABDEKLÂ: KÂDELAB
ABDEKMÂ: DEBAKMÂ
ABDELSY: DYABLES
ABDELSÊ: SALDEBÊ
ABDELYÂ: ÂDYABLE
ABDEMNO: ABDOMEN
ABDEMTÂ: DEBATMÂ
ABDENNW: BWADENN
ABDENOÂ: ABÂDONE
ABDENWÇ: BWADÇEN
ABDEYYÛ: DEBÛYAY
ABDIIJR: DIRIJAB
ABDIIMS: ADMISIB
ABDIKSÂ: ÂBISKAD
ABDILOY: BLIYADO
ABDLNOW: BANDWOL
ABDNNOS: BONDANS
ABDNNÊÔ: BANDÔNÊ
ABDNOSÂ: ABONDÂS
ABDNOÂÊ: ABÂDONÊ
ABDOSWÂ: BWOSADÂ
ABEEFNY: ABYENFE
ABEEGMN: ANMBEGE
ABEEKKW: KEBEKWA
ABEEKST: BASKETE
         ESTEBAK
ABEELOR: ELABORE
ABEELYÇ: BAÇELYE
ABEEMPY: PEMEYAB
ABEENRY: ANBREYE
ABEFLMS: BLASFEM
ABEFWYÛ: BWAFÛYE
ABEGLMÔ: LAGÔMBE
ABEGMNN: BEGMANN
ABEGNVÛ: GÛVENAB
ABEIILT: ABILITE
ABEIKLS: BASKILE
ABEIKNO: OKABINE
ABEIKNS: ANBISKE
         BEKASIN
ABEIKRT: BAKTERI
ABEIKTÊ: ÊKIBATE
ABEILNÇ: LABIÇEN
ABEILRT: RETABLI
ABEILSY: SABLIYE
ABEILTY: TABLIYE
ABEILWZ: BIZAWEL
ABEIMRZ: MIZERAB
ABEINRT: REBITAN
ABEINSY: ANBISYE
ABEIRTV: VERITAB
ABEISTT: BATISTE
ABEJLNÛ: BÛLANJE
ABEJRYÂ: ÂBREYAJ
ABEKLNY: NAYKLEB
ABEKLOS: KALBOSE
ABEKNOY: BAKONYE
ABEKNRÔ: ANKÔBRE
ABEKNTÛ: BÛKANTE
         ENKÛTAB
ABEKNYÛ: BÛKANYE
ABELMNN: BLANMEN
ABELMNÛ: EBÛLMAN
ABELMZÔ: MAZÔBEL
ABELNNR: LABRENN
ABELNNÔ: BALÔNEN
ABELNRT: TRANBLE
ABELNST: LABSENT
ABELORY: BOREYAL
         LABORYE
ABELRSÂ: RASÂBLE
ABEMNOÇ: BONMAÇE
ABEMOTW: BAWOMET
ABENNNR: BRANNEN
ABENORZ: REZONAB
ABENOTY: BAYONET
         BETONAY
ABENOYÇ: ÇABONYE
ABENRSÛ: RANBÛSE
ABENWYÛ: ANBWÛYE
ABEOSTÇ: BAÇOSET
ABFKOTÔ: KÔFOTAB
ABFMNÊÛ: MANFÛBÊ
ABFRWZÂ: FRÂBWAZ
ABGHNRÂ: BRÂHANG
         BRANHÂG
ABGIKNR: GRINBAK
ABGINOZ: BIZANGO
ABGIRRÛ: RABÛGRI
ABIIKLZ: BAZILIK
ABIILMN: ALBIMIN
ABIIRSZ: RAZIBIS
ABIJSTÂ: JÂBATIS
ABIJWZÛ: BÛJWAZI
ABIKLNY: NAYKLIB
ABIKLOT: BAKILOT
ABIKMOÇ: KAÇIMBO
ABIKNOS: BOKANSI
ABIKNOT: BOTANIK
ABIKNRÊ: KRABINÊ
ABIKORZ: ZABRIKO
ABILNNÛ: ANBÛLIN
ABILNOS: ALBINOS
ABILNSÂ: ÂBILANS
         ANBILÂS
         BALÂSIN
ABIMOSY: BIYOMAS
ABIMSTÂ: BATISMÂ
ABINOST: BOTANIS
ABINRYÔ: ANBRIYÔ
ABINSSÊ: ÊSANSIB
ABINSYÔ: ANBISYÔ
ABIOPWW: BWAPIWO
ABISTYÔ: BITASYÔ
ABJLNOR: LONBRAJ
ABJNNNO: BONNANJ
ABKLLOP: PLAKBOL
ABKLTÂÂ: BATÂKLÂ
ABKMNNÛ: BÛKMANN
ABKNNWÔ: KANBWÔN
ABKNNÊÛ: BÛKANNÊ
ABKNOOT: BAKOTON
ABKTYÂÛ: BÛKÂTAY
ABLMNÂÔ: BALÔNMÂ
ABLNNOÊ: BALONNÊ
ABLNOOT: TONBOLA
ABLNORY: LONBRAY
ABLNPTÂ: PLATBÂN
ABMNZÂÂ: BANZÂMÂ
         BÂZÂMAN
         BÂZANMÂ
ABMPYÂÛ: MAPYÂBÛ
ABNNOSS: BONSANS
ABNOOWÇ: WOÇANBO
ABNTWÇÊ: BWATÇÊN
ABTZÛÛÛ: AZÛBÛTÛ
ADDEEGR: DEGRADE
ADDEENW: DEDWANE
ADDEGRÂ: DEGRADÂ
ADDEIKS: DEDIKAS
ADDEKSÂ: DEKADÂS
ADDEKYÛ: DEYAKÛD
ADDENOZ: ANDEZOD
ADDIILV: DIVIDAL
ADDIINS: DISIDAN
ADDINOY: DODINAY
ADDJJNÂ: DJÂDJAN
         DJANDJÂ
ADDNRRÂ: DRÂDRAN
         DRANDRÂ
ADDNYYÂ: DYÂDYAN
         DYANDYÂ
ADEEFKL: DEFALKE
ADEEFNN: FENDANE
ADEEFPY: PAYDEFE
ADEEGJZ: DEGAJEZ
ADEEGPR: DEGRAPE
ADEEGYZ: EGZAYED
ADEEIKT: EDIKATE
ADEEJNR: DANJERE
         DERANJE
ADEEJNT: DEJANTE
         DETEJAN
ADEEKKL: DEKALKE
ADEEKLR: DEKLARE
         DELAKER
ADEEKLZ: DELAKEZ
ADEEKMS: DEMASKE
ADEEKMT: DEKAMET
ADEEKNP: DEKANPE
ADEEKRT: DEKRETA
ADEEKSZ: DEZAKSE
ADEEKTÇ: DEKAÇTE
ADEEKYY: DEYEKAY
ADEELNP: LEPEDAN
ADEELPS: DEPLASE
ADEEMNÇ: DEMANÇE
ADEENNS: ENDESAN
ADEENNY: ANDENYE
ADEENPS: DEPANSE
ADEENRT: ANTREDE
ADEENRV: REVANDE
ADEENSV: DESEVAN
         DEVANSE
ADEEPRT: PREDATE
ADEEPRV: DEPRAVE
ADEERTV: DETRAVE
ADEERVY: DEVARYE
ADEESTV: DEVASTE
ADEFIMN: DEFANMI
ADEFINR: DIFERAN
ADEFIRR: RAFREDI
ADEFIRW: REFWADI
ADEFLOR: ALFREDO
ADEFNRÔ: ANFÔDRE
ADEGGMO: DEMAGOG
ADEGGOP: PEDAGOG
ADEGJMÂ: GADMÂJE
ADEGKNO: DEKAGON
ADEGLOY: DYALOGE
ADEGMNÂ: ÂMEGDAN
         ANMEGDÂ
ADEGNNN: NANDENG
ADEGNNR: GRENNAD
ADEGNTÛ: DEGÛTAN
ADEIIRT: ARIDITE
ADEIIST: ASIDITE
ADEIJNN: ENDIJAN
ADEIJNY: JADINYE
ADEIJTV: DAVETIJ
ADEIKKR: KADERIK
ADEIKLM: MEDIKAL
ADEIKNR: ANDIREK
ADEIKNS: SENDIKA
ADEIKOY: AKODIYE
ADEIKPÂ: ÂDIKAPE
ADEIKTT: DIKTATE
ADEIKTÊ: ÊDIKATE
ADEILMS: DESIMAL
ADEILNS: DESALIN
ADEILNZ: ILANDEZ
ADEILST: SITADEL
ADEILVY: DIVALYE
ADEIMNS: SEDIMAN
ADEIMNT: DEMANTI
         DIMATEN
ADEIMNZ: MEDIZAN
ADEIMRY: MADRIYE
ADEIMST: DEMITAS
ADEIMTY: IMEDYAT
ADEINNÇ: ÇIENDAN
ADEINOT: ODINATE
ADEINPS: APENDIS
ADEINRY: ADRIYEN
ADEINST: DANSITE
         DISETAN
ADEINTV: DEVANTI
ADEINTY: ETIDYAN
ADEIRSY: RADIYES
ADEIRVY: DEVIRAY
         DRIVAYE
ADEIRWZ: DERIZWA
ADEJKLO: DEKOLAJ
ADEJNRÂ: ÂJANDRE
         ANJÂDRE
ADEJNVÛ: DEVANJÛ
ADEJPTÂ: DJETAPÂ
ADEJRTÛ: RETÛDAJ
ADEKLNÊ: DELÊKAN
ADEKLSÂ: ESKÂDAL
ADEKLVÂ: VALKÂDE
ADEKMNO: KOMANDE
         MADOKEN
ADEKMNÔ: KÔMANDE
ADEKMOO: AKOMODE
ADEKNNO: KONDANE
ADEKNRÛ: KÛRANDE
ADEKNSÔ: KÔDANSE
ADEKOTY: OKTAYED
ADEKOYÔ: AKODEYÔ
ADEKYÇÛ: DEÇÛKAY
ADELMNN: LANDMEN
ADELMNP: PLEDMAN
ADELMNÂ: LADEMÂN
         MÂNDELA
ADELMNÊ: LANDEMÊ
ADELMOT: MOTADEL
ADELNOZ: OLANDEZ
ADELNYÊ: LADÊNYE
ADELOSÂ: ADOLESÂ
ADELSTÂ: LADESÂT
ADELTYÛ: LADÛYET
ADEMNNÊ: NANDEMÊ
ADEMNNÔ: ANDENMÔ
ADEMNOT: ADMETON
ADEMNTÜ: DETÜMAN
ADEMNVÛ: DEVÛMAN
ADEMPTÂ: DEPATMÂ
ADENNNO: ADONNEN
ADENNOY: DANNOYE
ADENNPÊ: DEPANNÊ
ADENNPÔ: PADÔNEN
ADENOPY: PONYADE
ADENOSY: ODYANSE
ADENOTT: ETANDOT
ADENOWZ: DANWEZO
ADENOYZ: ADEZYON
         ANDYOZE
ADENOYÇ: ÇADONYE
ADENRST: TANDRES
ADENRVÛ: RANDEVÛ
ADENSSÊ: ÊDESANS
ADENTTÎ: ÎTEDTAN
ADEOPTW: DEPOTWA
ADESWWZ: SWEDWAZ
ADETWZÛ: DEZÛTWA
ADETYZÂ: ÂTDEZAY
ADFIKNÔ: KÔFIDAN
ADFIKNÛ: KAFÛNDI
ADFILOR: FLORIDA
ADFIOPT: ADOPTIF
ADFMNÂÂ: FÂDÂMAN
         FÂDANMÂ
         FANDÂMÂ
ADFSYÔÔ: FÔDASYÔ
ADGMNÛÛ: MADÛNGÛ
ADGNNOR: GRANDON
ADIIJLN: DILIJAN
ADIIJNR: DIRIJAN
ADIIKMN: DINAMIK
ADIIKNT: IDANTIK
ADIIKTT: DIKTATI
ADIILMT: DILAMIT
ADIILPS: PALIDIS
ADIILTT: ALTITID
         LATITID
ADIIMNS: DINAMIS
ADIIMNT: DINAMIT
ADIIMNV: MADIVIN
ADIIMPR: PIRAMID
ADIIPTT: APTITID
ADIIRST: ARISTID
ADIIRSY: RADIYIS
ADIJMNÂ: DÂMIJAN
         DANMIJÂ
ADIJMRÂ: JÂDAMRI
ADIJNSÊ: ÊDIJANS
ADIKMNO: DOKIMAN
ADIKMSÊ: MISKADÊ
ADIKORS: SIKRADO
ADIKOTW: KAWOTID
ADILMNO: LIMONAD
ADILMNÔ: LANMIDÔ
         LIMÔNAD
ADIMNNO: DOMINAN
         NANDOMI
ADIMNOÇ: MADIÇON
ADIMNRÂ: MÂDARIN
ADIMNÊÔ: AMIDÔNÊ
ADIMPRÂ: RAPIDMÂ
ADIMPTÂ: PIMÂTAD
ADIMSYÔ: ADMISYÔ
ADIMZÂÇ: MAÇÂDIZ
ADINNSÛ: ANSÛDIN
ADINOSY: ADISYON
ADINOTT: ANTIDOT
ADINPRÊ: ÊPRIDAN
ADINPSS: DISPANS
ADINRSÂ: ÂDIRANS
         ANDIRÂS
ADINRTT: DANTRIT
ADINRTÂ: DIRANTÂ
         DIRÂTAN
ADINRVY: DRAYVIN
ADINSST: DISTANS
ADINSWÇ: SANDWIÇ
ADIPPYÂ: DAPIYÂP
ADIRVYÔ: IDRAVYÔ
ADISTVÂ: ADVÂTIS
ADISWZÂ: SWADIZÂ
ADJKKOO: DJAKOKO
ADJKLMO: MALDJOK
ADJKLNO: JANKLOD
ADJMMOÂ: DOMAJMÂ
ADJMNZÂ: DJAZMÂN
ADJNVÛÛ: DÛVANJÛ
ADKKNOO: KONKODA
ADKLMOY: MALDYOK
ADKMNOÂ: KOMÂDAN
         KOMANDÂ
ADKMNÂÔ: KÔMÂDAN
         KÔMANDÂ
ADKNNOW: DAKWONN
ADKOORT: DOKTORA
ADLMNOY: MONDYAL
ADLMRÂÊ: MALÂDRÊ
ADMNNOÊ: ANDÊMON
ADMNOPW: PWOMNAD
ADMNOSÂ: DASOMÂN
ADMNSÂÔ: ADÂMSÔN
ADNNOPÊ: PADONNÊ
ADNTTÊÊ: TÊTÊNAD
ADNTÂÂÂ: ÂNATÂDÂ
ADOPSYÔ: ADOPSYÔ
ADRSYÂÎ: RÂDÎSAY
AEEELTV: ELEVATE
AEEEVÇÇ: AÇEVEÇE
AEEFKTY: KAFETYE
AEEFLNN: ENFENAL
AEEFLRY: LAFERYE
AEEFLRÇ: LAFREÇE
AEEFMNN: ANFEMEN
AEEFMNT: FEMANTE
AEEFMWZ: MAFWEZE
AEEFNRY: EFREYAN
AEEFRTY: RATYEFE
AEEFWÇÛ: EFAWÛÇE
AEEGGLO: EGALEGO
AEEGILT: EGALITE
AEEGILZ: EGALIZE
AEEGLNW: EGLENWA
AEEGMNZ: EGZAMEN
AEEGNRS: ANGRESE
AEEGNTZ: EGZANTE
AEEGTYZ: EGZEYAT
AEEIJKL: EJAKILE
AEEIKLL: ALEKILE
AEEINSV: ANIVESE
AEEIPPY: EPAPIYE
AEEITTZ: ETATIZE
AEEJLMN: LEJEMAN
         MELANJE
AEEJLNR: JENERAL
AEEJNRT: ETRANJE
