AAAAGGIKKNRW: GWAKANAGARIK
AAIMNNNNOPRZ: ANPRIZONNMAN
AAIMNRSSTYYÔ: MANSTRIYASYÔ
AAINPRRSSTYÔ: TRANSPIRASYÔ
AAKLMNOOPSWY: PWOKLAMASYON
AAKNNORSSTYÔ: KONSANTRASYÔ
              KÔSANTRASYON
AAKNNORSTVYÔ: KONTRAVANSYÔ
              KÔTRAVANSYON
ABBDILOOPTÊÔ: BÔBADOPOLITÊ
ABBFGIIILORY: BIBLIYOGRAFI
ABDEEIKLNSYÔ: LABENEDIKSYÔ
ABDEEINOSSYZ: DEZOBEYISANS
ABEEEIILMPTY: PEMEYABILITE
ABEEILPRSSTÔ: RESPÔSABLITE
ABEELMNNRTTÂ: TRÂBLEMANNTE
              TRANBLEMÂNTE
ABEIJKLOORTY: BAKTERYOLOJI
ABFGIIOOORTY: OTOBIYOGRAFI
ABFIIKNOSYZÔ: ZÔBIFIKASYON
              ZONBIFIKASYÔ
ABKLMOTTYÛÛÛ: KOMATYÛBÛLÛT
ADDEEELNNNPS: LENDEPENDANS
ADDEEENNPSTÊ: ENTEDEPÊDANS
              ÊTEDEPENDANS
ADDEEGGLNNOR: DEGRENNGOLAD
ADDEEILNNOVW: LAVIWONNDEDE
ADDEIIILNSVY: ENDIVIDYALIS
ADEEEIKMNNRT: ENDIREKTEMAN
ADEEEKNPRSST: DERESPEKTANS
ADEEFKNORSYÔ: KÔFEDERASYON
              KONFEDERASYÔ
ADEEFMNOSYZÔ: DEZENFOMASYÔ
ADEEGRSTYZÊÔ: DEZÊTEGRASYÔ
ADEEIIILMRTZ: DEMILITARIZE
ADEEIMNNOSTY: DETEMINASYON
ADEEIPRSSYYÔ: DEPRESIYASYÔ
ADEEKLMNOSYÔ: MEKÔDOLEYANS
ADEEORRSTYYÔ: DETERYORASYÔ
ADEFIKLNNOSY: KONFIDANSYEL
ADEFMNOOSYZÊ: DEZÊFOMASYON
ADEIKKMMORTÂ: DEMOKRATIKMÂ
ADEIKKRSTYÔÔ: AKDEKÔTRISYÔ
ADEIKMNSTTÊÊ: ÊDISTÊKTEMAN
ADEIKNOOPSYZ: DEZOKIPASYON
ADEIKNORSVYÂ: REVÂDIKASYON
ADEILNOPSVWY: PWOVIDANSYEL
ADEIMNNNOOSY: DENOMINASYON
ADEIMNSSWYZÂ: SWASÂNDIZYEM
ADEINNOSSYYÔ: DENONSIYASYÔ
              DENÔSIYASYON
ADEKMNOORSYÂ: REKOMÂDASYON
ADEKNNOOPRSS: KORESPONDANS
ADEMNORSSTYÔ: DEMONSTRASYÔ
              DEMÔSTRASYON
ADFIIIKSTYÂÔ: IDÂTIFIKASYÔ
ADIKKNORSTYÔ: KONTRADIKSYÔ
              KÔTRADIKSYON
ADIKMNOOSTYÂ: DOKIMÂTASYON
AEEEJNNORRSY: REJENERASYON
AEEEKMNNNTTW: KWETMANNENET
AEEEKMNRTTVY: KATREVENTYEM
AEEFKMNNOPSY: PEFEKSYONMAN
AEEIJMNRRSTÂ: ANREJISTREMÂ
              ÂREJISTREMAN
AEEIKMNSSTYÔ: EKSTEMINASYÔ
AEEIKNNRTVVY: KRETYENVIVAN
AEFIIKKRSTYÔ: REKTIFIKASYÔ
AEFIILNOSSTY: FELISITASYON
AEFILNNORSTY: ENFILTRASYON
AEGGKNNOORSY: KONGREGASYON
AEGINNOOSSYY: NEGOSIYASYON
AEIIIILMNPST: MINISIPALITE
AEIIKMMSSTTÂ: SISTEMATIKMÂ
AEIIKMNNRSYÔ: ENKRIMINASYÔ
AEIIPPRSSTYÔ: PRESIPITASYÔ
AEIKKLNOPSSY: EKSPLIKASYON
AEILNOPTVWYZ: PETYONVILWAZ
AEIMOPRSTTYÊ: REPATIMYÊTOS
AEINOPSSTTTW: PWOTESTANTIS
AEINOPSVWYZÔ: ENPWOVIZASYÔ
AEKLNNOOSSTY: KONSTELASYON
AEKNNOORRTYZ: KONTRARYEZON
AEKNNOPRSYYÔ: KONPREYANSYÔ
              KÔPREYANSYON
AENOOPSSTTWY: PWOTESTASYON
AFIIIKMSSTYÔ: MISTIFIKASYÔ
AFIIIKNOSSYY: SIYIFIKASYON
AFKMNNNNOOSY: FONKSYONNMAN
AIIJKLLMOOST: KLIMATOLOJIS
AIIKKMNNOOSY: KOMINIKASYON
AIIKMNNORSYÊ: ÊKRIMINASYON
AIIKMOPRTTYÂ: PATRIYOTIKMÂ
AIILMNNORSTY: MALNITRISYON
AIILNNOOPSYZ: POLINIZASYON
AIKKLNNOOPSY: KONPLIKASYON
AIKLNNOOSSTY: KONSILTASYON
AIKNNOOPSSTY: KONSTIPASYON
AIMNORSSTYYÂ: MÂSTRIYASYON
AINOOPSVWYZÊ: ÊPWOVIZASYON
AINOPRRSSTYÂ: TRÂSPIRASYON
AKNNOORSSTYÂ: KONSÂTRASYON
AKNNOORSTVYÂ: KONTRAVÂSYON
BDEEEGGLNNNV: VLENGBENDENG
BDEEKNNOORST: DEKONSTONBRE
BDEIIILNOPST: DISPONIBLITE
BDIIINORSSTY: DISTRIBISYON
BEEINORSSTTY: OBSTETRISYEN
BIIKNNOORSTY: KONTRIBISYON
DDEEEENNPSTÂ: ENTEDEPENDÂS
DEEEJKNNOOSY: DEKONJESYONE
DEEIIKKLORTW: IDWOELEKTRIK
DEEIKMNSTTÂÊ: ÊDISTENKTEMÂ
              ENDISTÊKTEMÂ
DEEKLMNOOSYÂ: MEKONDOLEYÂS
DEIIIKKNOTTV: KONDIKTIVITE
DEIINOPSSYZÔ: ENDISPOZISYÔ
DEIKNOOPRSWY: REPWODIKSYON
DEIKNOOPSYZÔ: DEKONPOZISYÔ
              DEKÔPOZISYON
DIINOOPSSYZÊ: ÊDISPOZISYON
EEFIJKLNNOSY: JENIFLEKSYON
EEGMNNNNPRÊÔ: GRENNPÔMÊNEN
              GRENNPÔMENNÊ
              GRÊNPÔMENNEN
EENNOOPPRSTY: POTOPRENSYEN
EGMNNNNOPRÊÊ: GRENNPONMÊNÊ
              GRÊNPONMÊNEN
              GRÊNPONMENNÊ
EGMNNNOPRWÊÊ: GRENNPWOMÊNÊ
              GRÊNPWOMÊNEN
              GRÊNPWOMENNÊ
EIILNOSSTTYÊ: ÊSTITISYONEL
EKNNOOPRSYYÂ: KONPREYÂSYON
FIIIKKNORSSY: KRISIFIKSYON
IIIOPPRTTÂÂÇ: OPIPIRITÇÂTÂ
IIKNNOOSSTTY: KONSTITISYON
IINOOPSSTTWY: PWOSTITISYON
IKKNNOORSSTY: KONSTRIKSYON
