AAABKL: BAKALA
AAGNNR: ANGRAN
AAGNOW: AWOGAN
AAGNVÛ: AVANGÛ
AAGOTW: OGATWA
AAGRTW: GRATWA
AAGRVW: GRAVWA
AAGRVÂ: AGRAVÂ
AAGVWY: GWAYAV
AAHSSÛ: HAÛSSA
AAIJMP: PIJAMA
AAIKKS: KASIKA
AAIKKY: AKAYIK
AAIKLL: ALKALI
AAIKLM: AKALMI
        AKAMIL
        AMIKAL
AAIKNR: KANARI
AAIKSS: KISASA
AAILMN: ALIMAN
AAILNP: APLANI
AAILNT: LANATI
AAILNV: ALAVNI
AAILNZ: ANALIZ
AAIMNZ: AMIZAN
AAINPR: PANARI
AAINRT: ATIRAN
AAINSÇ: ANAÇIS
AAINTV: AVANTI
AAINTZ: ATIZAN
AAINVY: ANVAYI
AAINYZ: AYIZAN
AAIPTT: PATATI
AAIRSV: AVARIS
AAIRTÇ: ARITÇA
AAIRVV: VAVARI
AAITYZ: ATIZAY
AAIWWÇ: ÇIWAWA
AAIWYZ: ZAYIWA
AAJKKÂ: JÂKAKA
AAJLPS: PLASAJ
AAJMNÇ: ÇAJMAN
AAJMRY: MARYAJ
AAJNTÊ: AJANTÊ
AAJNVÛ: AVANJÛ
AAJPRY: PARYAJ
AAJTVÂ: AVÂTAJ
AAJVWY: VWAYAJ
AAKKNY: KAYANK
AAKKOR: KARAKO
AAKKOW: KAKAWO
AAKKTT: KATKAT
AAKKÇÇ: KAÇKAÇ
AAKLLÊ: ALKALÊ
AAKLLÛ: KALALÛ
AAKLMN: KALMAN
AAKLNN: KANNAL
AAKLNP: ANPLAK
AAKMOW: MAWOKA
AAKMWÔ: MAKAWÔ
AAKNNR: KARANN
AAKNNY: KANNAY
AAKNOÇ: AKAÇON
AAKNPT: PANKAT
AAKNRT: KARANT
        KATRAN
AAKNSV: VAKANS
AAKNTV: KANTAV
AAKNTÛ: ANTÛKA
AAKNWY: KWAYAN
AAKORW: KARAWO
AAKPSY: SAKPAY
AAKPWZ: KAPWAZ
AAKRST: KASTRA
AAKRTV: KRAVAT
AAKSTÂ: KÂTASA
AALLMV: MALVAL
AALLNS: LASNAL
AALLPS: LAPLAS
AALLPÛ: LAPÛLA
AALMMN: MALMAN
AALMNN: LANMAN
AALMNO: ANOMAL
AALMNP: PALMAN
AALMNT: MANTAL
AALMNV: LAVMAN
AALMNÇ: LAÇANM
AALMSY: MASYAL
AALNNS: LANSAN
AALNPS: ANPLAS
AALNPT: ANPLAT
AALNSS: SANSAL
AALNSV: SALNAV
AALNSY: ALYANS
AALNTV: LAVANT
AALNTÛ: ALANTÛ
AALNWÔ: ALAWÔN
AALOPS: PALASO
AALPSY: PLASAY
AALTWY: LATYAW
AALTYÇ: LATÇAY
AALTÂÇ: ÇALATÂ
AAMMNN: MANMAN
AAMMYY: MAYMAY
AAMNNN: MANNAN
AAMNNS: ANSANM
AAMNNÇ: MAÇANN
AAMNRT: RATMAN
AAMNTT: MATANT
AAMORZ: MAZORA
AAMPTÂ: APATMÂ
AAMRTÊ: TAMARÊ
AAMTÂÇ: ATAÇMÂ
AANNNN: NANNAN
AANNNT: ANTANN
AANNPP: PANPAN
AANNPR: APRANN
AANNPT: ANPANT
        PANTAN
AANNPÂ: ANPÂNA
        ÂPANNA
AANNSV: SAVANN
AANNTT: ANTANT
AANNTW: ANTWAN
AANNVY: VANYAN
AANNVÂ: ÂNAVAN
        ANNAVÂ
AANNWÇ: ANÇWAN
        ÇANWAN
AANORS: ARANSO
AANOTT: ATATON
AANPST: PATANS
AANPSÂ: ANPASÂ
        ÂPASAN
AANPTT: PATANT
AANPTÂ: ANPATÂ
        ÂPATAN
AANPTÇ: ÇAPANT
AANPYÇ: ÇANPAY
AANRTV: ANTRAV
AANRVW: RANVWA
AANSSÊ: ANSASÊ
AANTVY: VANTAY
AANTYÇ: AÇTAYN
        ÇANTAY
AANVWY: VWAYAN
AAOPPR: PARAPO
AAORTW: ORATWA
AAOWWZ: AWOZWA
AAOWYZ: AWOZAY
AAPPTT: TAPTAP
AAPRSÂ: APARÂS
AAPRTÂ: ATRAPÂ
AAPRVÂ: PARAVÂ
AAPRYY: PARYAY
        RAPYAY
AAPTYÂ: APÂTAY
AARTVY: TRAVAY
AARTWÛ: ARAWÛT
AATTYY: TYATYA
AATTÇÇ: TÇATÇA
AAWWÇÇ: WAÇWAÇ
ABBDEÔ: BÔBADE
ABBENN: BANBEN
ABBEOS: ABSOBE
ABBEOT: BABOTE
ABBIKÛ: KÛBABI
ABBKNÛ: BÛKBAN
ABBKÂÛ: BABÂKÛ
ABBLOY: BABYOL
ABBLSÂ: SÂBLAB
ABBLÂÛ: BÂBÛLA
ABBNOÇ: BANBOÇ
ABBNSÔ: BÔBANS
ABBOPW: PWOBAB
ABBOSÂ: ABSOBÂ
ABDEEK: DEBAKE
ABDEEL: DEBALE
ABDEER: DEBARE
ABDEEY: DEBAYE
ABDEGL: BELGAD
ABDEIÇ: DEBAÇI
ABDENN: BADNEN
        BEDANN
ABDERÛ: BÛRADE
ABDETY: DYABET
ABDEYÛ: DEBÛYA
ABDGIR: BRIGAD
ABDGOW: GADWOB
ABDGRÛ: GRADÛB
ABDIIT: ABITID
        DIBITA
ABDIMR: BRIMAD
ABDINÂ: BADINÂ
ABDINÊ: BADINÊ
ABDJMÛ: DJÛMBA
ABDJNO: BANDJO
ABDMOW: BWADOM
ABDNNO: DONNAB
ABDNOÂ: ABONDÂ
ABDNSÔ: BÔDANS
ABDNWÊ: BWADÊN
ABDOPY: PODYAB
ABDSÂÔ: ABÔDÂS
ABEEGN: ANBEGE
ABEENT: ANBETE
ABEFIL: AFEBLI
ABEFLN: FEBLAN
        FLANBE
ABEFNR: FANBRE
ABEFYÊ: ABYÊFE
ABEGRT: BRAGET
ABEGTW: BWAGET
ABEIKN: KABINE
ABEILN: ANBELI
ABEILR: LIBERA
ABEILS: SELIBA
        SILABE
ABEILT: ETABLI
ABEILZ: BALIZE
ABEIMN: ABIMEN
ABEIRT: ABITRE
ABEITY: ABITYE
ABEITZ: BATIZE
ABEJNY: JANBYE
ABEKNR: KANBRE
ABEKNT: BANKET
ABEKOS: KABOSE
ABEKRS: ESKRAB
ABEKRT: KABRET
ABEKRY: KRABYE
ABEKTW: KABWET
ABELMN: ANBLEM
ABELNN: BALENN
ABELNR: RANBLE
ABELNS: BELANS
        SANBLE
        SENBAL
ABELNT: TENBAL
ABELNÇ: BLANÇE
ABELOS: BOSALE
ABELOT: BALOTE
ABELRS: BRASLE
ABELRÛ: LABÛRE
ABELSÂ: ASÂBLE
        BALÂSE
        SALÂBE
ABELTT: TABLET
ABELTW: BATWEL
ABEMNR: MANBRE
ABEMÇÔ: BÔMAÇE
ABENNO: ABONEN
ABENNY: ANBYEN
ABENOÇ: ANBOÇE
ABENPW: BWAPEN
ABENRÇ: ÇANBRE
ABENST: ABSENT
ABENTÂ: ÂBETAN
        ANBETÂ
ABENWY: BENYWA
ABENYÛ: ANBÛYE
ABEORT: RABOTE
ABEPWY: PYEBWA
ABERRÛ: RABÛRE
ABERST: ABSTRE
ABERSÂ: ÂBRASE
ABERTV: BETRAV
ABERYZ: BRAZYE
ABESTÂ: ABSÂTE
ABESVY: SEVYAB
ABETYÇ: BETÇAY
ABFIIN: ANFIBI
ABFIKR: FABRIK
ABFKOS: BOSKAF
ABFLNO: FLANBO
ABFLOS: FOBLAS
ABFLÛÛ: FÛLÛBA
ABFNOW: BONFWA
ABFNTÛ: BÛFANT
ABGINR: BRIGAN
ABGLLO: GLOBAL
ABGNOY: GABYON
ABHRÂÑ: BRÂHAÑ
ABIKLN: BLAKIN
ABIKLÂ: ALÂBIK
ABIKNZ: KANBIZ
ABIKOR: ABRIKO
ABIKRS: BRISAK
ABIKRT: KABRIT
ABIKRÛ: KARIBÛ
ABIKTÛ: KÛBATI
ABILNR: LABRIN
ABILNT: TIBLAN
ABILNÇ: BLANÇI
ABILOS: ABSOLI
ABILOV: BOLIVA
ABILRT: BRITAL
ABILRV: LIVRAB
ABILRZ: LABRIZ
ABILVV: BIVALV
ABILYÛ: LABÛYI
ABILÇÊ: LABIÇÊ
ABIMTÂ: BATIMÂ
ABINRY: BRIYAN
ABINSS: SANSIB
ABINWZ: BIZNAW
ABINÇÛ: ANBÛÇI
ABIRRS: BRASRI
ABITWY: TIBWAY
ABJLNÂ: JÂBLAN
        JANBLÂ
ABJLRÔ: LÔBRAJ
ABJNNO: BONANJ
        BONJAN
        JANBON
ABJNNÔ: BÔNANJ
ABKKOO: BAKOKO
ABKLNO: BALKON
ABKLRÂ: KÂBRAL
ABKLÇÛ: ÇÛBLAK
ABKLÛÛ: BAKÛLÛ
ABKMOO: KOMABO
ABKMOÛ: KÛMABO
ABKMÂÂ: ÂBAKMÂ
ABKNOT: KONBAT
        KONTAB
ABKOTÔ: BAKOTÔ
ABKRTÛ: TRABÛK
ABKTÊÛ: ÊKÛTAB
ABKWÇÛ: ÇÛKBWA
ABLMNÊ: BLANMÊ
ABLNRÊ: LABRÊN
ABLNSÂ: SÂBLAN
        SANBLÂ
ABLNÊÔ: BALÔNÊ
ABLOOS: SOLOBA
ABLOTÔ: TÔBOLA
ABLRYÔ: LÔBRAY
ABLSTÊ: LABSÊT
ABMNOÂ: ABONMÂ
ABMNRÂ: MÂBRAN
ABNNNÂ: BÂNANN
        BANNÂN
ABNNRÊ: BRANNÊ
ABNOSW: BONSWA
        BWASON
ABNOWW: BWAWON
ABNSSÔ: BÔSANS
ABNSYÂ: ÂBYANS
        ANBYÂS
ABOORT: RABOTO
ABOYÂÇ: ÂBOÇAY
ABTVÂÂ: ÂBAVÂT
ADDEEM: MADEDE
ADDEJÂ: ADJEDÂ
ADDEKÛ: DEAKÛD
ADDELN: DLANDE
ADDENÂ: ÂDEDAN
        ANDEDÂ
ADDIJÂ: ADJIDÂ
ADDIKÂ: KÂDIDA
ADDOOZ: DOZADO
ADEEGJ: DEGAJE
ADEEGL: DELAGE
ADEEGR: REGADE
ADEEGY: DEGAYE
ADEEJÇ: DEÇAJE
ADEEKL: DEKALE
        DELAKE
ADEEKP: DEKAPE
ADEEKT: DETAKE
ADEELL: LALEDE
ADEELP: DEPALE
        PEDALE
ADEELS: DELASE
        DESALE
ADEELV: DELAVE
ADEEMN: ADEMEN
        ANMEDE
ADEEMR: DEMARE
ADEEMY: DEMAYE
        MEDAYE
ADEEMZ: DEZAME
ADEENP: DEPANE
ADEEPR: DERAPE
ADEEPS: DEPASE
ADEEPT: DEPATE
ADEEPY: DEPAYE
        PADEYE
ADEERS: ADRESE
ADEERT: RETADE
ADEERY: DERAYE
ADEESV: ADVESE
ADEETY: DETAYE
ADEETÇ: DETAÇE
ADEFGR: DEGRAF
ADEFIZ: ADEZIF
        DEZAFI
ADEFKN: FEDKAN
ADEFNN: DEFANN
ADEFNO: ANDEFO
ADEFNS: DEFANS
ADEFNÊ: FÊDANE
ADEGIR: GERADI
ADEGIV: DIVAGE
ADEGJR: GADJER
ADEGJÂ: DEGAJÂ
ADEGNR: GRADEN
        GRANDE
        GRENAD
ADEGNY: GADYEN
ADEGNÂ: ÂNEGAD
ADEGRY: GRADYE
ADEGRÂ: REGADÂ
ADEIKL: DELIKA
ADEILM: LEMADI
ADEILN: ILANDE
ADEILT: ADILTE
        DILATE
ADEILY: IDEYAL
ADEIMR: ADMIRE
ADEIMS: DIMASE
ADEIMÇ: AÇIMED
ADEINR: ANDIRE
ADEINT: ETANDI
ADEIPS: PADESI
ADEIPT: DEPATI
ADEIST: SETADI
ADEITY: DEYITA
ADEIVY: AVIDEY
ADEJKT: DJAKET
ADEJMO: DOMAJE
ADEJNR: DRENAJ
ADEJNW: ADJWEN
ADEJNÂ: ÂDANJE
        ANDÂJE
ADEKNO: ADOKEN
ADEKNÔ: KÔDANE
ADEKOS: KODASE
ADEKOZ: DEZAKO
ADEKRÂ: ÂKADRE
ADEKSW: ESKWAD
ADELMN: LANMED
ADELNO: OLANDE
ADELNT: DANTEL
ADELNÇ: ÇANDEL
ADELRS: LADRES
ADEMMT: METDAM
ADEMNN: DANMEN
        DEMANN
ADEMNS: DESANM
ADEMNY: DANMYE
        MEDYAN
ADEMNÂ: ÂMEDAN
        ANMEDÂ
ADEMOW: MAWODE
ADEMPÂ: DEPAMÂ
ADEMTY: DYAMET
ADEMTÂ: MÂDATE
ADEMTÔ: ADMETÔ
ADEMÂÇ: MAÇÂDE
ADENNP: DEPANN
ADENNS: DESANN
ADENNT: DETANN
ADENNÇ: ÇENDAN
ADENNÑ: NANDEÑ
ADENNÔ: ADÔNEN
ADENOP: PADONE
ADENOS: ANDOSE
ADENOY: ANDEYO
ADENPS: DEPANS
ADENPT: PENTAD
ADENPY: PANDYE
ADENSS: DESANS
        SANDES
ADENST: DESANT
ADENSÊ: ÊDESAN
ADENTT: DETANT
ADEOPT: ADOPTE
        PETADO
ADEORT: RADOTE
ADEOSY: ODASYE
ADEOTW: TAWODE
ADEPRT: TRAPDE
ADEPTY: PEDYAT
ADERSS: SEDRAS
ADESTÂ: ESTÂDA
ADESWW: SWEDWA
ADETYÂ: ÂDETAY
        DETAYÂ
ADEYZÂ: ÂDEZAY
ADEYZÔ: ADEZYÔ
ADFIKÜ: KAFÜDI
ADFNSÂ: DÂFANS
        DANFÂS
ADFOYÛ: FÛYADO
ADGILS: GLISAD
ADGINR: GRANDI
ADGINÛ: ANGÛDI
ADGIPR: GRIDAP
ADGIRY: GRIYAD
ADGIRÂ: AGRÂDI
ADGKOT: GADKOT
ADGLOY: DYALOG
ADGLSÛ: DÛGLAS
ADGMÛÜ: MADÜGÛ
ADGNNÊ: NANDÊG
ADGNOR: DRAGON
ADGNRÊ: GRÊNAD
ADGNRÔ: GRANDÔ
ADGNRÛ: GRANDÛ
ADGNYÛ: DYÛGAN
ADGRRÂ: GRÂDRA
ADGWYÛ: GWÛYAD
ADIITT: ATITID
ADIITY: DAYITI
ADIJKO: JIDOKA
ADIJNN: DJANNI
ADIJNÊ: ÊDIJAN
ADIKLS: KLISAD
ADIKMS: MISKAD
ADIKPÂ: ÂDIKAP
ADIKSÂ: AKSIDÂ
ADIKSÊ: SÊDIKA
ADIKTÂ: DÂTIKA
ADILNP: PANDIL
ADILOP: APLODI
ADILOS: SALIDO
ADILOT: ALTIDO
ADILYZ: DYALIZ
ADIMNO: ANDOMI
        DINAMO
ADIMNÇ: DIMANÇ
ADIMOZ: MIZADO
ADIMTÊ: DIMATÊ
ADIMÇÔ: MADIÇÔ
ADINNS: DISANN
        NANSID
ADINNY: DYANNI
ADINOW: AWONDI
ADINPR: PANDRI
        PRIDAN
ADINRY: DIRYAN
ADINST: DANTIS
ADINÇÊ: ÇIÊDAN
ADIOÇÇ: ÇIÇADO
ADIPRR: DRAPRI
ADIPSÊ: APÊDIS
ADIRYÊ: ADRIYÊ
ADISYÔ: ADISYÔ
ADJKTÛ: DJAKÛT
ADJLNÛ: JÛDLAN
ADJOPT: DJAPOT
ADJORÂ: ORÂJAD
ADKKOÔ: KÔKODA
ADKMOÊ: MADOKÊ
ADKNWÔ: DAKWÔN
ADKOÇÛ: KÛÇADO
ADKTYÛ: DYAKÛT
ADKYYÛ: KÛDYAY
ADLMNÊ: LANDMÊ
ADLMYÔ: MÔDYAL
ADLNOP: DAPLON
ADLNOW: WOLDAN
ADLPWÛ: PLAWÛD
ADLTWÂ: LÂDWAT
ADMNOP: PONMAD
ADMNRÂ: RÂDMAN
        RANDMÂ
ADMNSÛ: DÛSMAN
ADMNYÂ: MÂDYAN
        MANDYÂ
ADMNÊÔ: ANDÊMÔ
ADMOTY: DYATOM
ADMOYÂ: ADYOMÂ
ADNNNO: DONNAN
ADNNOT: TANDON
ADNNOÊ: ADONNÊ
ADNOSY: ODYANS
ADNOWÇ: ÇADWON
ADNPZÛ: ZANPÛD
ADNPÊÔ: PADÔNÊ
ADNRTÛ: TÛNDRA
ADNRÂÛ: ÂDÛRAN
        ANDÛRÂ
ADNSTÂ: TÂDANS
        TANDÂS
ADNSTÛ: DÛTANS
ADOPTY: DYAPOT
ADTTWÛ: TÛDWAT
AEEFKT: AFEKTE
AEEFLN: ELEFAN
AEEFMN: AFEMEN
        ANFEME
AEEFRY: FERAYE
AEEGLN: ELEGAN
AEEGLV: AVEGLE
AEEGLY: LEGAYE
AEEGMZ: EGZEMA
AEEGRS: AGRESE
AEEGRY: AGREYE
AEEGTZ: EGZEAT
AEEJMN: MENAJE
AEEJPS: ASPEJE
AEEKLN: ALEKEN
AEEKLT: EKLATE
AEEKMR: REMAKE
AEEKMZ: EKZEMA
AEEKNN: ENKANE
AEEKNS: ANKESE
AEEKNT: ANKETE
AEEKRS: KARESE
AEEKRT: RAKETE
AEEKTT: KATETE
AEEKVÇ: AÇEVEK
AEELMN: ELEMAN
AEELMR: MALERE
AEELMY: ALEMYE
AEELNV: ALEVEN
AEELRS: SELERA
AEELRT: LATERE
AEELTW: ETWALE
AEELTY: ATELYE
AEELVY: EVALYE
AEENPR: ANPERE
AEENPT: ETANPE
AEENPÇ: ANPEÇE
AEENRT: ANTERE
AEENST: SENATE
AEENTT: ANTETE
AEEPPR: APEPRE
AEEPPZ: PEZAPE
AEEPRR: REPARE
AEEPRS: PARESE
        REPASE
        SEPARE
AEEPST: ASEPTE
AEEPWZ: PAWEZE
AEERRY: ARYERE
AEESTT: ATESTE
        ESTATE
AEFGIT: FATIGE
AEFGJR: GREFAJ
AEFIJL: AFLIJE
AEFIKS: EFIKAS
AEFILY: AFILYE
AEFIMM: MAMIFE
AEFINR: RAFINE
AEFJLL: FLAJEL
AEFJOZ: EZOFAJ
AEFKKW: KEKFWA
AEFKLN: FLANKE
AEFKNR: FREKAN
        KANFRE
AEFKTY: KAFTYE
AEFKWZ: KWAFEZ
AEFLLN: FLANEL
AEFLNN: FLANNE
AEFLNR: FLERAN
AEFLNÇ: ANFLEÇ
AEFLNÊ: ÊFENAL
AEFLVY: LAFYEV
AEFMNY: MEFYAN
AEFMNÊ: ANFEMÊ
AEFMOT: FOMATE
AEFMRÂ: AFREMÂ
AEFMSÎ: MASÎFE
AEFMYÂ: ÂFEMAY
AEFNNY: FENYAN
AEFNNÜ: ANFÜEN
AEFNRS: FRANSE
AEFNSÔ: ANFÔSE
AEFNTÂ: ÂFANTE
        ANFÂTE
AEFPRS: PREFAS
AEFRYÛ: FÛRAYE
AEFTWÔ: AFWÔTE
AEFTYÔ: FAYETÔ
AEFTZÛ: ATÛFEZ
AEFWÇÛ: FAWÛÇE
AEGGNN: GENGAN
AEGGOT: GAGOTE
AEGILL: ILEGAL
AEGILN: INEGAL
AEGILR: GALERI
AEGILZ: GALIZE
AEGINV: ANVIGE
        NAVIGE
AEGINY: GIYANE
AEGIRY: GERIYA
AEGJLN: LAJENG
AEGJNO: ANGOJE
AEGLLR: LAGREL
AEGLLY: GLAYEL
AEGLMN: GANMEL
        MALENG
AEGLMR: MALGRE
AEGLNO: OGANEL
AEGLNS: SANGLE
AEGLNT: LANGET
        LATENG
AEGLNZ: ANGLEZ
        LANGEZ
        ZANGLE
AEGLOP: GALOPE
AEGLRT: GRATEL
AEGLSY: GLASYE
AEGLVÂ: AVEGLÂ
AEGMNN: ENGANM
AEGMNR: GRANME
AEGMNS: SEGMAN
AEGMNT: MANTEG
AEGMZÊ: EGZAMÊ
AEGNNR: ANGREN
        GRENNA
AEGNNT: GENTAN
AEGNPZ: EGZANP
AEGNRT: GRATEN
AEGNRV: ANGREV
AEGNRÇ: ÇAGREN
AEGPTÂ: GETAPÂ
AEGRSY: GRASYE
        GRESAY
AEGRVY: GRAVYE
AEGSWÂ: AGWESÂ
AEGTWÂ: WÂGATE
AEGYZÛ: GAZÛYE
AEIJPY: PIYAJE
AEIJRT: ERITAJ
AEIJST: AJISTE
AEIKLP: APLIKE
        KAPILE
AEIKLR: ALEKRI
        EKLARI
AEIKLS: ALEKSI
AEIKLT: KALITE
AEIKMY: MAKIYE
AEIKNT: TAKINE
AEIKPY: EKIPAY
AEIKTV: KAVITE
AEIKTÇ: AÇITEK
AEILMR: LAMERI
AEILMS: SILEMA
AEILMT: ALIMET
AEILNN: ANNILE
AEILNP: ANPILE
AEILNS: SELINA
AEILNY: ALIYEN
AEILSY: SIYALE
AEILTT: TITALE
AEILTY: LAYITE
AEIMNS: SINEMA
AEIMNT: ETAMIN
        MATINE
AEIMSY: SIMAYE
AEIMTY: AMITYE
AEIMYZ: MAYEZI
AEINPR: ANPIRE
AEINPT: ANPITE
AEINPV: PAVENI
AEINPZ: ZEPINA
AEINRÇ: ANÇERI
AEINSY: ASIYEN
AEINTV: VANITE
AEINTZ: ANIZET
AEIPRS: ASPIRE
AEIRSY: ASYERI
AEIRTY: ERITAY
        TIRAYE
AEIRTÇ: ÇARITE
AEIRVÇ: ÇAVIRE
AEIRYÇ: REÇIYA
        YERAÇI
AEISST: ASISTE
AEISTT: ESTATI
AEIWYZ: AZWEYI
AEJJNN: JENJAN
AEJLMN: MELANJ
AEJLMO: MALOJE
AEJLNO: ALONJE
AEJLNW: LWANJE
AEJLNÜ: LAJÜEN
AEJLRÔ: RALÔJE
AEJLSÛ: SÛLAJE
AEJLVY: LAVYEJ
AEJLYÜ: JÜALYE
AEJMNS: JASMEN
AEJNOP: JAPONE
AEJNPY: JANPYE
AEJNRT: ETRANJ
AEJNRV: REVANJ
AEJNTW: ANJWET
AEJNTÂ: AJÂTEN
AEJNVY: JANVYE
AEJOPT: POTAJE
AEJOVW: JEWOVA
AEKKNY: KENKAY
AEKKST: KASKET
AEKLLO: ALKOLE
AEKLMN: KLEMAN
AEKLMR: MAKREL
        REKLAM
AEKLNN: KANNEL
AEKLNO: ANKOLE
AEKLNV: KALVEN
AEKLOP: ALEPOK
AEKLOS: ALOSKE
AEKLOT: KALOTE
AEKLST: LATEKS
AEKLSV: ESKLAV
AEKLTY: AKTYEL
AEKLTÛ: ALEKÛT
AEKLVY: KLAVYE
AEKLWZ: KAZWEL
AEKMMN: KANMEM
AEKMNÂ: AMÂNKE
AEKMPY: MAKPYE
AEKMRS: KREMAS
AEKMRÂ: KAREMÂ
AEKMWÊ: AMWÊKE
AEKMZÊ: EKZAMÊ
AEKNNT: KANNTE
AEKNPS: ESKANP
AEKNPÇ: KANPEÇ
AEKNRW: RAKWEN
