AAAABMNNRS: ANBARASMAN
AADEEFFLNÊ: ALAFÊDEFEN
            ALAFENDEFÊ
AADEEGGNNN: DEGAGANNEN
AADEEGMNRZ: DEZAGREMAN
AADEEJTVZÂ: DEZAVÂTAJE
AADEEKLNSZ: ESKANDALEZ
AADEEKNNSS: AKDENESANS
AADEENPSTY: DEPASYANTE
AADEIKKLNR: KALANDERIK
AADEIKLNRY: KALANDRIYE
AADEIKLRTW: KWADRILATE
AADEIKLSWY: SIYDELAKWA
AADEILPPRT: PLATDEPARI
AADEIMNNRS: DERASINMAN
AADEKLMNNÇ: DEKLANÇMAN
AADEKLRSYÔ: DEKLARASYÔ
AADELMNNNN: NANLANDMEN
AADELMPTTÂ: DEPATMÂTAL
AADENNTTZÂ: DETANZANTÂ
            DETANZÂTAN
            DETÂZANTAN
AADESSTVYÔ: DEVASTASYÔ
AADFGIORRY: RADYOGRAFI
AADFIMNOSY: DIFAMASYON
AADFLMNOTÂ: FONDAMÂTAL
AADGIMNNSÛ: ANGÛDISMAN
AADGIMNRSÂ: AGRÂDISMAN
            AGRANDISMÂ
AADILMNOPS: APLODISMAN
AADILNOSTY: DILATASYON
AADIMNNOSW: AWONDISMAN
AADIMNORSY: ADMIRASYON
AADINNSSSW: SWASANNDIS
AADINORSYY: RADIYASYON
AADKNNOSYÔ: KÔDANASYON
            KONDANASYÔ
AADLORSVYÊ: SALVADORYÊ
AAEEEKLRST: AKSELERATE
AAEEGNPRWY: PARAGWEYEN
AAEEIKLLRT: EKILATERAL
AAEEIKNPST: ENKAPASITE
AAEEJLMNNR: JENERALMAN
AAEENPRTTZ: PREZANTATE
AAEFINRRSÇ: RAFREÇISAN
AAEFLMNSYÔ: ENFLAMASYÔ
AAEFMNSTYÔ: FEMANTASYÔ
AAEFNSTTYÔ: FETATANSYÔ
AAEGLMNOTV: GALVANOMET
AAEGOTTWWÊ: ÊTEWOGATWA
AAEIILMNTW: ELIMINATWA
AAEILMNNRT: NATIRELMAN
AAEILSVYYÔ: EVALIYASYÔ
AAEINNNPST: ANPENITANS
AAEIOPRTVZ: VAPORIZATE
AAEKLMRSYÔ: REKLAMASYÔ
AAEKLNORSY: EKLARASYON
AAEKNNNOSY: ENKANASYON
AAEKNNPSTW: PWASENKANT
AAELMSSVYÔ: MALVESASYÔ
AAELNRSSTV: TRANSVESAL
AAELNSSTYÔ: ENSTALASYÔ
AAELOPRTWY: PWOLETARYA
AAEMNSSTWY: SWASANTYEM
AAENNNPRRT: ANTREPRANN
AAENNNPWZÔ: ANPWAZÔNEN
AAENOPRRSY: REPARASYON
AAENOPRSSY: SEPARASYON
AAENORSSTY: ARESTASYON
AAENPRSVWY: PREVWAYANS
AAEOPRSVYÔ: EVAPORASYÔ
AAEPPRRSYÔ: PREPARASYÔ
AAFIIKMNPS: PASIFIKMAN
AAFILNOSYY: AFILYASYON
AAFLMNOSYÂ: ÂFLAMASYON
AAFLMNOSYÊ: ÊFLAMASYON
AAFNOPSWYÔ: PWOFANASYÔ
AAGINNOSVY: NAVIGASYON
AAGOPPSWYÔ: PWOPAGASYÔ
AAIIJMNSYÔ: IMAJINASYÔ
AAIIKKMRST: KARISMATIK
AAIILMOPST: IPOTALAMIS
AAIILNSSYÔ: ALISINASYÔ
AAIKLMNPSÔ: AKÔPLISMAN
AAIKLNOPSY: APLIKASYON
AAIKMNNOPT: KONPATIMAN
AAIKMNNSTÔ: KÔSANTIMAN
AAIKNSSVYÔ: VAKSINASYÔ
AAIKORRSTT: ARISTOKRAT
AAILMSTYÂÔ: ALIMÂTASYÔ
AAILNNOSSY: NASYONALIS
AAILPPSTYÔ: PALPITASYÔ
AAINNOPSTY: ANPITASYON
AAINOPRSSY: ASPIRASYON
AAIOSSSYYÔ: ASOSIYASYÔ
AAKMNNNOST: KONSANTMAN
AAKMNNNOTT: KONTANTMAN
AAKNRSTYZÔ: TRANZAKSYÔ
AALNNOPSTY: PLANTASYON
AALNOSSTYÊ: ÊSTALASYON
AAMNNOPWZÂ: ANPWAZONMÂ
            ÂPWAZONMAN
AAMNOORSTY: SANATORYOM
AANNNOPWZÊ: ANPWAZONNÊ
AANNNPSSÛÛ: SÛSÛPANNAN
AANORSTYYÔ: ORYANTASYÔ
ABDEEELNNS: ABSEDELENN
ABDEEJLNOS: ENSELBADJO
ABDEIJLNOZ: DEZOBLIJAN
ABDEIJNNNO: BADIJONNEN
ABDEINPSSÊ: ÊDISPENSAB
            ENDISPÊSAB
ABDINNOSYÂ: ÂBANDISYON
            ANBÂDISYON
ABEEFNNSYZ: BYENFEZANS
ABEEIILSTZ: ESTABILIZE
ABEEINNRTT: TEREBANTIN
ABEEJJNNRT: JENJANBRET
ABEEJORSTT: ESTRABOJET
ABEENNSSYY: BYENSEYANS
ABEIJJLNOW: LWIJANBOJE
ABEIKKNNSW: BISKANKWEN
ABEILMRSTÂ: RETABLISMÂ
ABEINOPRSS: IRESPONSAB
ABEKKNNOST: SENKANTKOB
ABEKLNNOOS: ENKONSOLAB
ABEKMNNORÂ: ÂKONBREMAN
            ANKONBREMÂ
ABENOOSSVY: OBSEVASYON
ABGIINOSWZ: AGWOBIZNIS
ABGILNOOSY: OBLIGASYON
ABIIKKNNOY: KONKIBINAY
ABIIKLPSYÔ: PIBLIKASYÔ
ABIIKNOTTY: ANTIBYOTIK
ABIILRSTYÔ: TRIBILASYÔ
ABILNOOSSY: ABSOLISYON
ABINNOSSVY: SIBVANSYON
ADDEEGNOVY: DEVEGONDAY
ADDEEIMNTY: DEMIYEDTAN
ADDEENNPSÂ: ENDEPÂDANS
            ENDEPANDÂS
ADDEGIKNNÊ: KINDEGADÊN
ADDEINRSVÊ: VANDREDISÊ
ADDELNPSÊÊ: LÊDEPÊDANS
ADEEEFIKNY: DEKAFEYINE
ADEEELNPYÇ: DEPLANÇEYE
ADEEEMNNRY: AMERENDYEN
ADEEENPRTZ: DEZANPETRE
ADEEFINNRS: ENDIFERANS
ADEEFKNTZÊ: DEZÊFEKTAN
ADEEGIMNPS: DEGEPISMAN
ADEEGLNOSY: DELEGASYON
ADEEGNNRYZ: ZENGREDYAN
ADEEIKKLLY: DEKILAKYEL
ADEEIKMNRT: DIREKTEMAN
ADEEIKMTZÛ: DEMAKÛTIZE
ADEEIKPRTZ: PREDIKATEZ
ADEEILMORZ: DEMORALIZE
ADEEILNNSY: DESALINYEN
ADEEIMNNOT: DENOMINATE
ADEEIMNPRR: REPRIMANDE
ADEEJMNNOZ: DEMANJEZON
ADEENORTYZ: DEZORYANTE
ADEENOTTYZ: DEZANTOTYE
ADEFIIKLSY: DISKALIFYE
ADEFIIKNTÔ: ANDEKÔFITI
ADEFIMRSWÂ: REFWADISMÂ
ADEFKNOSYÔ: FEKÔDASYON
            FEKONDASYÔ
ADEFMNOOSY: DEFOMASYON
ADEFNOPVWÛ: FONDEPÛVWA
ADEGIIKTTZ: EGZAKTITID
ADEGIINRTT: ENGRATITID
ADEGLPWYÊÛ: GWADLÛPEYÊ
ADEIILRSVY: DIVALYERIS
ADEIIMNRST: ADMINISTRE
ADEIIMNSTV: DIVETISMAN
ADEIINNPST: APENNDISIT
ADEIJLMOOT: DEMATOLOJI
ADEIJMNSWÊ: JASMÊDENWI
ADEIKKMORT: DEMOKRATIK
ADEIKLMSYÔ: MALEDIKSYÔ
ADEIKLNOSY: LEDIKASYON
ADEIKNNOSY: ENDIKASYON
ADEIKNOOSY: AKODEYONIS
ADEIKRSTVÊ: KATREVÊDIS
ADEILLRSVÂ: LADELIVRÂS
ADEILMMNOS: DEMOLISMAN
ADEIMNNNOÇ: MADIÇONNEN
ADEINNOSYY: ENDIYASYON
ADEINOSSTY: DISETASYON
ADEINSSTYÔ: DESTINASYÔ
ADEKLNOSYÔ: KÔDOLEYANS
ADEKNNORST: KONTREDANS
ADEKNOORSY: DEKORASYON
ADEKNOPRSÔ: KORESPÔDAN
ADELNOOSYZ: DEZOLASYON
ADEMNOORSY: MODERASYON
ADENNOOSTY: DETONASYON
ADENOOPSTY: DEPOTASYON
ADFIIILMNS: DIFISILMAN
ADFIKNORSY: DIFRAKSYON
ADGIKNOSTY: DYAGNOSTIK
ADIIKLMOPT: DIPLOMATIK
ADIILSSTYÔ: DISTILASYÔ
ADIIPRSSYÔ: DISPARISYÔ
ADIKNNOOSY: AKONDISYON
ADIKNOOSSY: OKSIDASYON
ADIKRSSTYÔ: DISTRAKSYÔ
ADIMNNOOSY: DOMINASYON
ADINNNOOSY: INONDASYON
AEEEIJLNRZ: JENERALIZE
AEEEIJLNVZ: EVANJELIZE
AEEEIKLPST: ESPEKILATE
AEEEILLMTZ: LEZEMILATE
AEEEINNRST: ENSINERATE
AEEELMNPPR: REPEPLEMAN
AEEELNSSVY: EVESANSYEL
AEEENNPRRT: ANTREPRENE
AEEENPRRTZ: REPREZANTE
AEEENPRSSV: PESEVERANS
AEEFIKNRST: FREKANSITE
AEEFILNNSY: ENFLIYANSE
AEEFIMNOTZ: ENFOMATIZE
AEEFIPRTVZ: PREZEVATIF
AEEFKNNRTY: FRANKETYEN
AEEFKNRSYÔ: KÔFERANSYE
AEEGGNNNNR: GANGRENNEN
AEEGIIRSTV: AGRESIVITE
AEEGINOSTY: NEGOSIYATE
AEEIIKNRST: ANSEKIRITE
AEEIJJLNOY: JENEYALOJI
AEEIJLNNST: ENTELIJANS
AEEIJNRRST: ANREJISTRE
            JENERATRIS
AEEIKMNNSY: MEKANISYEN
AEEILMNPST: SIPLEMANTE
AEEILNNSTT: ENTESTINAL
AEEILNOPST: PESONALITE
AEEILNPRSY: ENPERYALIS
AEEJKOPTVY: JAKOPYEVET
AEEJNNORSY: JENERASYON
AEEKKMNORT: KOREKTEMAN
AEEKKNNNOS: ENKONSEKAN
AEEKLMNNOT: MALONNEKTE
AEEKLMNPTÔ: KÔPLEMANTE
AEEKLNORSY: EKLERASYON
AEEKMMNRST: EKSTREMMAN
AEEKMNNSTY: SENKANTYEM
AEEKNNNOPT: ENKONPETAN
AEEKNNNOVY: ENKONVEYAN
AEEKNNNVYÔ: ENKÔVENYAN
AEEKNNOPRS: REKONPANSE
AEEKNORTTY: KONTRAYETE
AEEKNORTWY: EKWATORYEN
AEEKNPRSSY: EKSPERYANS
AEEKRRSYYÔ: REKREYASYÔ
AEEKRRTTYÔ: KÔTRARYETE
AEELMNNOTT: MALONNETTE
AEELMNNRVÛ: RENÛVELMAN
AEELMPSSYÂ: ESPESYALMÂ
AEELNNNORZ: LAREZONNEN
AEEMNNNNTV: VANTMENNEN
AEEMNNTVYY: VYETNAMYEN
AEENPRRTZÂ: REPREZANTÂ
            REPREZÂTAN
AEEPRSVYZÔ: PREZEVASYÔ
AEFIINNNSY: ENSINIFYAN
AEFIINNSYY: ENSIYIFYAN
AEFIKMNNOT: ENFONMATIK
AEFIKNNRSS: FRANSISKEN
AEFIKNOSYY: KOYEFISYAN
AEFIKNRSSÔ: SIKÔFERANS
AEFIMRRSÂÇ: RAFREÇISMÂ
AEFKMMNNOO: KONFOMEMAN
AEFKNNORSY: ENFRAKSYON
AEFKNORRSY: REFRAKSYON
AEFKRSTYÂÔ: FREKÂTASYÔ
AEFMNNOOSY: ENFOMASYON
AEFMNOSTYÂ: FEMÂTASYON
AEFMORSTTÂ: TRÂSFOMATE
AEFNOSTTYÂ: FETATÂSYON
AEGGIKNRSÔ: KÔGREGANIS
AEGGKRSYÔÔ: KÔGREGASYÔ
AEGINNOVYY: GONAYIVYEN
AEGKNORSWY: GWARYONEKS
AEIIKLNRTT: TRANKILITE
AEIIKLNRTZ: TRANKILIZE
AEIIKLRSTZ: KRISTALIZE
AEIIKMSSTT: SISTEMATIK
AEIIKNPSTT: ANTISEPTIK
AEIIKSSTTT: ESTATISTIK
AEIILLMORT: LIMORALITE
AEIILMNSYÔ: ELIMINASYÔ
AEIILNSSTW: ENSISWATIL
AEIILOPPRT: POPILARITE
AEIJKLNNOT: KONJENITAL
AEIJMNNOSY: JEMINASYON
AEIKKLLSWÂ: KELKILÂSWA
AEIKKNORST: KOSTARIKEN
AEIKNOSSTY: EKSITASYON
AEIKPRSSYÔ: EKSPIRASYÔ
AEILNOPSVW: ALENPWOVIS
AEIMNOSSTY: ESTIMASYON
AEIMNPRSTÂ: PRESANTIMÂ
            PRESÂTIMAN
AEIMNSSTVÊ: ÊVESTISMAN
AEIMPSSYÂÔ: EMÂSIPASYÔ
AEINNNPRZÔ: ANPRIZÔNEN
AEINNOPSTY: IPETANSYON
AEINNOSTVY: ENVITASYON
AEINOPRSTY: REPATISYON
AEINORSSTY: RESITASYON
AEIPRRSSYÔ: RESPIRASYÔ
AEKKLNNNOS: KLAKSONNEN
AEKLSSTYÔÔ: KÔSTELASYÔ
AEKMMNTTÂÔ: MEKÔTANTMÂ
            MEKÔTÂTMAN
AEKNNNOSSY: ENKONSYANS
AEKNNNOVYÊ: ÊKONVENYAN
AEKNOSSVYÔ: KONSEVASYÔ
            KÔSEVASYON
AEKRRTYZÔÔ: KÔTRARYEZÔ
AENNNOPWZÂ: ÂPWAZONNEN
AENNOORSVY: RENOVASYON
AENNOPRSTY: PRETANSYON
AENNOPRSVY: PREVANSYON
AEORRSSTYÔ: RESTORASYÔ
AEPRSTYZÂÔ: PREZÂTASYÔ
AFFIIILNTÊ: ALÊFINITIF
AFIIKRSTTÊ: ÊFRASTIKTI
AFIKLLNOSY: LAFLIKSYON
AFIKMNOSYÔ: KÔFIMASYON
            KONFIMASYÔ
AFILRSTYÊÔ: ÊFILTRASYÔ
AFINRSTYZÔ: TRANSFIZYÔ
AFIRRSSTYÔ: FRISTRASYÔ
AFKMNNSYÔÔ: FÔKSYÔNMAN
AGIIIKLLRT: LAGRIKILTI
AGIIMNORSY: IMIGRASYON
AGIINORSYÔ: INOGIRASYÔ
AGIKNNYÇÛÛ: ÇIKÛNGÛNYA
AIIILSTYZÔ: ITILIZASYÔ
AIIKLMMSYÊ: MAKSIMILYÊ
AIIKLNOSSY: SIKILASYON
AIIKNNOSTT: ANTITOKSIN
AIIKOPRTTY: PATRIYOTIK
AIILMNOSYY: IMILYASYON
AIILRSSTYÔ: ILISTRASYÔ
AIINNOSSYY: INISYASYON
AIINOSSTYY: SITIYASYON
AIKKLPSYÔÔ: KÔPLIKASYÔ
AIKLMNOPSÂ: AKONPLISMÂ
AIKLNOOPSY: KOPILASYON
AIKLNOPSYÔ: KONPILASYÔ
            KÔPILASYON
AIKLSSTYÔÔ: KÔSILTASYÔ
AIKMMOOTTÂ: OTOMATIKMÂ
AIKMNNOSTÂ: KONSANTIMÂ
            KONSÂTIMAN
AIKMNOOPST: KOMAPISTON
AIKNNOSSST: SIKONSTANS
AIKNOOSTYZ: KOTIZASYON
AIKPSSTYÔÔ: KÔSTIPASYÔ
AILMPPRSÂÊ: PRÊSIPALMÂ
AILNOOPPSY: POPILASYON
AIMNNPRZÂÔ: ANPRIZÔNMÂ
            ÂPRIZÔNMAN
AIMNOOSTVY: MOTIVASYON
AIMOPVWWZÂ: PWOVIZWAMÂ
AINNNOPRZÊ: ANPRIZONNÊ
AIOORSTYZÔ: OTORIZASYÔ
AJLMNNOOPW: PWOLONJMAN
AKMNOTWÂÇÛ: KAWOTÇÛMÂN
AKNORSTYZÂ: TRÂZAKSYON
AKOOPSVWYÔ: PWOVOKASYÔ
AKRSSSTYÔÛ: SÛSTRAKSYÔ
AKRSSTYÂÔÔ: KÔSÂTRASYÔ
AKRSTVYÂÔÔ: KÔTRAVÂSYÔ
ALLLTTÇÛÛÛ: LATÇÛLÛLÛT
ANOORSTYYÂ: ORYÂTASYON
BBEIIKLOTY: BIBLIYOTEK
BDEEGLNVÊÑ: VLÊGBENDEÑ
            VLENGBÊDEÑ
BDEEIILMOZ: DEMOBILIZE
BDEEIILMTÂ: DEMÂTIBILE
BDEEIKNSYÔ: BENEDIKSYÔ
BDEEIOSYZÂ: DEZOBEYISÂ
BDEEKRSTÔÔ: DEKÔSTÔBRE
BDEENNNOTÛ: DEBÛTONNEN
BDEGGLNVÊÊ: VLÊGBÊDENG
            VLÊGBENDÊG
            VLENGBÊDÊG
BDEIKMOSTÊ: KOSTIMDEBÊ
BEEEIILNST: ENBESILITE
BEEGILNVYÛ: BÛGENVILYE
BEIIILSSTÂ: SÂSIBILITE
BEIIKNOSYZ: EKZIBISYON
BEIKNNNOOZ: KONBINEZON
BEINOSSVYÂ: SIBVÂSYONE
BIIJLOORYÂ: ÂBRIYOLOJI
BIIKRSTYÔÔ: KÔTRIBISYÔ
DDEEELSTYÂ: DESÂTDELYE
DDEEIILNVY: ENDIVIDYEL
DDEEINRSVÂ: VÂDREDISEN
DDEELNPSÂÊ: LÊDEPENDÂS
            LENDEPÊDÂS
DDEEPSTÂÊÊ: ÊTEDEPÊDÂS
DDEIIKLOTÔ: DIKOTILEDÔ
DEEEEFKNTZ: DEZENFEKTE
DEEEEKPRST: DERESPEKTE
DEEEERSTZÊ: DEZÊTERESE
DEEEFIILNT: ENFIDELITE
DEEEFKNTZÂ: DEZENFEKTÂ
DEEEFPRRSÂ: DEPREFERÂS
DEEEGGLNOR: DEGRENGOLE
DEEEKKNNOT: DEKONNEKTE
DEEEKPRSTÂ: DERESPEKTÂ
DEEENNNORZ: DEREZONNEN
DEEFIIMSTY: DEMISTIFYE
DEEFILRSYÂ: DIFERÂSYEL
DEEFINNNOÇ: DEÇIFONNEN
DEEIIKLPPÂ: PEPÂDIKILE
DEEIIKLRTÊ: ÊKREDILITE
DEEIIKNSST: ENSEKTISID
DEEIJNNOSY: ENDIJESYON
DEEIKMRTÂÊ: ÊDIREKTEMÂ
DEEIKNOSYÔ: EKÔDISYONE
DEEIKPRVYÊ: DEKIPREVYÊ
DEEIKPSSYÔ: EKSPEDISYÔ
DEEINNOSYZ: ENDESIZYON
DEEINOPSSY: ESPEDISYON
DEEISTTYYÊ: DYETETISYÊ
DEEKLNOOTW: DEKONTWOLE
DEELNNOPTÔ: DEPLOTÔNEN
DEFFIIINTÂ: ÂDEFINITIF
DEFIIKNOTÂ: ÂDEKONFITI
DEFIINNOSY: DEFINISYON
DEFIKLSYÂÔ: KÔFIDÂSYEL
DEIIILNNPS: DISIPLINEN
            ENDISIPLIN
DEIIILNPSÊ: ÊDISIPLINE
DEIIKLOPSÂ: ÂSIKLOPEDI
DEIILLPPZÂ: DEPLIZÂPLI
DEIJLMOOOT: METODOLOJI
DEIKNOPRSY: PREDIKSYON
DEIKNSSTYÔ: DISTENKSYÔ
DEIKPRSSYÔ: DESKRIPSYÔ
DEIKRSSTYÔ: DESTRIKSYÔ
DEILMNOOSY: DEMOLISYON
DEILOOVYYZ: ODYOVIZYEL
DEINOOPSYZ: DEPOZISYON
DEKLNOOSYÂ: KONDOLEYÂS
DEKNOOPRSÂ: KORESPONDÂ
DEKOPRSSÂÔ: KORESPÔDÂS
DELNNOOPTÊ: DEPLOTONNÊ
DIIIJKRSYÔ: JIRIDIKSYÔ
DIIIKMNRSÊ: DISKRIMINÊ
DIIIMNNOSY: DIMINISYON
DIIKMNOORT: MITOKONDRI
DIIOPSSYZÔ: DISPOZISYÔ
DIKNOOPSWY: PWODIKSYON
DIKNOSSTYÊ: DISTÊKSYON
EEEELNNVYZ: VENEZYELEN
EEEFKNOPSY: PEFEKSYONE
EEEIIKNRST: ENSEKIRITE
EEEIILRSTZ: ESTERILIZE
EEEIJNNSTY: JENETISYEN
EEEIJNOTWZ: JENEWOZITE
EEEIKMNNST: EKSTEMINEN
EEEIKMRSTT: EKSTREMITE
EEEIMPRSTÂ: ESPERIMÂTE
EEEJKNSTYÔ: ENTEJEKSYÔ
EEEKLLTTYÊ: ÊTELEKTYEL
EEEKNSSTYÔ: ENTESEKSYÔ
EEFKLNORSY: REFLEKSYON
EEFKMPSYÂÔ: PEFEKSYÔMÂ
EEFKNORSYÂ: KONFERÂSYE
EEFNOOSTTZ: FOTOSENTEZ
EEIIKMNNNR: ENKRIMINEN
EEIINNRSTT: SENTRINITE
EEIJKMORTW: JEWOMETRIK
EEIJKMORTY: JEYOMETRIK
EEIJLMOOTY: METEYOLOJI
EEIKLNORSY: REKONSILYE
EEIKLRSTYÊ: ELEKTRISYÊ
EEIKNOPSSY: PESEKISYON
EEILNOSTVY: TELEVISYON
EEIMNSSTVÂ: ENVESTISMÂ
EEINOPRSTY: REPETISYON
EEIOPPRSTW: PWOSPERITE
EEIOPPRTWY: PWOPRIYETE
EEJKNOSTYÊ: ÊTEJEKSYON
EEKKNNNOSY: KEKSYONNEN
EEKKNORSSY: EKSKRESYON
EEKLMNOPTÂ: KONPLEMÂTE
EEKMNOORTW: KWONOMETRE
EEKNNNOVYÂ: ENKONVENYÂ
EEKNNOPSSY: ENSPEKSYON
EEKNOSSTYÊ: ÊTESEKSYON
EEKOOPSSTT: ESTETOSKOP
EELNNOPRSY: LENPRESYON
EEMNNNNOPW: PWONMENNEN
EFIIKKNOST: KONSEKITIF
EFIKNNRSYÔ: FRIKSYÔNEN
EFIKNORSSÂ: SIKONFERÂS
EGNOOPRSWY: PWOGRESYON
EIIIJLPRVY: PRIVILIJYE
EIIILLMPTY: MILTIPLIYE
EIIJJKLNOO: JINEKOLOJI
EIIKKLNOPT: POLITEKNIK
EIIKNNOSYZ: ENKIZISYON
EIILNOPSTY: POLITISYEN
EIINSSTTYÔ: ENSTITISYÔ
EIIPSSSTYÔ: SIPESTISYÔ
EIKKMMNOOÂ: EKONOMIKMÂ
EIKLMOOSTT: MOTOSIKLET
EIKMNNOOSY: KOMISYONNE
EIKMNNOSYÔ: KÔMISYONNE
            KONMISYÔNE
EIKNOPSTYÔ: KONPETISYÔ
            KÔPETISYON
EIKNPRSSYÔ: ENSKRIPSYÔ
EIKNRSSTYÔ: ENSTRIKSYÔ
EIKRRSSTYÔ: RESTRIKSYÔ
EIKRTVVYÂÊ: KRETYÊVIVÂ
EILNOORSVY: REVOLISYON
EIMOOPRSTT: OPTOMETRIS
EINNNOPRZÂ: ÂPRIZONNEN
EIOPPRSYZÔ: PREPOZISYÔ
EJKNOOPSWY: PWOJEKSYON
EKLNOOPSYZ: EKSPLOZYON
EKMMNOTTÂÂ: MEKONTÂTMÂ
EKNNOOPSSY: KONSEPSYON
EKNOOPSTWY: PWOTEKSYON
EKNOORTTTÛ: TÛTOKONTRE
EKPRSYYÂÔÔ: KÔPREYÂSYÔ
ENNNNOOYZZ: ZONZONNYEN
FIKNNORSYÊ: FRIKSYONNÊ
FINORSTYZÂ: TRÂSFIZYON
FKMNNOSYÂÔ: FÔKSYONNMÂ
            FONKSYÔNMÂ
GMNNPRÊÊÊÔ: GRÊNPÔMÊNÊ
IIKLMOOSST: MOTOSIKLIS
IIKNOSSYZÔ: SIKONSIZYÔ
            SIKÔSIZYON
IIKSSTTYÔÔ: KÔSTITISYÔ
IINOOPSSYZ: SIPOZISYON
IINOSSTTYÊ: ÊSTITISYON
IKKLNNOOYZ: KONKLIZYON
IKKRSSTYÔÔ: KÔSTRIKSYÔ
IKNOOPSYZÔ: KONPOZISYÔ
            KÔPOZISYON
IKNOPRSSYÊ: ÊSKRIPSYON
IKNORSSTYÊ: ÊSTRIKSYON
IMNNOPRZÂÂ: ÂPRIZONNMÂ
IOOPPSWYZÔ: PWOPOZISYÔ
JKKNNOOSYÔ: KÔJONKSYON
            KONJÔKSYON
            KONJONKSYÔ
