AAAADFLMNNN: ANMALDANFAN
ADEEIKNORST: EKSTRAODINE
ADEEIKNRSTV: KATREVENDIS
ADEEILRSTZÂ: DESÂTRALIZE
ADEEIMNSTYÔ: DETEMINASYÔ
ADEFFIIINNT: ANDEFINITIF
ADEFIIKNNOT: ANDEKONFITI
ADEFIKLNSYÔ: KÔFIDANSYEL
ADEFKNNOOSY: FEKONDASYON
ADEFMOSYZÊÔ: DEZÊFOMASYÔ
ADEIIKLNOPS: ANSIKLOPEDI
ADEIILLNPPZ: DEPLIZANPLI
ADEIJKLMOOT: DEMATOLOJIK
ADEIKLMNOSY: MALEDIKSYON
ADEIKOPSYZÔ: DEZOKIPASYÔ
ADEIKRSVYÂÔ: REVÂDIKASYÔ
ADEIMNNOSYÔ: DENOMINASYÔ
ADEINNOSSTY: DESTINASYON
ADEINSSYYÔÔ: DENÔSIYASYÔ
ADEKLNNOOSY: KONDOLEYANS
ADEKMORSYÂÔ: REKOMÂDASYÔ
ADEKNNOOPRS: KORESPONDAN
ADEKNOPRSSÔ: KORESPÔDANS
ADEMRSSTYÔÔ: DEMÔSTRASYÔ
ADIILNOSSTY: DISTILASYON
ADIINOPRSSY: DISPARISYON
ADIKKRSTYÔÔ: KÔTRADIKSYÔ
ADIKMOSTYÂÔ: DOKIMÂTASYÔ
ADIKNORSSTY: DISTRAKSYON
AEEEIMNPRST: ESPERIMANTE
AEEEJNRRSYÔ: REJENERASYÔ
AEEFKMNPSYÔ: PEFEKSYÔMAN
AEEFKNNORSY: KONFERANSYE
AEEGIIILRRT: IREGILARITE
AEEIIKRTTVY: KREYATIVITE
AEEIMNNSSTV: ENVESTISMAN
AEEKLMNNOPT: KONPLEMANTE
AEEKMRTTVYÊ: KATREVÊTYEM
AEEKNNNNOVY: ENKONVENYAN
AEEKNORRSYY: REKREYASYON
AEEKNORRTTY: KONTRARYETE
AEENOPRSVYZ: PREZEVASYON
AEFFIIILNNT: ALENFINITIF
AEFIIKNRSTT: ENFRASTIKTI
AEFIILSSTYÔ: FELISITASYÔ
AEFIIOPRTYZ: FIZYOTERAPI
AEFIKNNORSS: SIKONFERANS
AEFILNRSTYÔ: ENFILTRASYÔ
AEFKKLMOOST: KOFLESTOMAK
AEFKNORSTYÂ: FREKÂTASYON
AEGGIKNNORS: KONGREGANIS
AEGGKNORSYÔ: KÔGREGASYON
             KONGREGASYÔ
AEGINOSSYYÔ: NEGOSIYASYÔ
AEIIIKLMNRT: KRIMINALITE
AEIIKLMMNSY: MAKSIMILYEN
AEIILMNNOSY: ELIMINASYON
AEIILPRSSTT: PERISTALTIS
AEIKKLPSSYÔ: EKSPLIKASYÔ
AEIKKMMNNOO: EKONOMIKMAN
AEIKKMOSSTÂ: MÂSIKATOEKS
AEIKNOPRSSY: EKSPIRASYON
AEIKNRTVVYÊ: KRETYÊVIVAN
AEILMNPPRSÂ: PRENSIPALMÂ
AEIMNOPSSYÂ: EMÂSIPASYON
AEINNNNOPRZ: ANPRIZONNEN
AEINOPRRSSY: RESPIRASYON
AEKLNOSSTYÔ: KONSTELASYÔ
             KÔSTELASYON
AEKMMNNOTTÂ: MEKONTANTMÂ
             MEKONTÂTMAN
AEKNNOOSSVY: KONSEVASYON
AEKNORRTYZÔ: KONTRARYEZÔ
             KÔTRARYEZON
AEKNPRSYYÔÔ: KÔPREYANSYÔ
AENOORRSSTY: RESTORASYON
AENOPRSTYZÂ: PREZÂTASYON
AEOPSSTTWYÔ: PWOTESTASYÔ
AFIIIKSSYYÔ: SIYIFIKASYÔ
AFIKMNNOOSY: KONFIMASYON
AFILNORSTYÊ: ÊFILTRASYON
AFINNORSTYZ: TRANSFIZYON
AFINORRSSTY: FRISTRASYON
AFKMNNNOSYÔ: FÔKSYONNMAN
             FONKSYÔNMAN
AGIINNOORSY: INOGIRASYON
AIIILNOSTYZ: ITILIZASYON
AIIJKLLMOOT: KLIMATOLOJI
AIIKKMNOSYÔ: KOMINIKASYÔ
AIIKMNRSYÊÔ: ÊKRIMINASYÔ
AIILMNRSTYÔ: MALNITRISYÔ
AIILNOPSYZÔ: POLINIZASYÔ
AIILNORSSTY: ILISTRASYON
AIKKLNOPSYÔ: KONPLIKASYÔ
             KÔPLIKASYON
AIKLNNOOPSY: KONPILASYON
AIKLNOSSTYÔ: KONSILTASYÔ
             KÔSILTASYON
AIKNOPSSTYÔ: KONSTIPASYÔ
             KÔSTIPASYON
AIMNNNOPRZÂ: ANPRIZONNMÂ
             ÂPRIZONNMAN
AIMRSSTYYÂÔ: MÂSTRIYASYÔ
AINOOORSTYZ: OTORIZASYON
AIOPSVWYZÊÔ: ÊPWOVIZASYÔ
AIPRRSSTYÂÔ: TRÂSPIRASYÔ
AKNOOOPSVWY: PWOVOKASYON
AKNORSSSTYÛ: SÛSTRAKSYON
AKNORSSTYÂÔ: KONSÂTRASYÔ
             KÔSÂTRASYON
AKNORSTVYÂÔ: KONTRAVÂSYÔ
             KÔTRAVÂSYON
BBEEIIKLOTY: BIBLIYOTEKE
BDEEEIIKLRZ: DEZEKILIBRE
BDEEGGLNNVÊ: VLÊGBENDENG
             VLENGBÊDENG
             VLENGBENDÊG
BDEEIKMNOST: KOSTIMDEBEN
BDEEIKNNOSY: BENEDIKSYON
BDEEIOSSYZÂ: DEZOBEYISÂS
BDEEKNORSTÔ: DEKONSTÔBRE
             DEKÔSTONBRE
BDIIIRSSTYÔ: DISTRIBISYÔ
BEELMNRTTÂÂ: TRÂBLEMÂNTE
BEIORSSTTYÊ: OBSTETRISYÊ
BIIKNORSTYÔ: KONTRIBISYÔ
             KÔTRIBISYON
DDEEELNNPSÂ: LENDEPENDÂS
DDEEENPSTÂÊ: ENTEDEPÊDÂS
             ÊTEDEPENDÂS
DDEIIKLNOOT: DIKOTILEDON
DEEEEENRSTZ: DEZENTERESE
DEEEIIKLNRT: ENKREDILITE
DEEEIKMNRTÂ: ENDIREKTEMÂ
DEEEIKNPRVY: DEKIPREVYEN
DEEEINSTTYY: DYETETISYEN
DEEEJKNOSYÔ: DEKÔJESYONE
DEEEKPRSSTÂ: DERESPEKTÂS
DEEIIILNNPS: ENDISIPLINE
DEEIIJNSSVY: SEVISDIJYEN
DEEIKNNOOSY: EKONDISYONE
DEEIKNOPSSY: EKSPEDISYON
DEEKLMOSYÂÔ: MEKÔDOLEYÂS
DEELNNNOOPT: DEPLOTONNEN
DEFIKLNOSYÂ: KONFIDÂSYEL
DEIIIKKTTVÔ: KÔDIKTIVITE
DEIIIKMNNRS: DISKRIMINEN
DEIKMSTTÂÊÊ: ÊDISTÊKTEMÂ
DEIKNNOSSTY: DISTENKSYON
DEIKNOPRSSY: DESKRIPSYON
DEIKNORSSTY: DESTRIKSYON
DEIKOPRSWYÔ: REPWODIKSYÔ
DEIKOPSYZÔÔ: DEKÔPOZISYÔ
DEILOPSVWYÂ: PWOVIDÂSYEL
DEKNOOPRSSÂ: KORESPONDÂS
DIIIJKNORSY: JIRIDIKSYON
DIINOOPSSYZ: DISPOZISYON
DIIOPSSYZÊÔ: ÊDISPOZISYÔ
EEEEKLLNTTY: ENTELEKTYEL
EEEIIKLRSTT: ELEKTRISITE
EEEIKLNRSTY: ELEKTRISYEN
EEEILMRSSTY: SEMESTRIYEL
EEEJKNNOSTY: ENTEJEKSYON
EEEKMNNTTWÂ: KWETMÂNENET
EEEKNNOSSTY: ENTESEKSYON
EEFIJKLNSYÔ: JENIFLEKSYÔ
EEFIKNOPSSY: PEFEKSYONIS
EEFKMNOPSYÂ: PEFEKSYONMÂ
EEFLNOOPSWY: PWOFESYONEL
EEIILMNRSTY: MINISTERYEL
EEIJLMOOSTY: METEYOLOJIS
EEIJMRRSTÂÂ: ÂREJISTREMÂ
EEIKNRTVVYÂ: KRETYENVIVÂ
EFIKNNNORSY: FRIKSYONNEN
EGMNNNPRÊÊÔ: GRENNPÔMÊNÊ
             GRÊNPÔMÊNEN
             GRÊNPÔMENNÊ
EIINNOSSTTY: ENSTITISYON
EIINOPSSSTY: SIPESTISYON
EIKMNNNOOSY: KONMISYONNE
EIKNNOOPSTY: KONPETISYON
EIKNNOPRSSY: ENSKRIPSYON
EIKNNORSSTY: ENSTRIKSYON
EIKNORRSSTY: RESTRIKSYON
EINOOPPRSYZ: PREPOZISYON
EIOPSSTTTWÂ: PWOTESTÂTIS
EKNOPRSYYÂÔ: KONPREYÂSYÔ
             KÔPREYÂSYON
ELNOOOPPSWY: PWOPOSYONEL
FIIIKKRSSYÔ: KRISIFIKSYÔ
FKMNNNOOSYÂ: FONKSYONNMÂ
GMNNNOPRÊÊÊ: GRÊNPONMÊNÊ
GMNNOPRWÊÊÊ: GRÊNPWOMÊNÊ
IIKNNOOSSYZ: SIKONSIZYON
IIKNOSSTTYÔ: KONSTITISYÔ
             KÔSTITISYON
IIOPSSTTWYÔ: PWOSTITISYÔ
IKKNORSSTYÔ: KONSTRIKSYÔ
             KÔSTRIKSYON
IKNNOOOPSYZ: KONPOZISYON
INOOOPPSWYZ: PWOPOZISYON
JKKNNNOOOSY: KONJONKSYON
