AAABDENS: ANBASADE
AAFILLMY: FAMILYAL
AAFILMNN: FINALMAN
AAFIMSYÔ: AFIMASYÔ
AAFINNNT: ANFANTIN
AAFINSYY: FIYANSAY
AAFKLMYÛ: KAMÛFLAY
AAFLNNOT: LAFONTAN
AAFMNNRÇ: FRANÇMAN
AAFMNRSÔ: FRANMASÔ
AAFMNTWÔ: AFWÔTMAN
AAFNNNSÂ: ÂNANFANS
          ANNÂFANS
          ANNANFÂS
AAFNRTYÊ: FARÊNAYT
AAGIJPRY: GRAPIYAJ
AAGIJPSY: GASPIYAJ
AAGIKLNN: ANGLIKAN
AAGIKLPS: PIKAGLAS
AAGIKNOT: KITANAGO
AAGILNRT: GALANTRI
AAGILNTÇ: LANGIÇAT
AAGILPSW: LASIGWAP
AAGIMNOW: MAWOGANI
AAGINRTÇ: GANTRIÇA
AAGIPSYY: GASPIYAY
AAGKRSVÂ: AKSÂGRAV
AAGLMTYÔ: MALATYÔG
AAGMNNYÛ: MANGÛYAN
AAGMNOYZ: ZOMANGAY
AAGMNRTÊ: GRANMATÊ
AAGNPRRÂ: GRANPARÂ
          GRÂPARAN
AAIILNSV: AVILISAN
AAIJKMYÊ: JAMAYIKÊ
AAIJMNNT: JANTIMAN
AAIJMNPS: MASPINAJ
AAIJMRST: MAJISTRA
AAIJNVWZ: VWAZINAJ
AAIJSTYÔ: AJITASYÔ
AAIKKMST: KASKAMIT
AAIKLLSÇ: ÇALKALIS
AAIKLMMÂ: AMIKALMÂ
AAIKLNTT: ATLANTIK
          TANTAKIL
AAIKLOPT: KATAPOLI
AAIKLTVW: LAVIKTWA
AAIKNPRT: PRATIKAN
AAIKSYZÔ: AKIZASYÔ
AAILMNNT: LANMITAN
AAILNRTY: LANTIRAY
AAIMNSYÔ: ANIMASYÔ
AAIMNTYZ: ZANMITAY
AAINNRSÊ: ANRASINÊ
AAINNSSÊ: ANSASINÊ
AAINNTTÇ: ÇITATANN
AAINSSST: ASISTANS
AAINVWYZ: VWAZINAY
AAIPRSYÔ: APARISYÔ
AAISSYYÔ: ASIYASYÔ
AAISVYYÔ: AVIYASYÔ
AAJKNNOP: KAPONNAJ
AAJKNPRÔ: KRAPÔNAJ
AAJLMNSÛ: SÛLAJMAN
AAJLNRTÛ: LANTÛRAJ
AAJNPSTÛ: PÛSANTAJ
AAKKLNRÛ: KARANKLÛ
AAKKLORY: KLOKARYA
AAKKNNNÊ: KANKANNÊ
AAKLMNOS: KALMASON
AAKLNNVÊ: VALKANNÊ
AAKLNPTÛ: KANTALÛP
AAKLNTYÊ: ALYÊNKAT
AAKMMNNO: KOMANMAN
AAKMMNNÛ: KÛMANMAN
AAKMORWY: AKWARYOM
AAKNNNNÂ: KÂNANNAN
          KANNÂNAN
          KANNANNÂ
AAKNNOPY: KAPONNAY
AAKNNRWY: KWARYANN
AAKNPRYÔ: KRAPÔNAY
AAKNSTWÊ: AKWÊTANS
AAKNSTYÛ: SANKÛTYA
AAKNSTÇÛ: SANKÛTÇA
AAKNSYÊÔ: ÊKANASYÔ
AAKRSTYÔ: ATRAKSYÔ
AALMMNWÂ: MÂMANLWA
          MANMÂLWA
AALMNNNY: LANMYANN
AALMNPSÂ: ANPLASMÂ
          ÂPLASMAN
AALMOTYÑ: MALATYOÑ
AALNNOPT: PANTALON
AALNNOSY: NASYONAL
AALNOPTW: PATWONAL
AALNORTY: ORYANTAL
AALNOTZÛ: OZALANTÛ
AALNRTYÛ: LANTÛRAY
AALOOPST: APOSTOLA
AAMMNNSÂ: SÂMANMAN
          SANMÂMAN
          SANMANMÂ
AAMMNNÇÇ: ÇANMÇANM
AAMNNOPT: ANPOTMAN
AAMNNRTÊ: ANTRÊMAN
AAMNNTWÇ: WATÇMANN
AAMNPTWÊ: APWÊTMAN
AAMPRSSY: PRAYSMAS
AANNNOPR: RANPANNO
AANNNORY: ANRANYON
AANNNRTÂ: ÂNANTRAN
          ANNANTRÂ
          ANNÂTRAN
AANNOSSY: ASANSYON
AANNOSTY: ATANSYON
AANNPYÇÔ: ÇANPYÔNA
AANNSTZÂ: SANZATÂN
          SÂZATANN
AANNTTZÂ: TANZANTÂ
          TANZÂTAN
          TÂZANTAN
AANOSSTW: OSTANSWA
AANPRSYÔ: SARANPYÔ
AANPSSYÊ: ÊPASYANS
AANSSSYÔ: SANSASYÔ
ABBDEEYÛ: DEBABÛYE
ABBDENOY: BONBADYE
ABBDMNOÂ: BONBADMÂ
ABBEKLNO: BEKANBOL
ABBEKLOZ: ZABELBOK
ABBINNOÊ: ANBOBINÊ
ABDDEMNO: DEBODMAN
ABDEEIYZ: DEZABIYE
ABDEELNS: SALDEBEN
ABDEELNW: ABDENWEL
ABDEEMNR: DEMANBRE
ABDEENRÇ: DEBRANÇE
ABDEEPSS: DESPABES
ABDEESTT: DETESTAB
ABDEGINR: BRIGANDE
ABDEGIRY: BRIGADYE
ABDEGIRÂ: ÂBRIGADE
ABDEIIST: ABSIDITE
ABDEIKTY: DYABETIK
ABDEINTW: TABDENWI
ABDEIRZÊ: ÊDEZIRAB
ABDEKLLÊ: KALBLÊDE
ABDELNYÛ: BANDÛLYE
ABDELOYZ: DEBLOZAY
ABDEMOYÊ: MAYODEBÊ
ABDEMWZÂ: DEBWAZMÂ
ABDENNNÔ: BANDÔNEN
ABDENNOÂ: ABÂDONEN
ABDEOTWÂ: DEWOTÂBA
ABDGINYÊ: GADYÊNBI
ABDGIRYÂ: BRIGÂDAY
ABDIILMN: MANDIBIL
ABDIJNWÔ: BIDJAWÔN
ABDIJNÊÔ: BADIJÔNÊ
ABDIKLOY: DYABOLIK
ABDILMSÛ: BÛLDIMAS
ABDINSYÔ: BANDISYÔ
ABDIPSWÊ: PWÊDISAB
ABDMNNÔÛ: BÛDÔNMAN
ABDNNNOÊ: BANDONNÊ
ABDOOOYZ: AZOBODOY
ABEEFPRR: PREFERAB
ABEEIKNT: ENKIBATE
ABEEILST: SELIBATE
ABEEKSTZ: BASKETEZ
ABEEKTWY: KABWETYE
ABEELSZÂ: ÂBAZESEL
ABEEMPYÊ: ÊPEMEYAB
ABEFLMSÊ: BLASFEMÊ
ABEFMNNÛ: MANFÛBEN
ABEGLMNO: LAGONMBE
ABEGNOSY: NEGOSYAB
ABEGNRRÑ: GRANBREÑ
ABEIKLOV: VOKABILE
ABEIKNNR: KRABINEN
ABEIKOWY: AYEWOBIK
ABEILNST: SIBALTEN
ABEINNSS: ENSANSIB
ABEINNST: BISANTNE
ABEINOSY: OBEYISAN
ABEINSYZ: ANBISYEZ
ABEINSYÔ: IBENASYÔ
ABEKLNNÔ: KÔBELANN
ABEKMNTÂ: BATMÂNKE
ABEKNNNÛ: BÛKANNEN
ABEKNNOR: ANKONBRE
ABEKNORY: BAKONYER
ABEKRSSÔ: RESKÔSAB
ABELLTÂÇ: LABLÂÇET
ABELMMZÛ: MAZÛMBEL
ABELMNOZ: MAZONBEL
ABELNNNO: BALONNEN
ABELNRVÛ: RENÛVLAB
ABENNTWÇ: BWATÇENN
ABENOSWY: BWASONYE
ABENSTYÂ: ESTÂNBAY
ABEORSSW: BRASEWOS
ABEPRSSÔ: RESPÔSAB
ABEPRTZÂ: PREZÂTAB
ABETYYÂÛ: ÂBÛTEYAY
ABFIILST: FISTIBAL
ABFIOPTW: PWOFITAB
ABFKNOOT: KONFOTAB
ABFLWYÂÂ: FLÂBWAYÂ
ABGGNRRÊ: GRANBRÊG
ABGLLMOÂ: GLOBALMÂ
ABGNNRRÊ: GRANBRÊN
ABIIKLLT: LAKILBIT
ABIIKLST: BALISTIK
ABIIKOTY: ABIYOTIK
ABIILNRT: TRIBINAL
ABIKORTW: BIWOKRAT
ABILMNÂÛ: MÂNIBÛLA
ABILMOSÂ: ABSOLIMÂ
ABILOSYÔ: ABOLISYÔ
ABILSYÂÇ: BLÂÇISAY
ABIMSTÂÛ: ABÛTISMÂ
ABINNORY: ANBRIYON
ABINNOSY: ANBISYON
ABINOSTY: BITASYON
ABIOPSTÊ: ÊSIPOTAB
ABIRSVYÔ: VIBRASYÔ
ABITTVÂÂ: ÂBATIVÂT
ABKLOSÊÔ: ÊKÔSOLAB
ABKLSTÂÊ: SALTÊBÂK
ABKNNNOW: KANBWONN
ABKOOTYY: BOYKOTAY
ABLLNNÂÇ: BLÂÇLANN
          BLANÇLÂN
ABLMNNOÂ: BALONNMÂ
ABLOOOTÇ: ABOLOTÇO
ABNNOOTW: TOWOBANN
ABNOOOTÇ: ABONOTÇO
ADDEEJMO: DEDOMAJE
ADDEIILP: DILAPIDE
ADDEINPR: DEPRADIN
ADDEINRV: VANDREDI
ADDEJMOO: JAMEDODO
ADDEMOOY: DODOMEYA
ADDENPÂÊ: ÊDEPÂDAN
          ÊDEPANDÂ
ADDENSSÂ: DESÂDANS
          DESANDÂS
ADDERTWÂ: DWADÂTRE
ADDIIKKT: DIDAKTIK
ADDIINNV: DIVIDANN
ADDIKNTÂ: DIKDANTÂ
          DIKDÂTAN
ADEEELPR: REPEDALE
ADEEFIMP: PEDEFAMI
ADEEFLNZ: DEZANFLE
ADEEFMNY: DEMEFYAN
ADEEFMZÔ: MEZÔDAFE
ADEEGLMO: MODELAGE
ADEEGLNS: DESANGLE
ADEEIKMY: DEMAKIYE
ADEEIKNT: ENDIKATE
ADEEIKPT: DEKAPITE
ADEEIKRT: AKREDITE
ADEEIKTY: DEKATIYE
ADEEILVZ: DEVALIZE
ADEEINRS: DERASINE
ADEEINST: DESINATE
ADEEIPYZ: DEZAPIYE
ADEEISTV: ADVESITE
ADEEJKRÛ: DEKÛRAJE
ADEEJNRÇ: DEREÇANJ
ADEEKLNN: DELENKAN
ADEEKLNÇ: DEKLANÇE
ADEEKLSÂ: ESKÂDALE
ADEELMNN: LANDEMEN
ADEELMNT: DEMANTLE
ADEELMWZ: DEMWAZEL
ADEELNNY: LADENNYE
ADEELNYÇ: ÇANDELYE
ADEEMMSY: MESYEDAM
ADEEMMZÂ: DEZAMEMÂ
ADEEMNNN: NANDEMEN
ADEEMORT: MODERATE
ADEEMTWY: DEMWATYE
ADEENNNP: DEPANNEN
ADEENNOT: ETANDONE
ADEENNSS: ENDESANS
ADEENRTV: DEVANTRE
ADEENRVZ: REVANDEZ
ADEENVYÂ: AVÂDENYE
ADEEPRZÂ: DEZÂPARE
ADEEPSWZ: DEZESPWA
ADEFIIKT: EDIKATIF
ADEFIINP: DEPAFINI
ADEFIJKT: ADJEKTIF
ADEFIMRÂ: DIFERAMÂ
ADEFINRS: DIFERANS
ADEFINRÊ: ÊDIFERAN
ADEFLOSV: VOLDEFAS
ADEFNNOR: ANFONDRE
ADEFWYÂÛ: ÂFÛDWAYE
ADEGGMTÂ: GADMÂTEG
ADEGGNÂÊ: DEGAGÂNÊ
ADEGIJMO: DEMAGOJI
ADEGIJOP: PEDAGOJI
ADEGINNR: GRENADIN
ADEGINRZ: GRANDIZE
ADEGNRYÊ: ÊGREDYAN
ADEGNSTÛ: DEGÛTANS
ADEGOTWÇ: DWATEGOÇ
ADEGTTWÛ: TWADEGÛT
ADEIILPR: EPIDIRAL
ADEIIMPR: APREMIDI
ADEIINTT: IDANTITE
ADEIIPRT: RAPIDITE
ADEIJLNS: DELIJANS
ADEIJMNN: DEMIJANN
ADEIJNNS: ENDIJANS
ADEIJNSV: DIVEJANS
ADEIKKLS: KILDESAK
ADEIKLMO: LAKOMEDI
ADEIKMMÂ: MEDIKAMÂ
ADEIKMNS: MISKADEN
ADEIKNST: TANDISKE
ADEIKSTÂ: AKSIDÂTE
ADEIKSYÔ: EDIKASYÔ
ADEILMNÇ: LEDIMANÇ
ADEILMPP: PALMIPED
ADEILPTW: PIDETWAL
ADEIMNNÔ: AMIDÔNEN
ADEINNPR: ENPRIDAN
ADEINOSY: ADISYONE
ADEINPRZ: PREZIDAN
ADEINPSS: DISPANSE
ADEINRSY: SANDRIYE
ADEIPRST: DISPARET
ADEIPRTY: PEDYATRI
ADEIRVYZ: DRIVAYEZ
ADEJLOPV: DJOLPAVE
ADEKLNSÊ: DELÊKANS
ADEKMNNO: KONMANDE
ADEKMNOÊ: DEMAKONÊ
ADEKMORT: DEMOKRAT
ADEKMRÂÂ: ÂKADREMÂ
ADEKNNOS: KONDANSE
ADEKNOOY: AKODEYON
ADEKNOSY: DYAKONES
ADELMNRÂ: MALÂDREN
ADELMNWÛ: DEWÛLMAN
ADELMPSÂ: DEPLASMÂ
ADELNOPY: PLENYADO
ADELNOSY: DOLEYANS
          LODYANSE
ADELOPYZ: DEPLOZAY
ADELOSSÂ: ADOLESÂS
ADEMNNNO: ANDENMON
ADEMNNTÛ: DETÛNMAN
ADEMNPYÛ: DEPÛYMAN
ADEMORTY: RADYOMET
ADEMRYÊÊ: AMERÊDYÊ
ADENNNOP: PADONNEN
ADENNTTÊ: TENTÊNAD
          TÊTENNAD
ADENOPTV: DEVANPOT
ADENSTYÔ: DETANSYÔ
ADFIIKTÊ: ÊDIKATIF
ADFIKNNO: KONFIDAN
ADFIKNSÔ: KÔFIDANS
ADFIOPWÔ: APWOFÔDI
ADFLMÂÂÂ: ÂMALDÂFÂ
ADFNOSYÔ: FÔDASYON
          FONDASYÔ
ADGIMNZÛ: GÛMANDIZ
ADGINNRÊ: GRÊNADIN
ADGIRSTÂ: SÂTIGRAD
ADGNORYZ: GRANDYOZ
ADIIJLNS: DILIJANS
ADIILNPT: ANPLITID
ADIILORT: IDOLATRI
ADIINRST: DISANTRI
ADIINRTV: VIDIRANT
ADIIPSTÊ: APÊDISIT
ADIJLNTÛ: TIJÛDLAN
ADIJMNNÂ: DÂMIJANN
          DANMIJÂN
ADIKMOOZ: KAZIMODO
ADIKNNOR: ANDOKRIN
ADIKPPYÂ: DAPPIYÂK
ADIKSYÊÔ: ÊDIKASYÔ
ADIKSYÔÔ: AKÔDISYÔ
ADILMNNO: LANMIDON
          LIMONNAD
ADILMOPT: DIPLOMAT
ADILNOTZ: ZANDOLIT
ADIMNNOS: DOMINANS
ADIMNNOÊ: AMIDONNÊ
ADIMNNRÊ: MANDRINÊ
ADIMNOSY: ADMISYON
ADIMNSTÛ: TÛDISMAN
ADIMNSYÔ: DIMANSYÔ
ADIMNÇÊÔ: MADIÇÔNÊ
ADIMSWÂÔ: AWÔDISMÂ
ADINORVY: IDRAVYON
ADINOSTW: SITWONAD
ADINPRSÊ: ÊPRIDANS
ADINRSYÔ: SANDRIYÔ
ADINSTYÔ: DANTISYÔ
ADINSYÔÔ: INÔDASYÔ
ADIPPPYÂ: DAPPIYÂP
ADISYYÊÔ: ÊDIYASYÔ
ADKKTYÛÛ: DYAKÛKÛT
ADKMMNOÂ: KOMÂDMAN
          KOMANDMÂ
ADKMNNOÂ: KONMÂDAN
          KONMANDÂ
ADKMNNOÛ: DÛKOMANN
ADKNOOPS: ANDOSKOP
ADLMNNÂÊ: NÂLANDMÊ
          NANLÂDMÊ
ADLMOPWÊ: PALÊDWOM
ADMNNOSÂ: ADÂMSONN
ADNNOOSY: DONASYON
ADNOOPSY: ADOPSYON
ADNPSTÂÂ: PÂDANSTÂ
          PÂDÂSTAN
          PANDÂSTÂ
AEEEGLNS: SENEGALE
AEEEJKRZ: EKZAJERE
AEEEJNRT: JENERATE
AEEEKLRS: AKSELERE
AEEEKRST: EKSETERA
AEEEKTYZ: EKZEYATE
AEEELMNT: ELEMANTE
AEEELNRT: ALENTERE
AEEESSTZ: ASETSEZE
AEEFIRST: AFRESITE
AEEFKKLW: KELKEFWA
AEEFKLMT: MALFEKTE
AEEFKNRT: FREKANTE
AEEFKRRT: REFRAKTE
AEEFLNRT: FRATENEL
AEEFMNOT: ENFOMATE
AEEFOPRT: PEFORATE
AEEGIPST: ESPAGETI
AEEGLMNR: REGLEMAN
AEEGLMRT: TELEGRAM
AEEIKLPS: ESKAPILE
AEEIKMNR: AMERIKEN
AEEILNPT: PENALITE
AEEILRTV: LAVERITE
AEEILRTY: ELATRIYE
          REYALITE
AEEILRYZ: REYALIZE
AEEIMMTT: EMATIMET
AEEIMNPS: EMANSIPE
AEEIMNRT: NIMERATE
AEEIMNTT: MATENITE
AEEINRTV: ANVERITE
AEEINSTZ: ANESTEZI
AEEJKLTÔ: KÔJELATE
AEEJLNRT: LETRANJE
AEEJLNRY: ALJERYEN
AEEJLNRÂ: ÂJENERAL
AEEJLRTÂ: ALETRÂJE
AEEJNNRS: ENJERANS
AEEKKLSW: KELKESWA
AEEKKPST: ESPEKTAK
AEEKLNSS: EKSELANS
AEEKLORT: ELEKTORA
AEEKMNSW: AMWENSKE
AEEKMOST: ESKAMOTE
          ESTOMAKE
AEEKMSTÔ: ESTÔMAKE
AEEKNRTV: KATREVEN
          VENKATRE
AEEKNSTY: ANKSYETE
AEEKRSTV: RESTAVEK
AEELMNRY: REYELMAN
AEELMORY: AMELYORE
AEELMRTT: MALTRETE
AEELNPRY: ENPERYAL
AEELNPTZ: PLEZANTE
AEELNSSY: ESANSYEL
AEELNSTW: SENTELWA
AEELNSYZ: SALEZYEN
AEELPSSY: ESPESYAL
AEELRTYÊ: ALÊTERYE
AEELSVYÔ: ELEVASYÔ
AEEMMNOT: ANEMOMET
AEEMNNSS: SENSEMAN
AEEMNNST: ESTAMENN
AEEMNSTÇ: MEÇANSTE
AEENNNNÇ: ANÇENNEN
AEENNPZÇ: ÇENPANZE
AEENNRYZ: ZARENYEN
AEENNSZÔ: ASEZÔNEN
AEENPRSS: ESPERANS
AEENPRTZ: PREZANTE
AEENPSTY: SEPANTYE
AEENRSTÊ: ÊTERESAN
AEENTVVY: VATEVYEN
AEFGJORY: JEYOGRAF
AEFGLMNÔ: GÔFLEMAN
AEFGNRYÛ: GRAFÛYEN
AEFIIKST: SETIFIKA
AEFIILST: FASILITE
AEFIIPRT: APERITIF
AEFIJNRW: JWIFERAN
AEFIKLSY: KLASIFYE
AEFIKNRY: ENFRAYIK
AEFIKRRT: FRAKTIRE
AEFIKRSY: SAKRIFYE
AEFILMOT: FOMALITE
AEFILNPY: PLANIFYE
AEFILSTV: FESTIVAL
AEFINNRT: ENFANTRI
AEFINRSZ: FRANSIZE
AEFINRYZ: FARIZYEN
AEFIORVZ: FAVORIZE
AEFJLLMO: FLAJELOM
AEFKNNOS: KANSONFE
AEFKNOSY: AFEKSYON
AEFLNNPÔ: PLAFÔNEN
AEFLNSYÔ: ENFLASYÔ
AEFLOSTV: VOLTEFAS
AEFLTWYÔ: LAFWÔTYE
AEFPTWWÛ: WATEPWÛF
AEGGNNNR: GANGRENN
AEGGNOYZ: GANGOZYE
AEGIJLNN: NEGLIJAN
AEGIJNSZ: EGZIJANS
AEGIKORT: KATEGORI
AEGIKSTÂ: AKSÂTEGI
AEGILLMÂ: ILEGALMÂ
AEGILMNY: MANGLIYE
AEGIMNNT: MANNIGET
AEGIMNRS: GRANMESI
AEGIMNZÊ: EGZAMINÊ
AEGIMRSY: GRIMASYE
AEGINRRÇ: GRANÇIRE
AEGJMNRÂ: GRÂMANJE
          GRANMÂJE
AEGJNNOÇ: ÇENANGOJ
AEGKLNOT: KOLANGET
AEGKLNTÛ: KÛLANGET
AEGKNSTZ: GANKSTEZ
AEGLNNNO: GALONNEN
AEGMMNNÔ: MANGÔMEN
AEGMMNTÂ: GETMÂMAN
          GETMANMÂ
AEGMNNVÛ: GÛVENMAN
AEGMNRTÂ: GRÂMATEN
AEGMNRWÊ: MARÊGWEN
          MARENGWÊ
AEGMOPRW: PWOGRAME
AEGMRRYÊ: GRAMERYÊ
AEGNNOPT: PENTAGON
AEGNNOSY: NEGOSYAN
AEGNNRYÔ: GARYÔNEN
AEGNNTVÛ: GÛVENANT
