AAAACCPR: ACCAPARA
AAABINNS: BANANAIS
AAABINNT: BANANAIT
AAABINRT: BARATINA
AAABINSS: BASANAIS
AAABINST: BASANAIT
AAABIQRU: BARAQUAI
AAABIRSS: ABRASAIS
          ARABISAS
          RABAISSA
AAABIRST: ABRASAIT
          ARABISAT
AAABIRTT: ABATTRAI
          BARATTAI
AAABISSS: ABAISSAS
AAABISST: ABAISSAT
          TABASSAI
AAABISSV: BAVASSAI
AAABISTT: ABATTAIS
AAABISTV: BATAVIAS
AAABITTT: ABATTAIT
AAABJQRU: BARJAQUA
AAABKLSV: BAKLAVAS
AAABKRSS: RABASKAS
AAABLLST: BALLASTA
AAABLMRS: MALABARS
AAABLNTT: ABLATANT
AAABLNTY: BALAYANT
AAABLPRS: PALABRAS
AAABLPRT: PALABRAT
AAABLSTT: ATTABLAS
AAABLTTT: ATTABLAT
AAABMNNS: BAMANANS
AAABMSST: MASTABAS
AAABNNNT: BANANANT
AAABNNST: BASANANT
AAABNRST: ABRASANT
AAABNSTT: ABATANTS
AAABNTTT: ABATTANT
AAABQRSU: BARAQUAS
AAABQRTU: BARAQUAT
AAABRRTT: RABATTRA
AAABRSTT: ABATTRAS
          BARATTAS
AAABRSTU: ARABUSTA
AAABRTTT: BARATTAT
AAABSSST: TABASSAS
AAABSSSV: BAVASSAS
AAABSSTT: TABASSAT
AAABSSTV: BAVASSAT
AAACCCHS: CACHACAS
AAACCDIR: CACARDAI
AAACCDIS: CASCADAI
          SACCADAI
AAACCDRS: CACARDAS
AAACCDRT: CACARDAT
AAACCDSS: CASCADAS
          SACCADAS
AAACCDST: CASCADAT
          SACCADAT
AAACCEGS: SACCAGEA
AAACCEPR: ACCAPARE
          CARAPACE
AAACCGNR: RACAGNAC
AAACCHLN: CALANCHA
AAACCHRV: CRAVACHA
AAACCILM: ACCLAMAI
AAACCINN: CANCANAI
AAACCLMS: ACCLAMAS
AAACCLMT: ACCLAMAT
AAACCLOR: CARACOLA
AAACCLRS: CARACALS
AAACCLSV: CASCAVAL
AAACCNNS: CANCANAS
AAACCNNT: CANCANAT
AAACCRSS: CASCARAS
AAACDELS: ESCALADA
AAACDEMR: CAMARADE
AAACDENR: ANACARDE
          DRACAENA
AAACDETU: CADEAUTA
AAACDFIR: CAFARDAI
AAACDFRS: CAFARDAS
AAACDFRT: CAFARDAT
AAACDFRU: FAUCARDA
AAACDHHS: CHAHADAS
AAACDHPR: CHAPARDA
AAACDINR: CANADAIR
          CANARDAI
AAACDIRV: CAVIARDA
AAACDLNR: CALANDRA
AAACDLPR: PLACARDA
AAACDLRV: CLAVARDA
AAACDMMS: MACADAMS
AAACDNNO: ANACONDA
AAACDNRR: RANCARDA
AAACDNRS: CANARDAS
AAACDNRT: CANARDAT
AAACDOTV: ADVOCAAT
AAACDRST: CADASTRA
AAACEEGV: AGAVACEE
AAACEFGR: CARAFAGE
AAACEFRR: CARAFERA
AAACEGIP: PACAGEAI
AAACEGIR: AGACERAI
AAACEGMS: AGACAMES
AAACEGNT: AGACANTE
AAACEGPR: PACAGERA
AAACEGPS: PACAGEAS
AAACEGPT: PACAGEAT
AAACEGRS: AGACERAS
AAACEGSS: AGACASSE
AAACEGST: AGACATES
AAACEHLR: ACHALERA
AAACEHLT: CALATHEA
AAACELNT: ANALECTA
          CATALANE
AAACELRV: CAVALERA
AAACELST: CATALASE
AAACEMST: CASEMATA
AAACENRV: AVANCERA
          CARAVANE
AAACEPRT: CARAPATE
AAACFHLS: FALACHAS
AAACFILT: CALFATAI
AAACFIRS: CARAFAIS
AAACFIRT: CARAFAIT
AAACFLST: CALFATAS
AAACFLTT: CALFATAT
AAACFNRT: CARAFANT
AAACFRSS: FRACASSA
AAACGINR: GARANCAI
AAACGINT: CAATINGA
AAACGMNR: ARMAGNAC
AAACGNRS: GARANCAS
AAACGNRT: GARANCAT
AAACGNST: AGACANTS
          CASTAGNA
AAACHHNR: HARNACHA
AAACHILS: ACHALAIS
AAACHILT: ACHALAIT
AAACHIMN: AMANCHAI
AAACHINP: PANACHAI
AAACHINR: ACHARNAI
AAACHIRR: ARRACHAI
AAACHIRV: AVACHIRA
AAACHITT: ATTACHAI
AAACHLMN: ALMANACH
AAACHLNT: ACHALANT
AAACHLPY: ACALYPHA
AAACHMNR: RAMANCHA
AAACHMNS: AMANCHAS
AAACHMNT: AMANCHAT
AAACHMRR: CHAMARRA
AAACHMRW: CHAWARMA
AAACHNPS: PANACHAS
AAACHNPT: PANACHAT
AAACHNRS: ACHARNAS
AAACHNRT: ACHARNAT
AAACHRRS: ARRACHAS
AAACHRRT: ARRACHAT
AAACHRTT: RATTACHA
AAACHSTT: ATTACHAS
AAACHTTT: ATTACHAT
AAACIJSS: JACASSAI
AAACILMN: CALAMINA
AAACILNS: CANALISA
AAACILSV: CAVALAIS
AAACILTV: CAVALAIT
AAACIMNS: MACANAIS
AAACINSV: AVANCAIS
AAACINTV: AVANCAIT
AAACIRTV: CRAVATAI
AAACIRTY: CARTAYAI
AAACJMRS: JACAMARS
AAACJMRU: MARACUJA
AAACJSSS: JACASSAS
AAACJSST: JACASSAT
AAACLMRS: CALAMARS
AAACLNRV: CARNAVAL
AAACLNST: CATALANS
AAACLNTV: CAVALANT
AAACLPST: CATALPAS
AAACLRSZ: ALCAZARS
AAACLSTY: CATALYSA
AAACMRSS: MACASSAR
          MASCARAS
          MASSACRA
AAACNNTV: AVANCANT
AAACNOPT: CAPONATA
AAACNOSV: CASANOVA
AAACNRST: NACARATS
AAACNRSU: ARAUCANS
AAACNSST: CANASTAS
AAACOSSV: AVOCASSA
AAACPRTU: CRAPAUTA
AAACRSST: TRACASSA
AAACRSTV: CRAVATAS
AAACRSTY: CARTAYAS
AAACRTTV: CRAVATAT
AAACRTTY: CARTAYAT
AAADEGLR: ALGARADE
AAADEIMN: AMANDAIE
AAADEMNP: EMPANADA
AAADENTV: VANADATE
AAADEPRR: PARADERA
AAADEPRT: ADAPTERA
          PETARADA
          READAPTA
AAADFFIR: AFFADIRA
AAADFGLS: FLAGADAS
AAADFINS: FAISANDA
AAADFRSY: FARADAYS
AAADGGHS: AGGADAHS
AAADGJNS: JANGADAS
AAADGLUV: GALVAUDA
AAADGMRU: MARGAUDA
AAADGNRT: ADRAGANT
AAADHIRS: HASARDAI
AAADHMNR: RAMADHAN
AAADHNRS: DARSHANA
AAADHRSS: HASARDAS
AAADHRST: HASARDAT
AAADIINN: ANDAINAI
AAADILLT: TAILLADA
AAADIMNT: DIAMANTA
          MANDATAI
AAADIMOU: AMADOUAI
AAADIMRU: MARAUDAI
AAADIMSS: DAMASSAI
AAADINNR: ANDRIANA
AAADINNS: ANDAINAS
AAADINNT: ANDAINAT
AAADINTT: ANTIDATA
AAADIPRS: PARADAIS
AAADIPRT: PARADAIT
AAADIPST: ADAPTAIS
AAADIPTT: ADAPTAIT
AAADIRTT: ATTARDAI
AAADIRTU: TARAUDAI
AAADIRUV: RAVAUDAI
AAADLMNS: MANDALAS
AAADMNRS: RAMADANS
AAADMNST: MANDATAS
AAADMNTT: MANDATAT
AAADMNTU: TAMANDUA
AAADMOSU: AMADOUAS
AAADMOTU: AMADOUAT
AAADMRSS: MADRASAS
AAADMRSU: MARAUDAS
AAADMRTU: MARAUDAT
AAADMSSS: DAMASSAS
AAADMSST: DAMASSAT
AAADNPRS: PASDARAN
AAADNPRT: PARADANT
AAADNPTT: ADAPTANT
AAADNRSS: DARSANAS
AAADRSTT: ATTARDAS
AAADRSTU: TARAUDAS
AAADRSUV: RAVAUDAS
AAADRTTT: ATTARDAT
AAADRTTU: TARAUDAT
AAADRTUV: RAVAUDAT
AAAEEFFG: AFFEAGEA
AAAEEGLT: ETALAGEA
AAAEEGMN: AMENAGEA
AAAEEGNP: APANAGEE
AAAEFFLR: AFFALERA
AAAEFFMR: AFFAMERA
AAAEFGGR: AGRAFAGE
AAAEFGRR: AGRAFERA
AAAEFLRR: RAFALERA
AAAEFPRR: PARAFERA
AAAEFPRT: PATARAFE
AAAEGILX: AGALAXIE
AAAEGIMN: MANAGEAI
AAAEGIMR: RAMAGEAI
AAAEGIPR: PAGAIERA
AAAEGIPT: TAPAGEAI
AAAEGIRV: RAVAGEAI
AAAEGLMM: AMALGAME
AAAEGLMN: LAMANAGE
AAAEGLMX: MALAXAGE
AAAEGMNR: MAGANERA
          MANAGERA
AAAEGMNS: MANAGEAS
AAAEGMNT: MANAGEAT
AAAEGMRR: AMARRAGE
          RAMAGERA
AAAEGMRS: RAMAGEAS
AAAEGMRT: RAMAGEAT
AAAEGNPR: APANAGER
AAAEGNPS: APANAGES
AAAEGNPZ: APANAGEZ
AAAEGNRR: ARRANGEA
AAAEGNTV: AVANTAGE
AAAEGPRT: PARTAGEA
          TAPAGERA
AAAEGPRY: PAGAYERA
AAAEGPST: TAPAGEAS
AAAEGPTT: TAPAGEAT
AAAEGPTU: PATAUGEA
AAAEGRRT: TARARAGE
AAAEGRRV: RAVAGERA
AAAEGRSV: RAVAGEAS
AAAEGRTV: RAVAGEAT
AAAEHINR: AHANERAI
AAAEHLST: ALTHAEAS
AAAEHMNR: MAHARANE
AAAEHMNS: AHANAMES
AAAEHNPS: ANAPHASE
AAAEHNRS: AHANERAS
AAAEHNSS: AHANASSE
AAAEHNST: AHANATES
AAAEILRV: AVALERAI
AAAEIPRS: APAISERA
AAAEIRRS: ARASERAI
AAAEIRRV: AVARIERA
AAAEIRTX: ATARAXIE
AAAEKKRT: KARATEKA
AAAELLPT: PALATALE
AAAELMRR: ALARMERA
AAAELMRX: MALAXERA
AAAELMSS: ASSAMELA
AAAELMSV: AVALAMES
AAAELNPT: PANATELA
AAAELNPU: PALAUANE
AAAELNRV: RAVENALA
AAAELNTV: AVALANTE
AAAELRRV: RAVALERA
AAAELRSV: AVALERAS
AAAELSSV: AVALASSE
AAAELSTV: AVALATES
AAAEMNRT: AMARANTE
AAAEMRRR: AMARRERA
AAAEMRSS: AMASSERA
          ARASAMES
AAAENPRV: PAVANERA
AAAEPPRT: APPATERA
AAAEPRTX: PARATAXE
AAAERRSS: ARASERAS
AAAERSSS: ARASASSE
AAAERSST: ARASATES
AAAERSTV: SAVATERA
AAAFFIIR: AFFAIRAI
AAAFFIIT: AFFAITAI
AAAFFILS: AFFALAIS
AAAFFILT: AFFALAIT
AAAFFIMS: AFFAMAIS
AAAFFIMT: AFFAMAIT
AAAFFIRS: AFFAIRAS
AAAFFIRT: AFFAIRAT
AAAFFISS: AFFAISSA
AAAFFIST: AFFAITAS
AAAFFITT: AFFAITAT
AAAFFLLS: ALFALFAS
AAAFFLNT: AFFALANT
AAAFFLSS: FALSAFAS
AAAFFMNT: AFFAMANT
AAAFGIRR: RAGRAFAI
AAAFGIRS: AGRAFAIS
AAAFGIRT: AGRAFAIT
AAAFGNRT: AGRAFANT
AAAFGRRS: RAGRAFAS
AAAFGRRT: RAGRAFAT
AAAFILRS: RAFALAIS
AAAFILRT: RAFALAIT
AAAFINRS: SAFRANAI
AAAFINST: FANATISA
          FANTASIA
AAAFIPRS: PARAFAIS
AAAFIPRT: PARAFAIT
AAAFIRST: RATAFIAS
AAAFLNRT: RAFALANT
AAAFMNST: FANTASMA
AAAFNPRT: PARAFANT
AAAFNRSS: SAFRANAS
AAAFNRST: SAFRANAT
AAAGGIRV: AGGRAVAI
AAAGGLNS: GALANGAS
AAAGGRSV: AGGRAVAS
AAAGGRTV: AGGRAVAT
AAAGHINR: HIRAGANA
AAAGHNRU: HARANGUA
AAAGHRRS: HARRAGAS
AAAGIINR: AGRAINAI
AAAGIKNS: NAGAIKAS
AAAGILMM: MAMALIGA
AAAGILNS: ANGLAISA
AAAGILPT: GALAPIAT
AAAGILPU: ALPAGUAI
AAAGIMNS: MAGANAIS
          MAGASINA
AAAGIMNT: MAGANAIT
AAAGINPS: PAGANISA
AAAGINRS: AGRAINAS
AAAGINRT: AGRAINAT
AAAGINSZ: GAZANIAS
AAAGIPSY: PAGAYAIS
AAAGIPTY: PAGAYAIT
AAAGIRSS: ASSAGIRA
AAAGKMNS: MANGAKAS
AAAGLMNS: MALANGAS
AAAGLPSU: ALPAGUAS
AAAGLPTU: ALPAGUAT
AAAGMNNT: MAGANANT
AAAGMNRZ: MAZAGRAN
AAAGNPTY: PAGAYANT
AAAGNRST: TANAGRAS
          TANGARAS
AAAGNRSU: GUARANAS
AAAGNSTY: YATAGANS
AAAGPSST: PASTAGAS
AAAGPSTU: PATAUGAS
AAAHHHKL: HALAKHAH
AAAHHKLS: HALAKHAS
AAAHIKNS: NAHAIKAS
AAAHIMNR: MAHARANI
AAAHINNY: HINAYANA
AAAHINSV: HAVANAIS
AAAHIPPR: PARAPHAI
AAAHIRRS: HARARAIS
AAAHIRSS: HARASSAI
AAAHLPST: ASPHALTA
AAAHMMST: MAHATMAS
AAAHMNRT: HARMATAN
AAAHMRSW: SHAWARMA
AAAHPPRS: PARAPHAS
AAAHPPRT: PARAPHAT
AAAHRSSS: HARASSAS
AAAHRSST: HARASSAT
AAAIILLT: ALLAITAI
AAAIILRS: SALARIAI
AAAIILSV: AVALISAI
AAAIIMNR: AMARINAI
AAAIIMNT: AIMANTAI
AAAIIMRT: AMATIRAI
AAAIIPPR: APPAIRAI
          APPARIAI
AAAIIPPT: PIAPIATA
AAAIIPSS: APAISAIS
AAAIIPST: APAISAIT
AAAIIRSV: AVARIAIS
AAAIIRTV: AVARIAIT
AAAIJNSV: JAVANAIS
AAAILLPR: RAPAILLA
AAAILLPT: PALATIAL
AAAILLRS: SALARIAL
AAAILLST: ALLAITAS
AAAILLTT: ALLAITAT
AAAILMRS: ALARMAIS
          MALARIAS
AAAILMRT: ALARMAIT
          AMIRALAT
AAAILMSX: MALAXAIS
AAAILMTX: MALAXAIT
AAAILNPR: APLANIRA
AAAILNSS: NASALISA
AAAILNSV: VALAISAN
AAAILNSY: ANALYSAI
AAAILPRT: APLATIRA
AAAILRSS: SALARIAS
AAAILRST: SALARIAT
AAAILRSV: RAVALAIS
AAAILRTV: RAVALAIT
AAAILSSV: AVALISAS
AAAILSTV: AVALISAT
AAAIMNRS: AMARINAS
AAAIMNRT: AMARINAT
AAAIMNST: AIMANTAS
AAAIMNTT: AIMANTAT
AAAIMRRS: AMARRAIS
AAAIMRRT: AMARRAIT
AAAIMRSS: RAMASSAI
AAAIMRST: AMATIRAS
AAAIMSSS: AMASSAIS
          ASSAMAIS
AAAIMSST: AMASSAIT
AAAINOPR: PARANOIA
AAAINPRR: PARRAINA
AAAINPST: APAISANT
AAAINPSV: PAVANAIS
AAAINPTV: PAVANAIT
AAAINQRU: ARNAQUAI
AAAINRSY: ARYANISA
AAAINRTT: RATATINA
AAAINRTV: AVARIANT
AAAINSST: ASTANAIS
AAAIPPRR: RAPPARIA
AAAIPPRS: APPAIRAS
          APPARAIS
          APPARIAS
AAAIPPRT: APPAIRAT
          APPARAIT
          APPARIAT
AAAIPPRV: VARAPPAI
AAAIPPST: APPATAIS
AAAIPPTT: APPATAIT
AAAIPRRT: PARAITRA
          RAPATRIA
AAAIPRST: PARASITA
AAAIPRTT: ATTRAPAI
AAAIPSSV: PIASSAVA
AAAIQTTU: ATTAQUAI
AAAIRRTT: ATTRAIRA
AAAIRSSS: RASSASIA
AAAISSTV: SAVATAIS
AAAISTTV: SAVATAIT
AAAKNNRS: KANNARAS
AAAKNRST: ASTRAKAN
AAALLPPR: RAPLAPLA
AAALLRST: TRALALAS
AAALMNNS: MANNALAS
AAALMNOS: ANOMALAS
AAALMNRT: ALARMANT
AAALMNTX: MALAXANT
AAALMRSS: MARSALAS
AAALMSSS: MASSALAS
AAALNNST: LANTANAS
AAALNPQU: PALANQUA
AAALNPRT: RATAPLAN
AAALNPST: APLANATS
AAALNPSU: PALAUANS
AAALNRTV: RAVALANT
AAALNSSY: ANALYSAS
AAALNSTV: AVALANTS
AAALNSTY: ANALYSAT
AAALPRSY: PARALYSA
AAALPTUX: PALATAUX
AAALSSVV: VAVASSAL
AAAMNOPR: PANORAMA
AAAMNRRT: AMARRANT
AAAMNRST: MARANTAS
AAAMNSST: AMASSANT
AAAMORVZ: ROMAZAVA
AAAMPRST: ASPARTAM
AAAMQRTU: MATRAQUA
AAAMRSSS: RAMASSAS
          SAMSARAS
AAAMRSST: RAMASSAT
AAAMRSTU: TAMARAUS
AAANNPTV: PAVANANT
AAANPPTT: APPATANT
AAANQRSU: ARNAQUAS
AAANQRTU: ARNAQUAT
AAANRRTW: WARRANTA
AAANSTTV: SAVATANT
AAAPPRST: APPARATS
AAAPPRSV: VARAPPAS
AAAPPRTV: VARAPPAT
AAAPPRUX: APPARAUX
AAAPQRTU: PARAQUAT
AAAPRRTT: RATTRAPA
AAAPRSTT: ATTRAPAS
          PATATRAS
AAAPRTTT: ATTRAPAT
AAAQRTTU: RATTAQUA
AAAQSTTU: ATTAQUAS
AAAQTTTU: ATTAQUAT
AABBCEHS: BABACHES
AABBCELN: BANCABLE
AABBCHMO: BAMBOCHA
AABBCLRS: SCRABBLA
AABBDDEI: ABBADIDE
AABBDMOR: BOMBARDA
AABBDMOU: BADABOUM
AABBEEGR: EBARBAGE
AABBEERR: BARBAREE
          EBARBERA
AABBEILS: BAISABLE
AABBEIRR: BARBARIE
          BARBERAI
AABBEIRS: EBARBAIS
AABBEIRT: EBARBAIT
AABBEIRU: EBAUBIRA
AABBEKLN: BANKABLE
AABBEKLS: KABBALES
AABBELLM: BLAMABLE
AABBELLS: BABALLES
          BASEBALL
AABBELLT: BLABLATE
AABBELOR: BABOLERA
AABBELTT: BATTABLE
AABBEMRS: BARBAMES
AABBENRT: BARBANTE
          EBARBANT
AABBEQRU: BARBAQUE
AABBERRS: BARBARES
          BARBERAS
AABBERSS: BARBASSE
AABBERST: BARBATES
AABBERUX: BARBEAUX
AABBFIIR: BARBIFIA
AABBHSST: SHABBATS
AABBIILL: BABILLAI
          BILABIAL
AABBILLS: BABILLAS
AABBILLT: BABILLAT
AABBILMR: BRIMBALA
AABBILOS: BABOLAIS
AABBILOT: BABOLAIT
AABBILRS: BARIBALS
AABBILRT: BARBITAL
AABBILTU: BALBUTIA
AABBINRT: RABBINAT
AABBIORS: ABSORBAI
AABBIORT: BARBOTAI
AABBLMOU: BAMBOULA
AABBLNOT: BABOLANT
AABBLOSU: BALOUBAS
AABBNRST: BARBANTS
          BRABANTS
AABBORSS: ABSORBAS
AABBORST: ABSORBAT
          BARBOTAS
AABBORTT: BARBOTAT
AABCCEEL: ACCABLEE
AABCCEIZ: CACABIEZ
AABCCELR: ACCABLER
AABCCELS: ACCABLES
AABCCELZ: ACCABLEZ
AABCCEMU: MACCABEU
AABCCENT: CACABENT
AABCCHKS: CASHBACK
AABCCNOS: CACABONS
AABCDEER: ABCEDERA
AABCDEHI: DEBACHAI
AABCDEHS: DEBACHAS
AABCDEHT: DEBACHAT
AABCDEHU: DEBAUCHA
AABCDEIL: DEBACLAI
          DECABLAI
AABCDEIR: CARABIDE
AABCDEIS: ABCEDAIS
AABCDEIT: ABCEDAIT
AABCDELS: DEBACLAS
          DECABLAS
AABCDELT: DEBACLAT
          DECABLAT
AABCDELU: CLABAUDE
AABCDENT: ABCEDANT
AABCDERS: CABARDES
AABCDHMR: CHAMBARD
AABCDIOR: BOCARDAI
AABCDKRW: DRAWBACK
AABCDLSU: CLABAUDS
AABCDNRR: BRANCARD
AABCDORR: BROCARDA
AABCDORS: BOCARDAS
AABCDORT: BOCARDAT
AABCEEFS: FABACEES
AABCEEHR: RABACHEE
AABCEEIL: LABIACEE
AABCEELM: CAMBALEE
AABCEELN: BALANCEE
AABCEELS: CABALEES
AABCEENN: ENCABANE
AABCEENS: CABANEES
AABCEERS: SCARABEE
AABCEERX: EXACERBA
AABCEESU: ESCABEAU
AABCEGHN: BANCHAGE
AABCEGHS: BACHAGES
AABCEGLO: ABLOCAGE
AABCEGLS: BACLAGES
          CABLAGES
AABCEGMR: CAMBRAGE
AABCEGOT: CABOTAGE
AABCEGRS: CABRAGES
AABCEHIR: BACHERAI
AABCEHIU: EBAUCHAI
AABCEHLR: CHABLERA
AABCEHMS: BACHAMES
AABCEHMU: EMBAUCHA
AABCEHNR: BANCHERA
          BARNACHE
          EBRANCHA
AABCEHRR: RABACHER
AABCEHRS: BACHERAS
          RABACHES
AABCEHRV: BRAVACHE
AABCEHRZ: RABACHEZ
AABCEHSS: BACHASSE
AABCEHST: BACHATES
AABCEHSU: EBAUCHAS
AABCEHTU: EBAUCHAT
AABCEILM: CAMBIALE
          EMBACLAI
AABCEILR: BACLERAI
          CABLERAI
AABCEILZ: CABALIEZ
AABCEIMN: AMBIANCE
AABCEIMR: CAMBERAI
AABCEINR: BANCAIRE
          CABINERA
          CARABINE
AABCEINZ: CABANIEZ
AABCEIRR: CABRERAI
AABCEIRS: CARAIBES
AABCELLP: PLACABLE
AABCELMR: CAMBALER
AABCELMS: BACLAMES
          CABLAMES
          CAMBALES
          EMBACLAS
AABCELMT: EMBACLAT
AABCELMZ: CAMBALEZ
AABCELNR: BALANCER
          BARNACLE
AABCELNS: BALANCES
          BANCALES
AABCELNT: CABALENT
AABCELNZ: BALANCEZ
AABCELOR: ALBACORE
AABCELOT: TABACOLE
AABCELPS: CAPABLES
AABCELPT: CAPTABLE
AABCELRS: BACLERAS
          CABLERAS
AABCELRT: BRACTEAL
          CARTABLE
          TRACABLE
AABCELRU: CABALEUR
AABCELSS: BACLASSE
          CABLASSE
          CASSABLE
AABCELST: BACLATES
          CABLATES
AABCELSU: ABACULES
AABCELUX: CABLEAUX
AABCEMMS: CAMBAMES
AABCEMRR: CAMBRERA
AABCEMRS: CABRAMES
          CAMBERAS
          MACABRES
AABCEMSS: CAMBASSE
AABCEMST: CAMBATES
AABCEMSU: MACABEUS
AABCENNT: CABANENT
AABCENST: BACANTES
          CABESTAN
AABCENTT: BATTANCE
AABCEORT: ACROBATE
          CABOTERA
AABCERRS: CABRERAS
AABCERSS: BARCASSE
          CABRASSE
AABCERST: CABARETS
          CABRATES
AABCESST: CABASSET
AABCFIIL: BIFACIAL
AABCHILR: BRACHIAL
AABCHILS: CHABLAIS
AABCHILT: CHABLAIT
AABCHIMR: CHAMBRAI
AABCHINR: BRANCHAI
AABCHINS: BANCHAIS
AABCHINT: BANCHAIT
AABCHIOT: BACHOTAI
          COHABITA
AABCHIOU: ABOUCHAI
AABCHIOV: BAVOCHAI
AABCHLNT: CHABLANT
AABCHMRS: CHAMBRAS
AABCHMRT: CHAMBRAT
AABCHMRY: CHAMBRAY
AABCHNNT: BANCHANT
AABCHNOU: CHABANOU
AABCHNRS: BRANCHAS
AABCHNRT: BRANCHAT
AABCHOST: BACHOTAS
AABCHOSU: ABOUCHAS
AABCHOSV: BAVOCHAS
AABCHOTT: BACHOTAT
AABCHOTU: ABOUCHAT
AABCHOTV: BAVOCHAT
AABCIILR: CALIBRAI
AABCIINS: CABINAIS
AABCIINT: CABINAIT
AABCILLU: CABILLAU
AABCILMS: ALAMBICS
AABCILNS: SCABINAL
AABCILOR: CABRIOLA
AABCILOT: CLABOTAI
AABCILRS: CALIBRAS
AABCILRT: CALIBRAT
AABCILSU: BASCULAI
AABCIMRS: CAMBRAIS
AABCIMRT: CAMBRAIT
AABCIMUX: CAMBIAUX
AABCINNS: CANNABIS
AABCINNT: CABINANT
AABCINOT: CABOTINA
AABCINOU: BOUCANAI
AABCINRS: CARABINS
AABCIORT: ABRICOTA
          CRABOTAI
AABCIOSS: CABOSSAI
AABCIOST: CABOTAIS
AABCIOTT: CABOTAIT
AABCIRRU: CARBURAI
AABCKLPY: PLAYBACK
AABCKNRS: SNACKBAR
AABCLMOU: CAMBOULA
AABCLNOS: CABALONS
AABCLOST: CLABOTAS
AABCLOTT: CLABOTAT
AABCLSSU: BASCULAS
AABCLSTU: BASCULAT
AABCMMSU: MACUMBAS
AABCMNRT: CAMBRANT
AABCMOSV: COMBAVAS
AABCMSSU: SAMBUCAS
AABCNNOR: BRACONNA
AABCNNOS: CABANONS
AABCNORR: BARRANCO
AABCNORT: BROCANTA
AABCNORU: BOURACAN
AABCNOSU: BOUCANAS
AABCNOTT: CABOTANT
AABCNOTU: BOUCANAT
AABCORST: CRABOTAS
AABCORTT: CRABOTAT
AABCORTU: ARCBOUTA
