AAAAABBCDRR: ABRACADABRA
AAACDDIINTT: CANDIDATAIT
AAACDDINNTT: CANDIDATANT
AAACDEEFGHU: ECHAFAUDAGE
AAACDEEFHRU: ECHAFAUDERA
AAACDEEGNRS: ACAGNARDEES
AAACDEEGNSS: CADENASSAGE
AAACDEEHLNS: ACHALANDEES
AAACDEEILRS: ESCALADERAI
AAACDEEIMMS: MACADAMISEE
AAACDEEIMRR: CAMARADERIE
AAACDEEIRTU: CADEAUTERAI
AAACDEELMSS: ESCALADAMES
AAACDEELRSS: ESCALADERAS
AAACDEELSSS: ESCALADASSE
AAACDEELSST: ESCALADATES
AAACDEEMSTU: CADEAUTAMES
AAACDEENNPS: PANDANACEES
AAACDEENRSS: CADENASSERA
AAACDEERSTU: CADEAUTERAS
AAACDEESSTU: CADEAUTASSE
AAACDEESTTU: CADEAUTATES
AAACDEFGRSU: FAUCARDAGES
AAACDEFHISU: ECHAFAUDAIS
AAACDEFHITU: ECHAFAUDAIT
AAACDEFHNTU: ECHAFAUDANT
AAACDEFINRT: CAFARDAIENT
AAACDEFIRRS: CAFARDERAIS
AAACDEFIRRT: CAFARDERAIT
AAACDEFIRRU: FAUCARDERAI
AAACDEFMRSU: FAUCARDAMES
AAACDEFRRSU: FAUCARDERAS
AAACDEFRSSS: CAFARDASSES
AAACDEFRSSU: FAUCARDASSE
AAACDEFRSTU: FAUCARDATES
AAACDEGHLNS: CHALANDAGES
AAACDEGHMNR: MARCHANDAGE
AAACDEGHPRS: CHAPARDAGES
AAACDEGINRZ: ACAGNARDIEZ
AAACDEGIRSV: CAVIARDAGES
AAACDEGLNRS: CALANDRAGES
AAACDEGLPRS: PLACARDAGES
AAACDEGLRSV: CLAVARDAGES
AAACDEGMNPR: CAMPAGNARDE
AAACDEGNNRT: ACAGNARDENT
AAACDEHHINR: DEHARNACHAI
AAACDEHHNRS: DEHARNACHAS
AAACDEHHNRT: DEHARNACHAT
AAACDEHILNZ: ACHALANDIEZ
AAACDEHINPR: HANDICAPERA
AAACDEHIPRR: CHAPARDERAI
AAACDEHLNNT: ACHALANDENT
AAACDEHMNRR: MARCHANDERA
AAACDEHMPRS: CHAPARDAMES
AAACDEHPRRS: CHAPARDERAS
AAACDEHPRSS: CHAPARDASSE
AAACDEHPRST: CHAPARDATES
AAACDEIILMN: DECALAMINAI
AAACDEIILRR: RADICALAIRE
AAACDEIIMNS: ACADIANISME
AAACDEIINNS: CANADIANISE
AAACDEIIRRV: CAVIARDERAI
AAACDEIIRSS: ASCARIDIASE
AAACDEILMNS: DECALAMINAS
AAACDEILMNT: DECALAMINAT
AAACDEILMPR: PARAMEDICAL
AAACDEILNRR: CALANDRERAI
AAACDEILPRR: PLACARDERAI
AAACDEILRRV: CLAVARDERAI
AAACDEILRSS: DESACRALISA
AAACDEIMMRS: MACADAMISER
AAACDEIMMSS: MACADAMISES
AAACDEIMMSZ: MACADAMISEZ
AAACDEIMRSV: CAVIARDAMES
AAACDEINNNP: PANCANADIEN
AAACDEINNRT: CANARDAIENT
AAACDEINRRR: RANCARDERAI
AAACDEINRRS: ANACARDIERS
             CANARDERAIS
AAACDEINRRT: CANARDERAIT
AAACDEINSSS: CADENASSAIS
AAACDEINSST: CADENASSAIT
AAACDEIPRTT: ADAPTATRICE
AAACDEIRRST: CADASTRERAI
AAACDEIRRSV: CAVIARDERAS
AAACDEIRSSV: CAVIARDASSE
AAACDEIRSTT: DATACRATIES
AAACDEIRSTU: CAUDATAIRES
AAACDEIRSTV: CAVIARDATES
AAACDELMNRS: CALANDRAMES
AAACDELMPRS: PLACARDAMES
AAACDELMRSV: CLAVARDAMES
AAACDELNRRS: CALANDRERAS
AAACDELNRSS: CALANDRASSE
AAACDELNRST: CALANDRATES
AAACDELPRRS: PLACARDERAS
AAACDELPRSS: PLACARDASSE
AAACDELPRST: PLACARDATES
AAACDELRRSV: CLAVARDERAS
AAACDELRSST: CADASTRALES
AAACDELRSSV: CLAVARDASSE
AAACDELRSTV: CLAVARDATES
AAACDEMNORR: AMORDANCERA
AAACDEMNORS: MACARONADES
AAACDEMNRRS: RANCARDAMES
AAACDEMRSST: CADASTRAMES
AAACDENNSST: CADENASSANT
AAACDENRRRS: RANCARDERAS
AAACDENRRSS: RANCARDASSE
AAACDENRRST: RANCARDATES
AAACDENRSSS: CANARDASSES
AAACDERRSST: CADASTRERAS
AAACDERSSST: CADASTRASSE
AAACDERSSTT: CADASTRATES
AAACDFIINOS: AFICIONADAS
AAACDGMNPRS: CAMPAGNARDS
AAACDGNNORS: ACAGNARDONS
AAACDHIINPS: HANDICAPAIS
AAACDHIINPT: HANDICAPAIT
AAACDHIMNRS: MARCHANDAIS
             MARCHANDISA
AAACDHIMNRT: MARCHANDAIT
AAACDHINNPT: HANDICAPANT
AAACDHLNNOS: ACHALANDONS
AAACDHMNNRT: MARCHANDANT
AAACDIIILRS: RADICALISAI
AAACDIILNSS: SCANDALISAI
AAACDIILPRS: PLACARDISAI
AAACDIILRSS: RADICALISAS
AAACDIILRST: RADICALISAT
AAACDILNRST: CARDINALATS
AAACDILNSSS: SCANDALISAS
AAACDILNSST: SCANDALISAT
AAACDILPRSS: PLACARDISAS
AAACDILPRST: PLACARDISAT
AAACDIMNORS: AMORDANCAIS
AAACDIMNORT: AMORDANCAIT
AAACDMNNORT: AMORDANCANT
AAACEEEPPRV: PAPAVERACEE
AAACEEGHLOR: HALORAGACEE
AAACEEGHLSS: ECHALASSAGE
AAACEEGHPTU: CHAPEAUTAGE
AAACEEGILSV: ESCLAVAGEAI
AAACEEGINPT: PACAGEAIENT
AAACEEGINRT: AGACERAIENT
AAACEEGLRSV: ESCLAVAGERA
AAACEEGLSSV: ESCLAVAGEAS
AAACEEGLSTV: ESCLAVAGEAT
AAACEEGPSSS: PACAGEASSES
AAACEEGRSSS: ESCAGASSERA
AAACEEHLRSS: ECHALASSERA
AAACEEHMNPR: EMPANACHERA
AAACEEHPRRV: PARACHEVERA
AAACEEHPRTU: CHAPEAUTERA
AAACEEILMNT: CATAMENIALE
AAACEEILMST: ALISMATACEE
AAACEEILPST: ACATALEPSIE
AAACEEIMRST: CASEMATERAI
AAACEEINRRV: CARAVANIERE
AAACEEINRTU: AURANTIACEE
AAACEEIRRTT: ACARIATRETE
AAACEELNPST: PLATANACEES
AAACEELNSST: SANTALACEES
AAACEEMMSST: CASEMATAMES
AAACEEMNRST: MARANTACEES
AAACEEMRSST: CASEMATERAS
AAACEEMSSST: CASEMATASSE
AAACEEMSSTT: CASEMATATES
AAACEEPRRTZ: CARAPATEREZ
AAACEFFGRTU: AFFACTURAGE
AAACEFILMNS: MALFAISANCE
AAACEFILNTT: CALFATAIENT
AAACEFILPRS: PARAFISCALE
AAACEFILRST: CALFATERAIS
AAACEFILRTT: CALFATERAIT
AAACEFIRRSS: FRACASSERAI
AAACEFIRSSZ: CARAFASSIEZ
AAACEFLMNRS: MACFARLANES
AAACEFLQSTU: CATAFALQUES
AAACEFLSSST: CALFATASSES
AAACEFMRSSS: FRACASSAMES
AAACEFNRSST: CARAFASSENT
             FRACASSANTE
AAACEFRRSSS: FRACASSERAS
AAACEFRSSSS: FRACASSASSE
AAACEFRSSST: FRACASSATES
AAACEGGLOST: CATALOGAGES
AAACEGHILLM: CHAMAILLAGE
AAACEGHIMRS: MARAICHAGES
AAACEGHINRT: CHATAIGNERA
AAACEGHPRTU: PARACHUTAGE
AAACEGILLSS: CAILLASSAGE
AAACEGILMNS: CALAMINAGES
AAACEGIMNNR: MANIGANCERA
AAACEGIMRSU: CAMARGUAISE
AAACEGIMRSV: CARAVAGISME
AAACEGINNRT: GARANCAIENT
AAACEGINRRS: GARANCERAIS
AAACEGINRRT: GARANCERAIT
AAACEGINRST: CASTAGNERAI
AAACEGIOPRT: COPARTAGEAI
AAACEGIRSTV: CARAVAGISTE
AAACEGISSSS: ESCAGASSAIS
AAACEGISSST: ESCAGASSAIT
AAACEGLORTU: CATALOGUERA
AAACEGLOTUV: AUTOCLAVAGE
AAACEGLPTTU: CATAPULTAGE
AAACEGMNSST: CASTAGNAMES
AAACEGNPRST: PANCARTAGES
AAACEGNRSSS: GARANCASSES
AAACEGNRSST: CASTAGNERAS
AAACEGNSSST: CASTAGNASSE
             ESCAGASSANT
AAACEGNSSTT: CASTAGNATES
AAACEGOPRRT: COPARTAGERA
AAACEGOPRST: COPARTAGEAS
AAACEGOPRTT: COPARTAGEAT
AAACEHHINNR: ENHARNACHAI
AAACEHHINRR: HARNACHERAI
AAACEHHMNRS: HARNACHAMES
AAACEHHNNRS: ENHARNACHAS
AAACEHHNNRT: ENHARNACHAT
AAACEHHNRRS: HARNACHERAS
AAACEHHNRSS: HARNACHASSE
AAACEHHNRST: HARNACHATES
AAACEHILLMR: CHAMAILLERA
AAACEHILNPP: APPALACHIEN
AAACEHILSSS: ECHALASSAIS
AAACEHILSST: ECHALASSAIT
AAACEHILSSZ: ACHALASSIEZ
AAACEHIMNNT: AMANCHAIENT
AAACEHIMNPS: EMPANACHAIS
