AAAABDIRRT: ABATARDIRA
AAABELPRSS: PALABRASSE
AAABELPRST: PALABRATES
AAABELQTTU: ATTAQUABLE
AAABELRSTT: ATTABLERAS
AAABELSSST: ABLATASSES
AAABELSSSY: BALAYASSES
AAABELSSTT: ATTABLASSE
AAABELSTTT: ATTABLATES
AAABEMQRSU: BARAQUAMES
AAABEMRRSS: EMBARRASSA
AAABEMRSTT: BARATTAMES
AAABEMSSST: TABASSAMES
AAABEMSSSV: BAVASSAMES
AAABENNSSS: BANANASSES
AAABENRTTT: RABATTANTE
AAABENSSSS: BASANASSES
AAABEQRRSU: BARAQUERAS
AAABEQRSSU: BARAQUASSE
AAABEQRSTU: BARAQUATES
AAABERRSTT: BARATTERAS
AAABERSSSS: ABRASASSES
AAABERSSST: TABASSERAS
AAABERSSSV: BAVASSERAS
AAABERSSTT: BARATTASSE
AAABERSTTT: BARATTATES
AAABESSSST: TABASSASSE
AAABESSSSV: BAVASSASSE
AAABESSSTT: TABASSATES
AAABESSSTV: BAVASSATES
AAABFFIILR: AFFAIBLIRA
AAABFFILSU: AFFABULAIS
AAABFFILTU: AFFABULAIT
AAABFFLNTU: AFFABULANT
AAABGHLNSU: GALHAUBANS
AAABGIILNT: GABALITAIN
AAABGINORU: BARAGOUINA
AAABHLRSST: BALTHASARS
AAABHLRSTZ: BALTHAZARS
AAABIIILLS: LABIALISAI
AAABIIKLNS: BALKANISAI
AAABIILLSS: LABIALISAS
AAABIILLST: BATAILLAIS
            LABIALISAT
AAABIILLTT: BATAILLAIT
AAABIILMQU: ALAMBIQUAI
AAABIILNSS: BANALISAIS
AAABIILNST: BANALISAIT
AAABIINRST: BARATINAIS
AAABIINRTT: BARATINAIT
AAABIIRRST: ABSTRAIRAI
AAABIIRSSS: RABAISSAIS
AAABIIRSST: RABAISSAIT
AAABIJQRSU: BARJAQUAIS
AAABIJQRTU: BARJAQUAIT
AAABIKLNSS: BALKANISAS
AAABIKLNST: BALKANISAT
AAABILLNTT: BATAILLANT
AAABILLSST: BALLASTAIS
AAABILLSTT: BALLASTAIT
AAABILMQSU: ALAMBIQUAS
AAABILMQTU: ALAMBIQUAT
AAABILNNST: BANALISANT
AAABILNRST: ALABASTRIN
AAABIMORTU: MARABOUTAI
AAABINNRTT: BARATINANT
AAABINRSST: ARABISANTS
            RABAISSANT
AAABINSSST: ABAISSANTS
AAABIRRSST: ABSTRAIRAS
AAABIRRSTT: RABATTRAIS
AAABIRRTTT: RABATTRAIT
AAABIRSSTY: ABSTRAYAIS
AAABIRSTTU: TARABUSTAI
AAABIRSTTY: ABSTRAYAIT
AAABJNQRTU: BARJAQUANT
AAABLLNSTT: BALLASTANT
AAABMORSTU: MARABOUTAS
AAABMORTTU: MARABOUTAT
AAABNRSTTT: RABATTANTS
AAABNRSTTY: ABSTRAYANT
AAABRSSTTU: TARABUSTAS
AAABRSTTTU: TARABUSTAT
AAACCCHHHS: CHACHACHAS
AAACCDEIRR: CACARDERAI
AAACCDEIRS: CASCADERAI
            SACCADERAI
AAACCDELOR: CARACOLADE
AAACCDELRV: CAVALCADER
AAACCDELSV: CAVALCADES
AAACCDELVZ: CAVALCADEZ
AAACCDEMRS: CACARDAMES
AAACCDEMSS: CASCADAMES
            SACCADAMES
AAACCDERRS: CACARDERAS
AAACCDERSS: CACARDASSE
            CASCADERAS
            DECARCASSA
            SACCADERAS
AAACCDERST: CACARDATES
AAACCDESSS: CASCADASSE
            SACCADASSE
AAACCDESST: CASCADATES
            SACCADATES
AAACCEEGIR: AGARICACEE
AAACCEEHNT: ACANTHACEE
AAACCEEPRS: ACCAPAREES
AAACCEGIRS: SACCAGERAI
AAACCEGISS: SACCAGEAIS
AAACCEGIST: SACCAGEAIT
AAACCEGNST: SACCAGEANT
AAACCEGRSS: SACCAGERAS
AAACCEHLNR: CALANCHERA
AAACCEHRRV: CRAVACHERA
AAACCEHRSS: SACCHARASE
AAACCEHRST: SACCHARATE
AAACCEILMR: ACCLAMERAI
AAACCEINNR: CANCANERAI
AAACCEINPU: IPECACUANA
AAACCEIPRZ: ACCAPARIEZ
AAACCELMMS: ACCLAMAMES
AAACCELMRS: ACCLAMERAS
AAACCELMSS: ACCLAMASSE
AAACCELMST: ACCLAMATES
AAACCELORR: CARACOLERA
AAACCEMNNS: CANCANAMES
AAACCENNRS: CANCANERAS
AAACCENNSS: CANCANASSE
AAACCENNST: CANCANATES
AAACCENPRT: ACCAPARENT
AAACCEPRRU: ACCAPAREUR
AAACCERSSS: SACCARASES
AAACCERSST: SACCARATES
AAACCERSTT: CATARACTES
AAACCFIIRS: SACCARIFIA
AAACCGMNOP: ACCOMPAGNA
AAACCHILNS: CALANCHAIS
AAACCHILNT: CALANCHAIT
AAACCHIRSV: CRAVACHAIS
AAACCHIRTV: CRAVACHAIT
AAACCHLNNT: CALANCHANT
AAACCHNRTV: CRAVACHANT
AAACCIILLR: CARCAILLAI
AAACCIILMT: ACCLIMATAI
AAACCILLRS: CARCAILLAS
AAACCILLRT: CARCAILLAT
AAACCILLST: ACCASTILLA
AAACCILMST: ACCLIMATAS
AAACCILMTT: ACCLIMATAT
AAACCILORS: CARACOLAIS
AAACCILORT: CARACOLAIT
AAACCIRRTU: CARICATURA
AAACCJOPUY: JACAPUCAYO
AAACCLNORT: CARACOLANT
AAACCNOPRS: ACCAPARONS
            CAPARACONS
AAACDDEILR: CALDEIRADA
AAACDDIINT: CANDIDATAI
AAACDDINST: CANDIDATAS
AAACDDINTT: CANDIDATAT
AAACDEEGNR: ACAGNARDEE
AAACDEEHLN: ACHALANDEE
AAACDEEINS: NAIADACEES
AAACDEELRS: ESCALADERA
AAACDEENNP: PANDANACEE
AAACDEERTU: CADEAUTERA
AAACDEFGRS: CAFARDAGES
AAACDEFGRU: FAUCARDAGE
AAACDEFHIU: ECHAFAUDAI
AAACDEFHSU: ECHAFAUDAS
AAACDEFHTU: ECHAFAUDAT
AAACDEFIRR: CAFARDERAI
AAACDEFMRS: CAFARDAMES
AAACDEFRRS: CAFARDERAS
AAACDEFRRU: FAUCARDERA
AAACDEFRSS: CAFARDASSE
AAACDEFRST: CAFARDATES
AAACDEGHLN: CHALANDAGE
AAACDEGHPR: CHAPARDAGE
AAACDEGIRV: CAVIARDAGE
AAACDEGLNR: CALANDRAGE
AAACDEGLPR: PLACARDAGE
AAACDEGLRV: CLAVARDAGE
AAACDEGNRR: ACAGNARDER
AAACDEGNRS: ACAGNARDES
            CANARDAGES
AAACDEGNRZ: ACAGNARDEZ
AAACDEHHNR: DEHARNACHA
AAACDEHLNR: ACHALANDER
AAACDEHLNS: ACHALANDES
AAACDEHLNZ: ACHALANDEZ
AAACDEHPRR: CHAPARDERA
AAACDEILMN: DECALAMINA
AAACDEILSS: ESCALADAIS
AAACDEILST: ESCALADAIT
AAACDEIMMS: MACADAMISE
AAACDEINRR: ANACARDIER
            CANARDERAI
AAACDEINSS: CADENASSAI
AAACDEIRRV: CAVIARDERA
AAACDEIRTT: DATACRATIE
AAACDEIRTU: CAUDATAIRE
AAACDEISTU: CADEAUTAIS
AAACDEITTU: CADEAUTAIT
AAACDELNRR: CALANDRERA
AAACDELNST: ESCALADANT
AAACDELPRR: PLACARDERA
AAACDELRRV: CLAVARDERA
AAACDELRST: CADASTRALE
AAACDEMNOR: MACARONADE
AAACDEMNRS: CANARDAMES
AAACDEMRSS: MASCARADES
AAACDENRRR: RANCARDERA
AAACDENRRS: CANARDERAS
AAACDENRSS: CANARDASSE
AAACDENRST: CANARDATES
AAACDENRUX: CANARDEAUX
AAACDENSSS: CADENASSAS
AAACDENSST: CADENASSAT
AAACDENTTU: CADEAUTANT
AAACDERRST: CADASTRERA
AAACDFIINO: AFICIONADA
AAACDFIRSU: FAUCARDAIS
AAACDFIRTU: FAUCARDAIT
AAACDFNRTU: FAUCARDANT
AAACDGMNPR: CAMPAGNARD
AAACDHIINP: HANDICAPAI
AAACDHIMNR: MARCHANDAI
AAACDHINPS: HANDICAPAS
AAACDHINPT: HANDICAPAT
AAACDHIPRS: CHAPARDAIS
AAACDHIPRT: CHAPARDAIT
AAACDHMNRS: MARCHANDAS
AAACDHMNRT: MARCHANDAT
AAACDHNPRT: CHAPARDANT
AAACDIILRS: RADICALISA
AAACDIIRSV: CAVIARDAIS
AAACDIIRTV: CAVIARDAIT
AAACDILNRS: CALANDRAIS
AAACDILNRT: CALANDRAIT
            CARDINALAT
AAACDILNSS: SCANDALISA
AAACDILPRS: PLACARDAIS
            PLACARDISA
AAACDILPRT: PLACARDAIT
AAACDILRSV: CLAVARDAIS
AAACDILRTV: CLAVARDAIT
AAACDIMNOR: AMORDANCAI
AAACDINRRS: RANCARDAIS
AAACDINRRT: RANCARDAIT
AAACDINRTV: CAVIARDANT
AAACDIRSST: CADASTRAIS
AAACDIRSTT: CADASTRAIT
AAACDJMRSU: MARACUDJAS
AAACDLNNRT: CALANDRANT
AAACDLNPRT: PLACARDANT
AAACDLNRTV: CLAVARDANT
AAACDMNORS: AMORDANCAS
AAACDMNORT: AMORDANCAT
AAACDNNRRT: RANCARDANT
AAACDNRSTT: CADASTRANT
            TRACTANDAS
AAACDRSTUX: CADASTRAUX
AAACEEGLSV: ESCLAVAGEA
AAACEEGMPS: PACAGEAMES
AAACEEGPSS: PACAGEASSE
AAACEEGPST: PACAGEATES
AAACEEILRS: ARALIACEES
AAACEELNPT: PLATANACEE
AAACEELNST: SANTALACEE
AAACEEMNRT: MARANTACEE
AAACEEMRST: CASEMATERA
AAACEEPRST: CARAPATEES
AAACEFGLST: CALFATAGES
AAACEFILRT: CALFATERAI
AAACEFINRT: CARAFAIENT
AAACEFIRRS: CARAFERAIS
AAACEFIRRT: CARAFERAIT
AAACEFLMNR: MACFARLANE
AAACEFLMST: CALFATAMES
AAACEFLQTU: CATAFALQUE
AAACEFLRST: CALFATERAS
AAACEFLSST: CALFATASSE
AAACEFLSTT: CALFATATES
AAACEFRRSS: FRACASSERA
AAACEFRSSS: CARAFASSES
AAACEGGLOT: CATALOGAGE
AAACEGGNRS: GARANCAGES
AAACEGHIMR: MARAICHAGE
AAACEGHNPS: PANACHAGES
AAACEGHRRS: ARRACHAGES
AAACEGILMN: CALAMINAGE
AAACEGILRS: AGARICALES
AAACEGILST: AGALACTIES
AAACEGINRR: GARANCERAI
AAACEGIPRS: PACAGERAIS
AAACEGIPRT: PACAGERAIT
AAACEGISSS: ESCAGASSAI
AAACEGISSZ: AGACASSIEZ
AAACEGMNRS: GARANCAMES
AAACEGNPRT: PANCARTAGE
AAACEGNRRS: GARANCERAS
AAACEGNRSS: GARANCASSE
AAACEGNRST: CASTAGNERA
            GARANCATES
AAACEGNSST: AGACASSENT
AAACEGOPRT: COPARTAGEA
AAACEGSSSS: ESCAGASSAS
AAACEGSSST: ESCAGASSAT
AAACEHHNNR: ENHARNACHA
AAACEHHNRR: HARNACHERA
AAACEHILNT: ACHALAIENT
AAACEHILRS: ACHALERAIS
AAACEHILRT: ACHALERAIT
AAACEHILSS: ACHALASIES
            ECHALASSAI
AAACEHIMNP: EMPANACHAI
AAACEHIMNR: AMANCHERAI
AAACEHINPR: PANACHERAI
AAACEHINRR: ACHARNERAI
AAACEHINRT: ACANTHAIRE
AAACEHIPRV: PARACHEVAI
AAACEHIPTU: CHAPEAUTAI
AAACEHIRRR: ARRACHERAI
AAACEHIRTT: ATTACHERAI
AAACEHLMRT: MARECHALAT
AAACEHLNRT: CHARLATANE
AAACEHLNST: ACHALANTES
AAACEHLNSV: AVALANCHES
AAACEHLRRT: CATARRHALE
AAACEHLSSS: ACHALASSES
            ECHALASSAS
AAACEHLSST: ECHALASSAT
AAACEHMMNS: AMANCHAMES
AAACEHMNPS: EMPANACHAS
            PANACHAMES
AAACEHMNPT: EMPANACHAT
AAACEHMNRR: RAMANCHERA
AAACEHMNRS: ACHARNAMES
            AMANCHERAS
AAACEHMNSS: AMANCHASSE
AAACEHMNST: AMANCHATES
AAACEHMRRR: CHAMARRERA
AAACEHMRRS: ARRACHAMES
AAACEHMSTT: ATTACHAMES
AAACEHNPRS: PANACHERAS
AAACEHNPSS: PANACHASSE
AAACEHNPST: PANACHATES
AAACEHNRRS: ACHARNERAS
AAACEHNRSS: ACHARNASSE
AAACEHNRST: ACHARNATES
AAACEHNTTT: ATTACHANTE
AAACEHPRSV: PARACHEVAS
AAACEHPRTV: PARACHEVAT
AAACEHPSTU: CHAPEAUTAS
AAACEHPTTU: CHAPEAUTAT
AAACEHRRRS: ARRACHERAS
AAACEHRRSS: ARRACHASSE
AAACEHRRST: ARRACHATES
AAACEHRRTT: RATTACHERA
AAACEHRSTT: ATTACHERAS
AAACEHSSTT: ATTACHASSE
AAACEHSTTT: ATTACHATES
AAACEIIJMN: JAMAICAINE
AAACEIIRRT: CARTAIERAI
AAACEIJRSS: JACASSERAI
AAACEILLNN: ANACLINALE
            ENCANAILLA
AAACEILMNR: CALAMINERA
AAACEILMNT: CATAMENIAL
AAACEILMRS: CARAMELISA
AAACEILNRS: CANALISERA
AAACEILNTV: CAVALAIENT
AAACEILRSV: CAVALERAIS
AAACEILRTV: CAVALERAIT
AAACEIMNPR: CAMPANAIRE
AAACEIMNSS: MACANAISES
AAACEIMSST: CASEMATAIS
            MASCATAISE
AAACEIMSTT: CASEMATAIT
AAACEINNTV: AVANCAIENT
AAACEINRRS: SARRACENIA
AAACEINRRV: CARAVANIER
AAACEINRSV: AVANCERAIS
AAACEINRTV: AVANCERAIT
AAACEIPRTZ: CARAPATIEZ
AAACEIRRST: ACARIATRES
            CARTAIERAS
AAACEIRRTV: CRAVATERAI
AAACEIRRTY: CARTAYERAI
AAACEIRSTV: VACATAIRES
AAACEJMSSS: JACASSAMES
AAACEJRSSS: JACASSERAS
AAACEJSSSS: JACASSASSE
AAACEJSSST: JACASSATES
AAACELLMSS: SALAMALECS
AAACELMPST: CATAPLASME
AAACELRSTY: CATALYSERA
AAACELSSSV: CAVALASSES
AAACEMMNRS: CAMERAMANS
AAACEMNSTT: CASEMATANT
AAACEMRRSS: MASSACRERA
AAACEMRSSX: SCRAMASAXE
AAACEMRSTV: CRAVATAMES
AAACEMRSTY: CARTAYAMES
AAACENPRTT: CARAPATENT
AAACENSSSV: AVANCASSES
AAACEORSSV: AVOCASSERA
AAACEPRRTU: CRAPAUTERA
AAACERRSST: TRACASSERA
AAACERRSTV: CRAVATERAS
AAACERRSTY: CARTAYERAS
AAACERSSTV: CRAVATASSE
AAACERSSTY: CARTAYASSE
AAACERSTTV: CRAVATATES
AAACERSTTY: CARTAYATES
AAACESSSTT: CATASTASES
AAACFIINRS: AFRICANISA
AAACFILPRS: PARAFISCAL
AAACFIRSSS: FRACASSAIS
AAACFIRSST: FRACASSAIT
AAACFNRSST: FRACASSANT
AAACGHIINT: CHATAIGNAI
AAACGHINST: CHATAIGNAS
AAACGHINTT: CHATAIGNAT
AAACGIIMNN: MANIGANCAI
AAACGILOTU: CATALOGUAI
AAACGIMNNS: MANIGANCAS
AAACGIMNNT: MANIGANCAT
AAACGIMRSU: CAMARGUAIS
AAACGINNRV: CARAVANING
AAACGINSST: CASTAGNAIS
AAACGINSTT: CASTAGNAIT
AAACGLOSTU: CATALOGUAS
AAACGLOTTU: CATALOGUAT
AAACGNNSTT: CASTAGNANT
AAACHHINRS: HARNACHAIS
AAACHHINRT: HARNACHAIT
AAACHHNNRT: HARNACHANT
AAACHIILLM: CHAMAILLAI
AAACHIIRSV: AVACHIRAIS
AAACHIIRTV: AVACHIRAIT
AAACHILLMS: CHAMAILLAS
AAACHILLMT: CHAMAILLAT
AAACHILPST: CHAPTALISA
AAACHIMNRS: RAMANCHAIS
AAACHIMNRT: MARCHANTIA
            RAMANCHAIT
AAACHIMORU: AMOURACHAI
AAACHIMRRS: CHAMARRAIS
AAACHIMRRT: CHAMARRAIT
AAACHINRST: ARCHAISANT
AAACHIPRTU: CRAPAHUTAI
            PARACHUTAI
AAACHIRSTT: RATTACHAIS
AAACHIRTTT: RATTACHAIT
AAACHLNRST: CHARLATANS
AAACHLPRRS: CHAPARRALS
AAACHLPRTU: PARACHUTAL
AAACHMNNRT: RAMANCHANT
AAACHMNPRU: CAPHARNAUM
AAACHMNRRT: CHAMARRANT
AAACHMORSU: AMOURACHAS
AAACHMORTU: AMOURACHAT
AAACHNPRTY: PYRACANTHA
AAACHNRTTT: RATTACHANT
AAACHNSTTT: ATTACHANTS
AAACHPRSTU: CRAPAHUTAS
            PARACHUTAS
AAACHPRTTU: CRAPAHUTAT
            PARACHUTAT
AAACHRRTUX: CATARRHAUX
AAACIIJMNS: JAMAICAINS
AAACIILLNS: ALCALINISA
AAACIILLSS: CAILLASSAI
AAACIILMNS: CALAMINAIS
AAACIILMNT: CALAMINAIT
AAACIILNSS: CANALISAIS
AAACIILNST: CANALISAIT
AAACIILPST: CAPITALISA
AAACIILRSS: SACRALISAI
AAACIILSTU: ACTUALISAI
AAACILLMOT: AMITALOCAL
AAACILLMRS: CAMARILLAS
AAACILLSSS: CAILLASSAS
AAACILLSST: CAILLASSAT
AAACILMMNO: AMMONIACAL
AAACILMNNT: CALAMINANT
AAACILMRRT: MATRIARCAL
AAACILMRST: CALAMISTRA
AAACILNNRT: ALCANTARIN
AAACILNNST: CANALISANT
AAACILNNUX: ANACLINAUX
AAACILOPRS: CAPORALISA
AAACILPRRT: PATRIARCAL
AAACILPTTU: CATAPULTAI
AAACILRSSS: SACRALISAS
AAACILRSST: SACRALISAT
AAACILSSTU: ACTUALISAS
AAACILSSTY: CATALYSAIS
AAACILSTTU: ACTUALISAT
AAACILSTTY: CATALYSAIT
AAACIMRRTT: MATRIARCAT
AAACIMRSSS: MASSACRAIS
AAACIMRSST: MASSACRAIT
AAACINPSTT: CAPITANATS
AAACINRSSU: CASUARINAS
AAACIOPRRT: RACRAPOTAI
AAACIOSSSV: AVOCASSAIS
AAACIOSSTV: AVOCASSAIT
AAACIPRRTT: PATRIARCAT
AAACIPRSTU: CRAPAUTAIS
AAACIPRTTU: CRAPAUTAIT
AAACIRSSST: TRACASSAIS
