AAAAABBCDNRRT: ABRACADABRANT
AAAADEEGNRSTV: DESAVANTAGERA
AAAADEEGNSSTV: DESAVANTAGEAS
AAAADEEGNSTTV: DESAVANTAGEAT
AAAADGIILLRRR: RAGAILLARDIRA
AAAAEEGINNPRT: APANAGERAIENT
AAAAEEGINNTTV: AVANTAGEAIENT
AAAAEEGINPSSZ: APANAGEASSIEZ
AAAAEEGNNPSST: APANAGEASSENT
AAAAEEGNSSSTV: AVANTAGEASSES
AAAAEGILMMSSZ: AMALGAMASSIEZ
AAAAEGLMMNSST: AMALGAMASSENT
AAAAEHIIMNSTT: ANATHEMATISAI
AAAAEHIMNSSTT: ANATHEMATISAS
AAAAEHIMNSTTT: ANATHEMATISAT
AAAAEHIPPRRRS: PARAPHRASERAI
AAAAEHMPPRRSS: PARAPHRASAMES
AAAAEHPPRRRSS: PARAPHRASERAS
AAAAEHPPRRSSS: PARAPHRASASSE
AAAAEHPPRRSST: PARAPHRASATES
AAAAEIILLPRST: PALATALISERAI
AAAAEIIPPRRRT: REAPPARAITRAI
AAAAEIJKNRSST: JAKARTANAISES
AAAAEILLMPSST: PALATALISAMES
AAAAEILLPRSST: PALATALISERAS
AAAAEILLPSSST: PALATALISASSE
AAAAEILLPSSTT: PALATALISATES
AAAAEIPPRRRST: REAPPARAITRAS
AAAAELNORSTUY: AUTOANALYSERA
AAAAGILMMNOST: AMALGAMATIONS
AAAAHIKKNSSTZ: KAZAKHSTANAIS
AAAAIIINPRSTT: ANTIPARASITAI
AAAAIINPRSSTT: ANTIPARASITAS
AAAAIINPRSTTT: ANTIPARASITAT
AAAAILNOSSTUY: AUTOANALYSAIS
AAAAILNOSTTUY: AUTOANALYSAIT
AAAAINPRRRSTT: TRANSPARAITRA
AAAALNNOSTTUY: AUTOANALYSANT
AAABBEIINRRST: BARBARISAIENT
AAABBEIIRRRSS: BARBARISERAIS
AAABBEIIRRRST: BARBARISERAIT
AAABBEILLSSTZ: BLABLATASSIEZ
AAABBEIRRSSSS: BARBARISASSES
AAABBELLNSSTT: BLABLATASSENT
AAABCCEEILNRT: ACCABLERAIENT
AAABCCEEINNNS: CANNABINACEES
AAABCCEFIILRS: SACCARIFIABLE
AAABCCEILLMST: ACCLIMATABLES
AAABCCELNNORT: CONTREBALANCA
AAABCCENNRSSU: BANCASSURANCE
AAABCCILNOSSS: ACCABLASSIONS
AAABCDEEILMSS: ACADEMISABLES
AAABCDEENORRT: DECARBONATERA
AAABCDEHIMNRT: CHAMBARDAIENT
AAABCDEHIMRRS: CHAMBARDERAIS
AAABCDEHIMRRT: CHAMBARDERAIT
AAABCDEHINRTU: CHATEAUBRIAND
AAABCDEHMRSSS: CHAMBARDASSES
AAABCDEIINRRT: BARRICADAIENT
AAABCDEIIRRRS: BARRICADERAIS
AAABCDEIIRRRT: BARRICADERAIT
AAABCDEILSSUZ: CLABAUDASSIEZ
AAABCDEIMRSSS: AMBASSADRICES
AAABCDEINNRRT: BRANCARDAIENT
AAABCDEINORST: DECARBONATAIS
AAABCDEINORTT: DECARBONATAIT
AAABCDEINRRRS: BRANCARDERAIS
AAABCDEINRRRT: BRANCARDERAIT
AAABCDEIRRSSS: BARRICADASSES
AAABCDELNSSTU: CLABAUDASSENT
AAABCDENNORTT: DECARBONATANT
AAABCDENRRSSS: BRANCARDASSES
AAABCEEHINRRT: RABACHERAIENT
AAABCEEILMNRT: CAMBALERAIENT
AAABCEEILMNSS: BALSAMINACEES
AAABCEEILMNTT: BETALACTAMINE
AAABCEEILNNRT: BALANCERAIENT
AAABCEEILRSTU: ACETABULAIRES
AAABCEEINNSSZ: ENCABANASSIEZ
AAABCEENNNSST: ENCABANASSENT
AAABCEFFILRTU: AFFABULATRICE
AAABCEGIORSTT: TARABISCOTAGE
AAABCEHILMNRR: CHAMBRANLERAI
AAABCEHINRTTU: CHATEAUBRIANT
AAABCEHLMMNRS: CHAMBRANLAMES
AAABCEHLMNNRT: CHAMBRANLANTE
AAABCEHLMNRRS: CHAMBRANLERAS
AAABCEHLMNRSS: CHAMBRANLASSE
AAABCEHLMNRST: CHAMBRANLATES
AAABCEHLPRSTU: PARACHUTABLES
AAABCEIILLPST: CAPITALISABLE
AAABCEIILNNRS: CANNIBALISERA
AAABCEIIMNSSZ: AMBIANCASSIEZ
AAABCEIINNRST: BANCARISAIENT
AAABCEIINRRSS: BANCARISERAIS
AAABCEIINRRST: BANCARISERAIT
AAABCEILLSSTU: ACTUALISABLES
AAABCEILMNORT: CARAMBOLAIENT
AAABCEILMORRS: CARAMBOLERAIS
AAABCEILMORRT: CARAMBOLERAIT
AAABCEILMRRSU: AMBULACRAIRES
AAABCEIMNNSST: AMBIANCASSENT
AAABCEINNORTT: CARBONATAIENT
AAABCEINORRST: CARBONATERAIS
AAABCEINORRTT: CARBONATERAIT
AAABCEINRSSSS: BANCARISASSES
AAABCEIORRSTT: TARABISCOTERA
AAABCEIRRSTUU: BUREAUCRATISA
AAABCELMORSSS: CARAMBOLASSES
AAABCELOSSSTU: AUTOCASSABLES
AAABCENORSSST: CARBONATASSES
AAABCGNORRRTU: AGROCARBURANT
AAABCHINORSSS: RABACHASSIONS
AAABCHLMNNRST: CHAMBRANLANTS
AAABCIIILNNSS: CANNIBALISAIS
AAABCIIILNNST: CANNIBALISAIT
AAABCIILLMORU: CARAMBOUILLAI
AAABCIILNNNST: CANNIBALISANT
AAABCIINNORST: BANCARISATION
AAABCIIORSSTT: TARABISCOTAIS
AAABCIIORSTTT: TARABISCOTAIT
AAABCILLMORSU: CARAMBOUILLAS
AAABCILLMORTU: CARAMBOUILLAT
AAABCILMNOSSS: CAMBALASSIONS
AAABCILNNOSSS: BALANCASSIONS
AAABCINNOORTT: CARBONATATION
AAABCINORSTTT: TARABISCOTANT
AAABDDEEINRTU: BADAUDERAIENT
AAABDDINOSSSU: BADAUDASSIONS
AAABDEEGIMNRT: GAMBADERAIENT
AAABDEEGINRUU: BAGUENAUDERAI
AAABDEEGLLSST: DEBALLASTAGES
AAABDEEGMNSUU: BAGUENAUDAMES
AAABDEEGNRSUU: BAGUENAUDERAS
AAABDEEGNSSUU: BAGUENAUDASSE
AAABDEEGNSTUU: BAGUENAUDATES
AAABDEEIILLRS: DELABIALISERA
AAABDEEIILNRS: DEBANALISERAI
AAABDEEILMNSS: DEBANALISAMES
AAABDEEILNRSS: DEBANALISERAS
AAABDEEILNSSS: DEBANALISASSE
AAABDEEILNSST: DEBANALISATES
AAABDEEINRRTU: BARREAUDAIENT
AAABDEEINRRTV: BAVARDERAIENT
AAABDEEINRRTZ: BAZARDERAIENT
AAABDEEIRRRSS: DEBARRASSERAI
AAABDEEIRRRSU: BARREAUDERAIS
AAABDEEIRRRTU: BARREAUDERAIT
AAABDEEMORRTU: DEMARABOUTERA
AAABDEEMRRSSS: DEBARRASSAMES
AAABDEERRRSSS: DEBARRASSERAS
AAABDEERRSSSS: DEBARRASSASSE
AAABDEERRSSST: DEBARRASSATES
AAABDEERRSSSU: BARREAUDASSES
AAABDEGIILORS: RADIOBALISAGE
AAABDEGINNOTV: VAGABONDAIENT
AAABDEGINORSV: VAGABONDERAIS
AAABDEGINORTV: VAGABONDERAIT
AAABDEGNOSSSV: VAGABONDASSES
AAABDEIIILLSS: DELABIALISAIS
AAABDEIIILLST: DELABIALISAIT
AAABDEIIILRSV: ADVERBIALISAI
AAABDEIILLNST: DELABIALISANT
AAABDEIILORRS: RADIOBALISERA
AAABDEIILPSTT: ADAPTABILITES
AAABDEIILRSSV: ADVERBIALISAS
AAABDEIILRSTV: ADVERBIALISAT
AAABDEIIRSSTZ: ABATARDISSIEZ
AAABDEIMORSTU: DEMARABOUTAIS
AAABDEIMORTTU: DEMARABOUTAIT
AAABDEINNNNOT: ABANDONNAIENT
AAABDEINNNORS: ABANDONNERAIS
AAABDEINNNORT: ABANDONNERAIT
AAABDEINRSSTT: ABATARDISSENT
AAABDEIRSSSSZ: BARDASSASSIEZ
AAABDEMNORTTU: DEMARABOUTANT
AAABDENNNORTU: ABANDONNATEUR
AAABDENNNOSSS: ABANDONNASSES
AAABDENRSSSST: BARDASSASSENT
AAABDGIMNOSSS: GAMBADASSIONS
AAABDIIILORSS: RADIOBALISAIS
AAABDIIILORST: RADIOBALISAIT
AAABDIILNORST: RADIOBALISANT
AAABDIINORRST: ABATARDIRIONS
AAABDIIORRSSU: ABASOURDIRAIS
AAABDIIORRSTU: ABASOURDIRAIT
AAABDINORSSST: ABATARDISSONS
AAABDINORSSSV: BAVARDASSIONS
AAABDINORSSSZ: BAZARDASSIONS
AAABEEFILNRRT: BALAFRERAIENT
AAABEEGIINRRT: ABREAGIRAIENT
               GABARIERAIENT
AAABEEGILMPRT: IMPARTAGEABLE
AAABEEGILNNRR: INARRANGEABLE
AAABEEGINRRRT: BAGARRERAIENT
AAABEEHILPRST: ALPHABETISERA
AAABEEHINNRTU: HAUBANERAIENT
AAABEEIINRRST: ARABISERAIENT
AAABEEIINRSST: ABAISSERAIENT
AAABEEILLLPPR: APPAREILLABLE
AAABEEILNPRRT: PALABRERAIENT
AAABEEILNRTTT: ATTABLERAIENT
AAABEEIMRRRSS: EMBARRASSERAI
AAABEEINQRRTU: BARAQUERAIENT
AAABEEINRRTTT: BARATTERAIENT
AAABEEINRSSTT: TABASSERAIENT
AAABEEINRSSTV: BAVASSERAIENT
AAABEELMPRRST: PARAMETRABLES
AAABEELOPRRTU: AUTOREPARABLE
AAABEEMMRRSSS: EMBARRASSAMES
AAABEEMNRRSST: EMBARRASSANTE
AAABEEMRRRSSS: EMBARRASSERAS
AAABEEMRRSSSS: EMBARRASSASSE
AAABEEMRRSSST: EMBARRASSATES
AAABEFFILSSUZ: AFFABULASSIEZ
AAABEFFLNSSTU: AFFABULASSENT
AAABEFFLRSTUU: AFFABULATEURS
AAABEGGINORSU: BARAGOUINAGES
AAABEGIINORRU: BARAGOUINERAI
AAABEGIMNORSU: BARAGOUINAMES
AAABEGINORRSU: BARAGOUINERAS
AAABEGINORSSU: BARAGOUINASSE
AAABEGINORSTU: BARAGOUINATES
AAABEHIILPSST: ALPHABETISAIS
AAABEHIILPSTT: ALPHABETISAIT
AAABEHILNPSTT: ALPHABETISANT
AAABEHNRRSTTU: TRANSBAHUTERA
AAABEIIILLLMS: MALLEABILISAI
AAABEIIILLNST: LABIALISAIENT
AAABEIIILLRSS: LABIALISERAIS
AAABEIIILLRST: LABIALISERAIT
AAABEIIKLNNST: BALKANISAIENT
AAABEIIKLNRSS: BALKANISERAIS
AAABEIIKLNRST: BALKANISERAIT
AAABEIILLLMSS: MALLEABILISAS
AAABEIILLLMST: MALLEABILISAT
AAABEIILLSSSS: LABIALISASSES
AAABEIILLSSTZ: BATAILLASSIEZ
AAABEIILMNQTU: ALAMBIQUAIENT
AAABEIILMQRSU: ALAMBIQUERAIS
AAABEIILMQRTU: ALAMBIQUERAIT
AAABEIILNSSSZ: BANALISASSIEZ
AAABEIINRRSTT: ABSTRAIRAIENT
AAABEIINRSSTZ: BARATINASSIEZ
AAABEIIRSSSSZ: RABAISSASSIEZ
AAABEIJQRSSUZ: BARJAQUASSIEZ
AAABEIKLNSSSS: BALKANISASSES
AAABEILLNNSSY: INANALYSABLES
AAABEILLNSSTT: BATAILLASSENT
AAABEILLSSSTZ: BALLASTASSIEZ
AAABEILMNNOST: MONTALBANAISE
AAABEILMOSTTU: AUTOMATISABLE
AAABEILMQSSSU: ALAMBIQUASSES
AAABEILNNOSST: ANABOLISANTES
AAABEILNNSSST: BANALISASSENT
AAABEILNQSTTU: INATTAQUABLES
AAABEILPRRRTT: IRRATTRAPABLE
AAABEILQRTUUU: AQUATUBULAIRE
AAABEIMNORTTU: MARABOUTAIENT
AAABEIMORRSTU: MARABOUTERAIS
AAABEIMORRTTU: MARABOUTERAIT
AAABEINNRSSTT: BARATINASSENT
AAABEINRSSSST: RABAISSASSENT
AAABEINRSTTTU: TARABUSTAIENT
AAABEIRRSSTTU: TARABUSTERAIS
AAABEIRRSTTTU: TARABUSTERAIT
AAABEJNQRSSTU: BARJAQUASSENT
AAABELLNSSSTT: BALLASTASSENT
AAABELLRSSTTW: WATERBALLASTS
AAABEMNRRSSST: EMBARRASSANTS
AAABEMORSSSTU: MARABOUTASSES
AAABERSSSSTTU: TARABUSTASSES
AAABFFIIILSSS: AFFAIBLISSAIS
AAABFFIIILSST: AFFAIBLISSAIT
AAABFFIILNSST: AFFAIBLISSANT
AAABFFILNOSTU: AFFABULATIONS
AAABFILNORSSS: BALAFRASSIONS
AAABGIINORSSS: GABARIASSIONS
AAABGIINORSTT: GRABATISATION
AAABGINORRSSS: BAGARRASSIONS
AAABHINNOSSSU: HAUBANASSIONS
AAABHINRSSTTU: TRANSBAHUTAIS
AAABHINRSTTTU: TRANSBAHUTAIT
AAABHLLNOPQTU: ALPHABLOQUANT
AAABHNNRSTTTU: TRANSBAHUTANT
AAABIIIILPSST: SPATIABILISAI
AAABIIILLNOST: LABIALISATION
AAABIIILPSSST: SPATIABILISAS
AAABIIILPSSTT: SPATIABILISAT
AAABIIKLNNOST: BALKANISATION
AAABIILNNOSST: BANALISATIONS
AAABIINORSSSS: ARABISASSIONS
AAABIINOSSSSS: ABAISSASSIONS
AAABILNNOOSTT: LABANOTATIONS
AAABILNOPRSSS: PALABRASSIONS
AAABILNOSSSTT: ATTABLASSIONS
AAABINOQRSSSU: BARAQUASSIONS
AAABINORSSSTT: BARATTASSIONS
AAABINOSSSSST: TABASSASSIONS
AAABINOSSSSSV: BAVASSASSIONS
AAACCCEILMRST: ACCLAMATRICES
AAACCCILLOOSV: CACIOCAVALLOS
AAACCDEEEILPS: ASCLEPIADACEE
AAACCDEEHMRRU: CAUCHEMARDERA
AAACCDEEILRRS: DECALCARISERA
AAACCDEEILRVZ: CAVALCADERIEZ
AAACCDEEINRRT: CACARDERAIENT
AAACCDEEINRST: CASCADERAIENT
               SACCADERAIENT
AAACCDEEIPPRS: CAPPARIDACEES
AAACCDEEIRRSS: DECARCASSERAI
AAACCDEELNRTV: CAVALCADERENT
AAACCDEEMRSSS: DECARCASSAMES
AAACCDEERRSSS: DECARCASSERAS
AAACCDEERSSSS: DECARCASSASSE
AAACCDEERSSST: DECARCASSATES
AAACCDEHIMRSU: CAUCHEMARDAIS
AAACCDEHIMRTU: CAUCHEMARDAIT
AAACCDEHMNRTU: CAUCHEMARDANT
AAACCDEIILMST: DESACCLIMATAI
AAACCDEIILRSS: DECALCARISAIS
AAACCDEIILRST: DECALCARISAIT
AAACCDEILMSST: DESACCLIMATAS
AAACCDEILMSTT: DESACCLIMATAT
AAACCDEILNRST: DECALCARISANT
AAACCDEIOPRTT: COADAPTATRICE
AAACCDELNORSV: CAVALCADERONS
AAACCDELNORTV: CAVALCADERONT
AAACCDHIINORT: ARCHIDIACONAT
AAACCDINORSSS: CACARDASSIONS
AAACCDINOSSSS: CASCADASSIONS
               SACCADASSIONS
AAACCEEGINRST: SACCAGERAIENT
AAACCEEGISSSZ: SACCAGEASSIEZ
AAACCEEGNSSST: SACCAGEASSENT
AAACCEEILMNRT: ACCLAMERAIENT
AAACCEEILMRRT: REACCLIMATERA
AAACCEEILQTTU: ACATALECTIQUE
AAACCEEINNNRT: CANCANERAIENT
AAACCEEINNRSS: CARACASSIENNE
AAACCEEIRRRST: CARACTERISERA
AAACCEELMNPSU: CAMPANULACEES
AAACCEEMNPRST: ACCAPAREMENTS
AAACCEENNOPRS: CAPARACONNEES
AAACCEFHIIRRS: SACCHARIFIERA
AAACCEFIIIRRS: SACCARIFIERAI
AAACCEFIIMRSS: SACCARIFIAMES
AAACCEFIIRRSS: SACCARIFIERAS
AAACCEFIIRSSS: SACCARIFIASSE
AAACCEFIIRSST: SACCARIFIATES
AAACCEGILLSST: ACCASTILLAGES
AAACCEGIMNOPR: ACCOMPAGNERAI
AAACCEGMMNOPS: ACCOMPAGNAMES
AAACCEGMNNOPT: ACCOMPAGNANTE
AAACCEGMNOPRR: RACCOMPAGNERA
AAACCEGMNOPRS: ACCOMPAGNERAS
AAACCEGMNOPSS: ACCOMPAGNASSE
AAACCEGMNOPST: ACCOMPAGNATES
AAACCEHILNSSZ: CALANCHASSIEZ
AAACCEHIRSSVZ: CRAVACHASSIEZ
AAACCEHLNNSST: CALANCHASSENT
AAACCEHNRSSTV: CRAVACHASSENT
AAACCEIILLNRT: CARCAILLAIENT
AAACCEIILLNRU: CANALICULAIRE
AAACCEIILLRRS: CARCAILLERAIS
AAACCEIILLRRT: CARCAILLERAIT
AAACCEIILLRST: ACCASTILLERAI
AAACCEIILMNTT: ACCLIMATAIENT
AAACCEIILMRST: ACCLIMATERAIS
               REACCLIMATAIS
AAACCEIILMRTT: ACCLIMATERAIT
               REACCLIMATAIT
AAACCEIILNRST: ANTICALCAIRES
               CANALISATRICE
AAACCEIINNPTT: INCAPACITANTE
AAACCEIIRRRTU: CARICATURERAI
AAACCEIIRRSST: CARACTERISAIS
AAACCEIIRRSTT: CARACTERISAIT
AAACCEILLMSST: ACCASTILLAMES
AAACCEILLNRST: CANCELLARIATS
AAACCEILLRSSS: CARCAILLASSES
AAACCEILLRSST: ACCASTILLERAS
AAACCEILLRSTT: STRACCIATELLA
AAACCEILLSSST: ACCASTILLASSE
AAACCEILLSSTT: ACCASTILLATES
AAACCEILMNRTT: REACCLIMATANT
AAACCEILMSSST: ACCLIMATASSES
AAACCEILORSSZ: CARACOLASSIEZ
AAACCEILRRSTU: CARICATURALES
AAACCEIMRRSTU: CARICATURAMES
AAACCEINNOPRZ: CAPARACONNIEZ
AAACCEINOPRRS: ACCAPARERIONS
AAACCEINRRSTT: CARACTERISANT
AAACCEIRRRSTU: CARICATURERAS
AAACCEIRRSSTU: CARICATURASSE
AAACCEIRRSTTU: CARICATURATES
AAACCELLMSSTY: CATACLYSMALES
AAACCELMOPRST: CAPROLACTAMES
AAACCELMORSST: MALACOSTRACES
AAACCELNORSST: CARACOLASSENT
AAACCELNORTYY: CYANOACRYLATE
AAACCENNNOPRT: CAPARACONNENT
AAACCFFIINNRR: FRANCAFRICAIN
AAACCFHIIIRSS: SACCHARIFIAIS
AAACCFHIIIRST: SACCHARIFIAIT
AAACCFHIINRST: SACCHARIFIANT
AAACCGIMNOPRS: RACCOMPAGNAIS
AAACCGIMNOPRT: RACCOMPAGNAIT
AAACCGMNNOPRT: RACCOMPAGNANT
AAACCGMNNOPST: ACCOMPAGNANTS
AAACCIILMNOTT: ACCLIMATATION
AAACCIINNPSTT: INCAPACITANTS
AAACCIINOPSTT: CAPACITATIONS
AAACCILMNOSSS: ACCLAMASSIONS
AAACCINNNOSSS: CANCANASSIONS
AAACCINNORSSS: CARCASSONNAIS
AAACCNNNOOPRS: CAPARACONNONS
AAACDDEEENRSS: DECADENASSERA
AAACDDEEINSSS: DECADENASSAIS
AAACDDEEINSST: DECADENASSAIT
AAACDDEENNSST: DECADENASSANT
AAACDDEIIILRS: DERADICALISAI
AAACDDEIIJRTU: ADJUDICATAIRE
AAACDDEIILRSS: DERADICALISAS
AAACDDEIILRST: DERADICALISAT
AAACDDEIINNTT: CANDIDATAIENT
AAACDDEIINRST: CANDIDATERAIS
AAACDDEIINRTT: CANDIDATERAIT
AAACDDEINSSST: CANDIDATASSES
AAACDDIMMNOOR: RADIOCOMMANDA
AAACDEEEHILMM: HAMAMELIDACEE
AAACDEEFHINTU: ECHAFAUDAIENT
AAACDEEFHIRSU: ECHAFAUDERAIS
AAACDEEFHIRTU: ECHAFAUDERAIT
AAACDEEFHSSSU: ECHAFAUDASSES
AAACDEEFINRRT: CAFARDERAIENT
AAACDEEGILMNS: DECALAMINAGES
AAACDEEGINRRZ: ACAGNARDERIEZ
AAACDEEGNNRRT: ACAGNARDERENT
AAACDEEHHINRR: DEHARNACHERAI
AAACDEEHHMNRS: DEHARNACHAMES
AAACDEEHHNRRS: DEHARNACHERAS
AAACDEEHHNRSS: DEHARNACHASSE
AAACDEEHHNRST: DEHARNACHATES
AAACDEEHILNRZ: ACHALANDERIEZ
AAACDEEHLNNRT: ACHALANDERENT
AAACDEEIILMNR: DECALAMINERAI
AAACDEEIINNSS: CANADIANISEES
AAACDEEILLMRY: AMARYLLIDACEE
AAACDEEILMMNS: DECALAMINAMES
AAACDEEILMNRS: DECALAMINERAS
AAACDEEILMNSS: DECALAMINASSE
AAACDEEILMNST: DECALAMINATES
AAACDEEILMPRS: PARAMEDICALES
AAACDEEILRRSS: DESACRALISERA
AAACDEEILSSSZ: ESCALADASSIEZ
AAACDEEIMMRSZ: MACADAMISEREZ
AAACDEEINNNNP: PANCANADIENNE
AAACDEEINNRRT: CANARDERAIENT
AAACDEEINNSST: CADENASSAIENT
AAACDEEINRSSS: CADENASSERAIS
AAACDEEINRSST: CADENASSERAIT
AAACDEEISSTUZ: CADEAUTASSIEZ
AAACDEELNSSST: ESCALADASSENT
AAACDEENSSSSS: CADENASSASSES
AAACDEENSSTTU: CADEAUTASSENT
AAACDEFIRSSUZ: FAUCARDASSIEZ
AAACDEFNRSSTU: FAUCARDASSENT
AAACDEGHIMNRS: MARCHANDISAGE
AAACDEGILOSST: GALACTOSIDASE
AAACDEGNNORRS: ACAGNARDERONS
AAACDEGNNORRT: ACAGNARDERONT
AAACDEHIINNPT: HANDICAPAIENT
AAACDEHIINPRS: HANDICAPERAIS
AAACDEHIINPRT: HANDICAPERAIT
AAACDEHIMNNRT: MARCHANDAIENT
AAACDEHIMNRRS: MARCHANDERAIS
               MARCHANDISERA
AAACDEHIMNRRT: MARCHANDERAIT
AAACDEHINNPST: HANDICAPANTES
AAACDEHINPSSS: HANDICAPASSES
AAACDEHIPRSSZ: CHAPARDASSIEZ
AAACDEHLNNORS: ACHALANDERONS
AAACDEHLNNORT: ACHALANDERONT
AAACDEHMNRSSS: MARCHANDASSES
AAACDEHNPRSST: CHAPARDASSENT
AAACDEIIILPST: DECAPITALISAI
AAACDEIIILRRS: RADICALISERAI
AAACDEIIINNSZ: CANADIANISIEZ
AAACDEIILMRSS: RADICALISAMES
AAACDEIILNRSS: SCANDALISERAI
AAACDEIILPRRS: PLACARDISERAI
AAACDEIILPSST: DECAPITALISAS
AAACDEIILPSTT: DECAPITALISAT
AAACDEIILRRSS: RADICALISERAS
AAACDEIILRSSS: DESACRALISAIS
               RADICALISASSE
AAACDEIILRSST: DESACRALISAIT
               RADICALISATES
AAACDEIIMNNSS: CANADIANISMES
AAACDEIIMORRT: RADIOAMATRICE
AAACDEIINNNST: CANADIANISENT
AAACDEIIRSSVZ: CAVIARDASSIEZ
AAACDEILLNNOV: DECAVAILLONNA
AAACDEILMNSSS: SCANDALISAMES
AAACDEILMPRSS: PLACARDISAMES
AAACDEILNRSSS: SCANDALISERAS
AAACDEILNRSST: DESACRALISANT
AAACDEILNRSSZ: CALANDRASSIEZ
AAACDEILNSSSS: SCANDALISASSE
AAACDEILNSSST: SCANDALISATES
AAACDEILPRRSS: PLACARDISERAS
AAACDEILPRSSS: PLACARDISASSE
AAACDEILPRSST: PLACARDISATES
AAACDEILPRSSZ: PLACARDASSIEZ
AAACDEILRSSVZ: CLAVARDASSIEZ
AAACDEIMNNORT: AMORDANCAIENT
AAACDEIMNORRS: AMORDANCERAIS
AAACDEIMNORRT: AMORDANCERAIT
AAACDEIMNORST: COMANDATAIRES
AAACDEINNNRST: TRANSCANADIEN
AAACDEINRRSSZ: RANCARDASSIEZ
AAACDEINRSSTT: TRADESCANTIAS
AAACDEINRSSTV: CAVIARDASSENT
AAACDEIRSSSTZ: CADASTRASSIEZ
AAACDELNNRSST: CALANDRASSENT
AAACDELNPRSST: PLACARDASSENT
AAACDELNRSSTV: CLAVARDASSENT
AAACDEMNORSSS: AMORDANCASSES
AAACDENNRRSST: RANCARDASSENT
AAACDENRSSSTT: CADASTRASSENT
AAACDEOPRSTTU: COADAPTATEURS
AAACDFINORSSS: CAFARDASSIONS
AAACDHIIMNRSS: MARCHANDISAIS
AAACDHIIMNRST: MARCHANDISAIT
AAACDHIMNNRST: MARCHANDISANT
AAACDIIMMNOSS: MACADAMISIONS
AAACDIINNNOSS: CANADIANISONS
AAACDINNORSSS: CANARDASSIONS
AAACDINOOPSTT: COADAPTATIONS
AAACEEEGLMSSV: ESCLAVAGEAMES
AAACEEEGLSSSV: ESCLAVAGEASSE
AAACEEEGLSSTV: ESCLAVAGEATES
AAACEEEILNRSV: VALERIANACEES
AAACEEFGIRSSX: SAXIFRAGACEES
AAACEEFILNRTT: CALFATERAIENT
AAACEEGHIINRT: CHATAIGNERAIE
AAACEEGILNNPT: PLANTAGINACEE
AAACEEGILRSSV: ESCLAVAGERAIS
AAACEEGILRSTV: ESCLAVAGERAIT
AAACEEGINNRRT: GARANCERAIENT
AAACEEGINORRS: ONAGRARIACEES
AAACEEGINSSST: ESCAGASSAIENT
AAACEEGIRSSSS: ESCAGASSERAIS
AAACEEGIRSSST: ESCAGASSERAIT
AAACEEGMOPRST: COPARTAGEAMES
AAACEEGNOPRTT: COPARTAGEANTE
AAACEEGNRSTVX: EXTRAVAGANCES
AAACEEGOPRSST: COPARTAGEASSE
AAACEEGOPRSTT: COPARTAGEATES
AAACEEGQRSSUV: CARAVAGESQUES
AAACEEGSSSSSS: ESCAGASSASSES
AAACEEHHINNRR: ENHARNACHERAI
AAACEEHHMNNRS: ENHARNACHAMES
AAACEEHHNNRRS: ENHARNACHERAS
