AAAAABBCDENRRT: ABRACADABRANTE
AAABDENNNORSTU: ABANDONNATEURS
AAABDIINORSSST: ABATARDISSIONS
AAABDIIORSSSSU: ABASOURDISSAIS
AAABDIIORSSSTU: ABASOURDISSAIT
AAABDINORSSSSS: BARDASSASSIONS
AAABDINORSSSTU: ABASOURDISSANT
AAABEEFFILNRTU: AFFABULERAIENT
AAABEEGIINRSST: ABREAGISSAIENT
AAABEEGILMPRST: IMPARTAGEABLES
AAABEEGILNNRRS: INARRANGEABLES
AAABEEHIILPRST: ALPHABETISERAI
AAABEEHILMNPST: ANALPHABETISME
AAABEEHILMPSST: ALPHABETISAMES
AAABEEHILPRSST: ALPHABETISERAS
AAABEEHILPSSST: ALPHABETISASSE
AAABEEHILPSSTT: ALPHABETISATES
AAABEEIILLLMRS: MALLEABILISERA
AAABEEIILLNRTT: BATAILLERAIENT
AAABEEIILNNRST: BANALISERAIENT
AAABEEIINNRRTT: BARATINERAIENT
AAABEEIINRRSST: RABAISSERAIENT
AAABEEIJNQRRTU: BARJAQUERAIENT
AAABEEILLLPPRS: APPAREILLABLES
AAABEEILLNRSTT: BALLASTERAIENT
AAABEEIMNRRSST: EMBARRASSAIENT
AAABEEIMRRRSSS: EMBARRASSERAIS
AAABEEIMRRRSST: EMBARRASSERAIT
AAABEELOPRRSTU: AUTOREPARABLES
AAABEEMNRRSSST: EMBARRASSANTES
AAABEEMRRSSSSS: EMBARRASSASSES
AAABEFFIIILNRT: AFFAIBLIRAIENT
AAABEFFIILNSST: AFFAIBLISSANTE
AAABEGIINNORTU: BARAGOUINAIENT
AAABEGIINORRSU: BARAGOUINERAIS
AAABEGIINORRTU: BARAGOUINERAIT
AAABEGINORSSSU: BARAGOUINASSES
AAABEHINRRSTTU: TRANSBAHUTERAI
AAABEHLLNOPQTU: ALPHABLOQUANTE
AAABEHMNRSSTTU: TRANSBAHUTAMES
AAABEHNRRSSTTU: TRANSBAHUTERAS
AAABEHNRSSSTTU: TRANSBAHUTASSE
AAABEHNRSSTTTU: TRANSBAHUTATES
AAABEIIILLLMSS: MALLEABILISAIS
AAABEIIILLLMST: MALLEABILISAIT
AAABEIIILLSSSZ: LABIALISASSIEZ
AAABEIIILPRSST: SPATIABILISERA
AAABEIIKLNSSSZ: BALKANISASSIEZ
AAABEIILLLMNST: MALLEABILISANT
AAABEIILLNNOST: NATIONALISABLE
AAABEIILLNSSST: LABIALISASSENT
AAABEIILMQSSUZ: ALAMBIQUASSIEZ
AAABEIKLNNSSST: BALKANISASSENT
AAABEILMNNOSST: MONTALBANAISES
AAABEILMNQSSTU: ALAMBIQUASSENT
AAABEILMOSSTTU: AUTOMATISABLES
AAABEILPRRRSTT: IRRATTRAPABLES
AAABEILQRSTUUU: AQUATUBULAIRES
AAABEIMORSSTUZ: MARABOUTASSIEZ
AAABEIRSSSTTUZ: TARABUSTASSIEZ
AAABELLNNPRSTT: TRANSPLANTABLE
AAABEMNORSSTTU: MARABOUTASSENT
AAABENRSSSTTTU: TARABUSTASSENT
AAABFFIILNSSST: AFFAIBLISSANTS
AAABFFILNOSSSU: AFFABULASSIONS
AAABGIINORSSTT: GRABATISATIONS
AAABHLLNOPQSTU: ALPHABLOQUANTS
AAABIIIILPSSST: SPATIABILISAIS
AAABIIIILPSSTT: SPATIABILISAIT
AAABIIILLNOSST: LABIALISATIONS
AAABIIILNPSSTT: SPATIABILISANT
AAABIIKLNNOSST: BALKANISATIONS
AAABIILLNOSSST: BATAILLASSIONS
AAABIILNNOSSSS: BANALISASSIONS
AAABIINNORSSST: BARATINASSIONS
AAABIINORSSSSS: RABAISSASSIONS
AAABIJNOQRSSSU: BARJAQUASSIONS
AAABILLNOSSSST: BALLASTASSIONS
AAACCDEEEILPSS: ASCLEPIADACEES
AAACCDEEHIMRRU: CAUCHEMARDERAI
AAACCDEEHMMRSU: CAUCHEMARDAMES
AAACCDEEHMRRSU: CAUCHEMARDERAS
AAACCDEEHMRSSU: CAUCHEMARDASSE
AAACCDEEHMRSTU: CAUCHEMARDATES
AAACCDEEIILRRS: DECALCARISERAI
AAACCDEEILMRSS: DECALCARISAMES
AAACCDEEILMRST: DESACCLIMATERA
AAACCDEEILRRSS: DECALCARISERAS
AAACCDEEILRSSS: DECALCARISASSE
AAACCDEEILRSST: DECALCARISATES
AAACCDEEINRSST: DECARCASSAIENT
AAACCDEEIRRSSS: DECARCASSERAIS
AAACCDEEIRRSST: DECARCASSERAIT
AAACCDEERSSSSS: DECARCASSASSES
AAACCDEIILMSST: DESACCLIMATAIS
AAACCDEIILMSTT: DESACCLIMATAIT
AAACCDEILMNSTT: DESACCLIMATANT
AAACCDEILNORSV: CAVALCADERIONS
AAACCDEIOPRSTT: COADAPTATRICES
AAACCDHIINORST: ARCHIDIACONATS
AAACCEEHHLNOPT: ACANTHOCEPHALE
AAACCEEHILNNRT: CALANCHERAIENT
AAACCEEHINRRTV: CRAVACHERAIENT
AAACCEEIILMRRT: REACCLIMATERAI
AAACCEEIIRRRST: CARACTERISERAI
AAACCEEILMMRST: REACCLIMATAMES
AAACCEEILMRRST: REACCLIMATERAS
AAACCEEILMRSST: REACCLIMATASSE
AAACCEEILMRSTT: REACCLIMATATES
AAACCEEILNORRT: CARACOLERAIENT
AAACCEEILQSTTU: ACATALECTIQUES
AAACCEEIMRRSST: CARACTERISAMES
AAACCEEINNRSSS: CARACASSIENNES
AAACCEEIRRRSST: CARACTERISERAS
AAACCEEIRRSSST: CARACTERISASSE
AAACCEEIRRSSTT: CARACTERISATES
AAACCEENNOPRRZ: CAPARACONNEREZ
AAACCEFFIINNRR: FRANCAFRICAINE
AAACCEFHIIIRRS: SACCHARIFIERAI
AAACCEFHIIMRSS: SACCHARIFIAMES
AAACCEFHIIRRSS: SACCHARIFIERAS
AAACCEFHIIRSSS: SACCHARIFIASSE
AAACCEFHIIRSST: SACCHARIFIATES
AAACCEFIIINRST: SACCARIFIAIENT
AAACCEFIIIRRSS: SACCARIFIERAIS
AAACCEFIIIRRST: SACCARIFIERAIT
AAACCEFIIRSSSS: SACCARIFIASSES
AAACCEGIMNNOPT: ACCOMPAGNAIENT
AAACCEGIMNOPRR: RACCOMPAGNERAI
AAACCEGIMNOPRS: ACCOMPAGNERAIS
AAACCEGIMNOPRT: ACCOMPAGNERAIT
AAACCEGINOSSSS: SACCAGEASSIONS
AAACCEGMMNOPRS: RACCOMPAGNAMES
AAACCEGMNNOPST: ACCOMPAGNANTES
AAACCEGMNOPRRS: RACCOMPAGNERAS
AAACCEGMNOPRSS: RACCOMPAGNASSE
AAACCEGMNOPRST: RACCOMPAGNATES
AAACCEGMNOPRTU: ACCOMPAGNATEUR
AAACCEGMNOPSSS: ACCOMPAGNASSES
AAACCEIILLNRSU: CANALICULAIRES
AAACCEIILLNSTT: ACCASTILLAIENT
AAACCEIILLRSST: ACCASTILLERAIS
AAACCEIILLRSSZ: CARCAILLASSIEZ
AAACCEIILLRSTT: ACCASTILLERAIT
AAACCEIILMSSTZ: ACCLIMATASSIEZ
AAACCEIILNRSST: CANALISATRICES
AAACCEIILRSTTU: ACTUALISATRICE
AAACCEIINNPSTT: INCAPACITANTES
AAACCEIINRRTTU: CARICATURAIENT
AAACCEIIRRRSTU: CARICATURERAIS
AAACCEIIRRRTTU: CARICATURERAIT
AAACCEILLNRSST: CARCAILLASSENT
AAACCEILLRSSTT: STRACCIATELLAS
AAACCEILLSSSST: ACCASTILLASSES
AAACCEILMMOPRR: PARACOMMERCIAL
AAACCEILMNSSTT: ACCLIMATASSENT
AAACCEINNORSSS: CARCASSONNAISE
AAACCEINNRSSTU: TRANSCAUCASIEN
AAACCEIRRSSSTU: CARICATURASSES
AAACCELNORSTYY: CYANOACRYLATES
AAACCEORSTTUUU: AUTOACCUSATEUR
AAACCFFIINNRRS: FRANCAFRICAINS
AAACCHILNNOSSS: CALANCHASSIONS
AAACCHINORSSSV: CRAVACHASSIONS
AAACCIILMNOSTT: ACCLIMATATIONS
AAACCILNOORSSS: CARACOLASSIONS
AAACCILNORSTTU: CONTRACTUALISA
AAACCINNNOOPRS: CAPARACONNIONS
AAACCINOOSTTUU: AUTOACCUSATION
AAACDDEEEILRSS: DESESCALADERAI
AAACDDEEEINRSS: DECADENASSERAI
AAACDDEEELMSSS: DESESCALADAMES
AAACDDEEELRSSS: DESESCALADERAS
AAACDDEEELSSSS: DESESCALADASSE
AAACDDEEELSSST: DESESCALADATES
AAACDDEEEMNSSS: DECADENASSAMES
AAACDDEEENRSSS: DECADENASSERAS
AAACDDEEENSSSS: DECADENASSASSE
AAACDDEEENSSST: DECADENASSATES
AAACDDEEIILRRS: DERADICALISERA
AAACDDEIIILRSS: DERADICALISAIS
AAACDDEIIILRST: DERADICALISAIT
AAACDDEIIJRSTU: ADJUDICATAIRES
AAACDDEIILNRST: DERADICALISANT
AAACDDEIINSSTZ: CANDIDATASSIEZ
AAACDDEINNSSTT: CANDIDATASSENT
AAACDDIIMMNOOR: RADIOCOMMANDAI
AAACDDIMMNOORS: RADIOCOMMANDAS
AAACDDIMMNOORT: RADIOCOMMANDAT
AAACDEEEHILMMS: HAMAMELIDACEES
AAACDEEEILNRST: ESCALADERAIENT
AAACDEEEINRTTU: CADEAUTERAIENT
AAACDEEFHISSUZ: ECHAFAUDASSIEZ
AAACDEEFHNSSTU: ECHAFAUDASSENT
AAACDEEFINRRTU: FAUCARDERAIENT
AAACDEEHHINNRT: DEHARNACHAIENT
AAACDEEHHINRRS: DEHARNACHERAIS
AAACDEEHHINRRT: DEHARNACHERAIT
AAACDEEHHNRSSS: DEHARNACHASSES
AAACDEEHINPRRT: CHAPARDERAIENT
AAACDEEIILMNNT: DECALAMINAIENT
AAACDEEIILMNRS: DECALAMINERAIS
AAACDEEIILMNRT: DECALAMINERAIT
AAACDEEIILPRST: DECAPITALISERA
AAACDEEIILRRSS: DESACRALISERAI
AAACDEEIIMMRSZ: MACADAMISERIEZ
AAACDEEIINNRSZ: CANADIANISEREZ
AAACDEEIINRRTV: CAVIARDERAIENT
AAACDEEILLMRSY: AMARYLLIDACEES
AAACDEEILMNSSS: DECALAMINASSES
AAACDEEILMRSSS: DESACRALISAMES
AAACDEEILNNRRT: CALANDRERAIENT
AAACDEEILNPRRT: PLACARDERAIENT
AAACDEEILNRRTV: CLAVARDERAIENT
AAACDEEILRRSSS: DESACRALISERAS
AAACDEEILRSSSS: DESACRALISASSE
AAACDEEILRSSST: DESACRALISATES
AAACDEEIMMNRST: MACADAMISERENT
AAACDEEINNNNPS: PANCANADIENNES
AAACDEEINNRRRT: RANCARDERAIENT
AAACDEEINRRSTT: CADASTRERAIENT
AAACDEEINSSSSZ: CADENASSASSIEZ
AAACDEENNSSSST: CADENASSASSENT
AAACDEGHIMNRSS: MARCHANDISAGES
AAACDEGILOSSST: GALACTOSIDASES
AAACDEGINNORRS: ACAGNARDERIONS
AAACDEHIIMNRRS: MARCHANDISERAI
AAACDEHIINPSSZ: HANDICAPASSIEZ
AAACDEHILNNORS: ACHALANDERIONS
AAACDEHIMMNRSS: MARCHANDISAMES
AAACDEHIMNNPRS: CHAMPARDENNAIS
AAACDEHIMNRRSS: MARCHANDISERAS
AAACDEHIMNRSSS: MARCHANDISASSE
AAACDEHIMNRSST: MARCHANDISATES
AAACDEHIMNRSSZ: MARCHANDASSIEZ
AAACDEHINNPSST: HANDICAPASSENT
AAACDEHMNNRSST: MARCHANDASSENT
AAACDEIIILNRST: RADICALISAIENT
AAACDEIIILPSST: DECAPITALISAIS
AAACDEIIILPSTT: DECAPITALISAIT
AAACDEIIILRRSS: RADICALISERAIS
AAACDEIIILRRST: RADICALISERAIT
AAACDEIILLNNOV: DECAVAILLONNAI
AAACDEIILNNSST: SCANDALISAIENT
AAACDEIILNPRST: PLACARDISAIENT
AAACDEIILNPSTT: DECAPITALISANT
AAACDEIILNRSSS: SCANDALISERAIS
AAACDEIILNRSST: SCANDALISERAIT
AAACDEIILPRRSS: PLACARDISERAIS
AAACDEIILPRRST: PLACARDISERAIT
AAACDEIILRSSSS: RADICALISASSES
AAACDEIIMORRST: RADIOAMATRICES
AAACDEIINQRRTU: INTRACARDIAQUE
AAACDEILLNNOSV: DECAVAILLONNAS
AAACDEILLNNOTV: DECAVAILLONNAT
AAACDEILNOSSSS: ESCALADASSIONS
AAACDEILNSSSSS: SCANDALISASSES
AAACDEILPRSSSS: PLACARDISASSES
AAACDEIMMNORSS: MACADAMISERONS
AAACDEIMMNORST: MACADAMISERONT
AAACDEIMNORSSZ: AMORDANCASSIEZ
AAACDEINNNRSST: TRANSCANADIENS
AAACDEINOSSSTU: CADEAUTASSIONS
AAACDELNNNRSTT: TRANSCENDANTAL
AAACDEMNNORSST: AMORDANCASSENT
AAACDFINORSSSU: FAUCARDASSIONS
AAACDGHILOPRTY: DACTYLOGRAPHIA
AAACDHIIMNRRTT: ARCHIMANDRITAT
AAACDHINOPRSSS: CHAPARDASSIONS
AAACDIIILNORST: RADICALISATION
AAACDIIINNNOSS: CANADIANISIONS
AAACDIILNOPRST: PLACARDISATION
AAACDIINORSSSV: CAVIARDASSIONS
AAACDILNNORSSS: CALANDRASSIONS
AAACDILNOPRSSS: PLACARDASSIONS
AAACDILNORSSSV: CLAVARDASSIONS
AAACDINNORRSSS: RANCARDASSIONS
AAACDINORSSSST: CADASTRASSIONS
AAACEEEGILNSTV: ESCLAVAGEAIENT
AAACEEEGLSSSSV: ESCLAVAGEASSES
AAACEEEIMNRSTT: CASEMATERAIENT
AAACEEELMMOSTT: MELASTOMATACEE
AAACEEFINRRSST: FRACASSERAIENT
AAACEEGHIILNRS: RACHIANALGESIE
AAACEEGHIINRST: CHATAIGNERAIES
AAACEEGILNNPST: PLANTAGINACEES
AAACEEGINNNRUY: NICARAGUAYENNE
AAACEEGINNRSTT: CASTAGNERAIENT
AAACEEGINOPRTT: COPARTAGEAIENT
AAACEEGISSSSSZ: ESCAGASSASSIEZ
AAACEEGLNORTUV: GALVANOCAUTERE
AAACEEGNOPRSTT: COPARTAGEANTES
AAACEEGNSSSSST: ESCAGASSASSENT
AAACEEGOPRSSST: COPARTAGEASSES
AAACEEHHINNNRT: ENHARNACHAIENT
AAACEEHHINNRRS: ENHARNACHERAIS
AAACEEHHINNRRT: ENHARNACHERAIT
                HARNACHERAIENT
AAACEEHHNNRSSS: ENHARNACHASSES
AAACEEHILNNPPS: APPALACHIENNES
AAACEEHILNRRST: CHARLATANERIES
AAACEEHILSSSSZ: ECHALASSASSIEZ
AAACEEHIMNNRRT: RAMANCHERAIENT
AAACEEHIMNPSSZ: EMPANACHASSIEZ
AAACEEHIMNRRRT: CHAMARRERAIENT
AAACEEHINRRTTT: RATTACHERAIENT
AAACEEHIPRSSVZ: PARACHEVASSIEZ
AAACEEHIPSSTUZ: CHAPEAUTASSIEZ
AAACEEHLLLNRST: CANTHARELLALES
AAACEEHLNQRSTU: CHARLATANESQUE
AAACEEHLNSSSST: ECHALASSASSENT
AAACEEHMNNPSST: EMPANACHASSENT
AAACEEHNOPPRST: HEPATOPANCREAS
AAACEEHNPRSSTV: PARACHEVASSENT
AAACEEHNPSSTTU: CHAPEAUTASSENT
AAACEEIIIMNNRT: ANTIAMERICAINE
AAACEEIIIMNRRS: AMERICANISERAI
AAACEEIILLNNNT: ENCANAILLAIENT
AAACEEIILLNNRS: ENCANAILLERAIS
AAACEEIILLNNRT: ENCANAILLERAIT
AAACEEIILMNNRT: CALAMINERAIENT
AAACEEIILMNRST: CARAMELISAIENT
AAACEEIILMRRSS: CARAMELISERAIS
AAACEEIILMRRST: CARAMELISERAIT
AAACEEIILNNRST: CANALISERAIENT
AAACEEIILPRRST: RECAPITALISERA
AAACEEIILRRSTU: REACTUALISERAI
AAACEEIIMMNRSS: AMERICANISAMES
AAACEEIIMNNPRS: PANAMERICAINES
AAACEEIIMNRRSS: AMERICANISERAS
AAACEEIIMNRSSS: AMERICANISASSE
AAACEEIIMNRSST: AMERICANISATES
AAACEEIINNNRST: ANTIACARIENNES
AAACEEILLNNSSS: ENCANAILLASSES
AAACEEILLPRRRS: PARCELLARISERA
AAACEEILMRSSSS: CARAMELISASSES
AAACEEILMRSSTU: REACTUALISAMES
AAACEEILNRSTTY: CATALYSERAIENT
AAACEEILPQSTTU: ACATALEPTIQUES
AAACEEILRRSSTU: REACTUALISERAS
AAACEEILRSSSTU: REACTUALISASSE
AAACEEILRSSTTU: REACTUALISATES
AAACEEIMNRRSST: MASSACRERAIENT
                SACRAMENTAIRES
AAACEEINORSSTV: AVOCASSERAIENT
AAACEEINPRRTTU: CRAPAUTERAIENT
AAACEEINRRSSTT: TRACASSERAIENT
AAACEELNQRSSUV: CARNAVALESQUES
AAACEFIIINNRRS: FINANCIARISERA
AAACEFIIINNRST: AFRICANISAIENT
AAACEFIIINRRSS: AFRICANISERAIS
AAACEFIIINRRST: AFRICANISERAIT
AAACEFIILLLMOX: MAXILLOFACIALE
AAACEFIILPRSST: PARAFISCALITES
AAACEFIIMNNPRS: PANAFRICANISME
AAACEFIINNORTU: AUTOFINANCERAI
AAACEFIINNRRST: TRANSAFRICAINE
AAACEFIINNRSST: ANTIFRANCAISES
AAACEFIINRSSSS: AFRICANISASSES
AAACEFIMNNOSTU: AUTOFINANCAMES
AAACEFIMNRRTUU: MANUFACTURERAI
AAACEFINNORSTU: AUTOFINANCERAS
AAACEFINNOSSTU: AUTOFINANCASSE
AAACEFINNOSTTU: AUTOFINANCATES
AAACEFMMNRSTUU: MANUFACTURAMES
AAACEFMNRRSTUU: MANUFACTURERAS
AAACEFMNRSSTUU: MANUFACTURASSE
AAACEFMNRSTTUU: MANUFACTURATES
AAACEGHIILLPRR: CALLIGRAPHIERA
AAACEGHIIMNPRS: CHAMPAGNISERAI
AAACEGHIINSSTZ: CHATAIGNASSIEZ
AAACEGHIMMNPSS: CHAMPAGNISAMES
AAACEGHIMNPRSS: CHAMPAGNISERAS
AAACEGHIMNPSSS: CHAMPAGNISASSE
AAACEGHIMNPSST: CHAMPAGNISATES
AAACEGHINNSSTT: CHATAIGNASSENT
AAACEGHIOPRRRT: CARTOGRAPHIERA
AAACEGIILMMRST: GRAMMATICALISE
AAACEGIILMMRTT: GRAMMATICALITE
AAACEGIIMNNSSZ: MANIGANCASSIEZ
AAACEGILNNOTTU: ANTICOAGULANTE
AAACEGILOSSTUZ: CATALOGUASSIEZ
