AAAABIKLL: BALALAIKA
AAABGINRT: GABARIANT
AAABGIRRS: BAGARRAIS
AAABGIRRT: BAGARRAIT
AAABGNRRT: BAGARRANT
AAABGRSTU: RUTABAGAS
AAABHINSU: HAUBANAIS
AAABHINTU: HAUBANAIT
AAABHLRST: BALTHASAR
AAABHLRTZ: BALTHAZAR
AAABHNNTU: HAUBANANT
AAABIILLS: LABIALISA
AAABIILLT: BATAILLAI
AAABIILNS: BANALISAI
AAABIINRT: BARATINAI
AAABIIRSS: ARABISAIS
           RABAISSAI
AAABIIRST: ARABISAIT
AAABIISSS: ABAISSAIS
AAABIISST: ABAISSAIT
AAABIJQRU: BARJAQUAI
AAABIKLNS: BALKANISA
AAABILLST: BALLASTAI
           BATAILLAS
AAABILLTT: BATAILLAT
AAABILMQU: ALAMBIQUA
AAABILNSS: BANALISAS
AAABILNST: BANALISAT
AAABILPRS: PALABRAIS
AAABILPRT: PALABRAIT
AAABILSTT: ATTABLAIS
AAABILTTT: ATTABLAIT
AAABINRST: ARABISANT
           BARATINAS
AAABINRTT: BARATINAT
AAABINSST: ABAISSANT
AAABIQRSU: BARAQUAIS
AAABIQRTU: BARAQUAIT
AAABIRRST: ABSTRAIRA
AAABIRRTT: RABATTRAI
AAABIRSSS: RABAISSAS
AAABIRSST: RABAISSAT
AAABIRSTT: ABATTRAIS
           BARATTAIS
           RABATTAIS
AAABIRTTT: ABATTRAIT
           BARATTAIT
           RABATTAIT
AAABISSST: TABASSAIS
AAABISSSV: BAVASSAIS
AAABISSTT: TABASSAIT
AAABISSTV: BAVASSAIT
AAABJQRSU: BARJAQUAS
AAABJQRTU: BARJAQUAT
AAABLLSST: BALLASTAS
AAABLLSTT: BALLASTAT
AAABLNPRT: PALABRANT
AAABLNTTT: ATTABLANT
AAABMORTU: MARABOUTA
AAABNQRTU: BARAQUANT
AAABNRTTT: BARATTANT
           RABATTANT
AAABNSSTT: TABASSANT
AAABNSSTV: BAVASSANT
AAABNSTTT: ABATTANTS
AAABRRSTT: RABATTRAS
AAABRSSTU: ARABUSTAS
AAABRSTTU: TARABUSTA
AAACCCHHH: CHACHACHA
AAACCDELV: CAVALCADE
AAACCDERR: CACARDERA
AAACCDERS: CASCADERA
           SACCADERA
AAACCDIRS: CACARDAIS
AAACCDIRT: CACARDAIT
AAACCDISS: CASCADAIS
           SACCADAIS
AAACCDIST: CASCADAIT
           SACCADAIT
AAACCDNRT: CACARDANT
AAACCDNST: CASCADANT
           SACCADANT
AAACCEEPR: ACCAPAREE
AAACCEGIS: SACCAGEAI
AAACCEGRS: SACCAGERA
AAACCEGSS: SACCAGEAS
AAACCEGST: SACCAGEAT
AAACCELMR: ACCLAMERA
AAACCENNR: CANCANERA
AAACCEPRR: ACCAPARER
AAACCEPRS: ACCAPARES
           CARAPACES
AAACCEPRZ: ACCAPAREZ
AAACCERSS: SACCARASE
AAACCERST: SACCARATE
AAACCERTT: CATARACTE
AAACCGNRS: RACAGNACS
AAACCHHIN: CAHINCAHA
AAACCHILN: CALANCHAI
AAACCHIRV: CRAVACHAI
AAACCHLNS: CALANCHAS
AAACCHLNT: CALANCHAT
AAACCHRSV: CRAVACHAS
AAACCHRTV: CRAVACHAT
AAACCILLR: CARCAILLA
AAACCILMS: ACCLAMAIS
AAACCILMT: ACCLAMAIT
           ACCLIMATA
AAACCILOR: CARACOLAI
AAACCINNS: CANCANAIS
AAACCINNT: CANCANAIT
AAACCLMNT: ACCLAMANT
AAACCLORS: CARACOLAS
AAACCLORT: CARACOLAT
AAACCLSSV: CASCAVALS
AAACCNNNT: CANCANANT
AAACCNOPR: CAPARACON
AAACDDINT: CANDIDATA
AAACDEEIN: NAIADACEE
AAACDEFGR: CAFARDAGE
AAACDEFHU: ECHAFAUDA
AAACDEFRR: CAFARDERA
AAACDEGNR: ACAGNARDE
           CANARDAGE
AAACDEHLN: ACHALANDE
AAACDEILS: ESCALADAI
AAACDEITU: CADEAUTAI
AAACDELSS: ESCALADAS
AAACDELST: ESCALADAT
AAACDEMRS: CAMARADES
           MASCARADE
AAACDENRR: CANARDERA
AAACDENRS: ANACARDES
           DRACAENAS
AAACDENRU: CANARDEAU
AAACDENSS: CADENASSA
AAACDESTU: CADEAUTAS
AAACDETTU: CADEAUTAT
AAACDFIRS: CAFARDAIS
AAACDFIRT: CAFARDAIT
AAACDFIRU: FAUCARDAI
AAACDFNRT: CAFARDANT
AAACDFRSU: FAUCARDAS
AAACDFRTU: FAUCARDAT
AAACDHINP: HANDICAPA
AAACDHIPR: CHAPARDAI
AAACDHMNR: MARCHANDA
AAACDHPRS: CHAPARDAS
AAACDHPRT: CHAPARDAT
AAACDIIRV: CAVIARDAI
AAACDILNR: CALANDRAI
AAACDILPR: PLACARDAI
AAACDILRV: CLAVARDAI
AAACDINRR: RANCARDAI
AAACDINRS: CANADAIRS
           CANARDAIS
AAACDINRT: CANARDAIT
AAACDIRST: CADASTRAI
AAACDIRSV: CAVIARDAS
AAACDIRTV: CAVIARDAT
AAACDJMRU: MARACUDJA
AAACDLNRS: CALANDRAS
AAACDLNRT: CALANDRAT
AAACDLPRS: PLACARDAS
AAACDLPRT: PLACARDAT
AAACDLRST: CADASTRAL
AAACDLRSV: CLAVARDAS
AAACDLRTV: CLAVARDAT
AAACDMNOR: AMORDANCA
AAACDNNOS: ANACONDAS
AAACDNNRT: CANARDANT
AAACDNRRS: RANCARDAS
AAACDNRRT: RANCARDAT
AAACDNRTT: TRACTANDA
AAACDRSST: CADASTRAS
AAACDRSTT: CADASTRAT
AAACEEGSV: AGAVACEES
AAACEEILR: ARALIACEE
AAACEEPRT: CARAPATEE
AAACEFGLT: CALFATAGE
AAACEFGRS: CARAFAGES
AAACEFIRR: CARAFERAI
AAACEFLRT: CALFATERA
AAACEFMRS: CARAFAMES
AAACEFRRS: CARAFERAS
AAACEFRSS: CARAFASSE
AAACEFRST: CARAFATES
AAACEGGNR: GARANCAGE
AAACEGHNP: PANACHAGE
AAACEGHRR: ARRACHAGE
AAACEGILR: AGARICALE
AAACEGILT: AGALACTIE
AAACEGINT: AGACAIENT
AAACEGIPR: PACAGERAI
AAACEGIPS: PACAGEAIS
AAACEGIPT: PACAGEAIT
AAACEGIRS: AGACERAIS
AAACEGIRT: AGACERAIT
AAACEGNPT: PACAGEANT
AAACEGNRR: GARANCERA
AAACEGNST: AGACANTES
AAACEGPRS: PACAGERAS
AAACEGSSS: AGACASSES
           ESCAGASSA
AAACEHILR: ACHALERAI
AAACEHILS: ACHALASIE
AAACEHLMS: ACHALAMES
AAACEHLNT: ACHALANTE
AAACEHLNV: AVALANCHE
AAACEHLRS: ACHALERAS
AAACEHLSS: ACHALASSE
           ECHALASSA
AAACEHLST: ACHALATES
           CALATHEAS
AAACEHMNP: EMPANACHA
AAACEHMNR: AMANCHERA
AAACEHNPR: PANACHERA
AAACEHNRR: ACHARNERA
AAACEHPRV: PARACHEVA
AAACEHPTU: CHAPEAUTA
AAACEHRRR: ARRACHERA
AAACEHRTT: ATTACHERA
AAACEILRV: CAVALERAI
AAACEIMNS: MACANAISE
AAACEIMST: CASEMATAI
AAACEINRV: AVANCERAI
AAACEIRRT: ACARIATRE
           CARTAIERA
AAACEIRTV: VACATAIRE
AAACEJRSS: JACASSERA
AAACELLMS: SALAMALEC
AAACELMSV: CAVALAMES
AAACELNST: CATALANES
AAACELRSV: CAVALERAS
AAACELSST: CATALASES
AAACELSSV: CAVALASSE
AAACELSTV: CAVALATES
AAACEMMNR: CAMERAMAN
AAACEMNSV: AVANCAMES
AAACEMSST: CASEMATAS
AAACEMSTT: CASEMATAT
AAACENRSV: AVANCERAS
           CARAVANES
AAACENSSV: AVANCASSE
AAACENSTV: AVANCATES
AAACEPRRT: CARAPATER
AAACEPRST: CARAPATES
AAACEPRTZ: CARAPATEZ
AAACERRTV: CRAVATERA
AAACERRTY: CARTAYERA
AAACESSTT: CATASTASE
AAACFILST: CALFATAIS
AAACFILTT: CALFATAIT
AAACFIRSS: FRACASSAI
AAACFLNTT: CALFATANT
AAACFRSSS: FRACASSAS
AAACFRSST: FRACASSAT
AAACGHINT: CHATAIGNA
AAACGIMNN: MANIGANCA
AAACGINRS: GARANCAIS
AAACGINRT: GARANCAIT
AAACGINST: CAATINGAS
           CASTAGNAI
AAACGLOTU: CATALOGUA
AAACGMNRS: ARMAGNACS
AAACGNNRT: GARANCANT
AAACGNSST: CASTAGNAS
AAACGNSTT: CASTAGNAT
AAACHHINR: HARNACHAI
AAACHHNRS: HARNACHAS
AAACHHNRT: HARNACHAT
AAACHIIRV: AVACHIRAI
AAACHILLM: CHAMAILLA
AAACHIMNR: RAMANCHAI
AAACHIMNS: AMANCHAIS
AAACHIMNT: AMANCHAIT
AAACHIMRR: CHAMARRAI
AAACHINPS: PANACHAIS
AAACHINPT: PANACHAIT
AAACHINRS: ACHARNAIS
AAACHINRT: ACHARNAIT
AAACHIRRS: ARRACHAIS
AAACHIRRT: ARRACHAIT
AAACHIRSV: AVACHIRAS
AAACHIRTT: RATTACHAI
AAACHISTT: ATTACHAIS
AAACHITTT: ATTACHAIT
AAACHLMNS: ALMANACHS
AAACHLNRT: CHARLATAN
AAACHLNST: ACHALANTS
AAACHLPRR: CHAPARRAL
AAACHLRRT: CATARRHAL
AAACHMNNT: AMANCHANT
AAACHMNRS: RAMANCHAS
AAACHMNRT: RAMANCHAT
AAACHMORU: AMOURACHA
AAACHMRRS: CHAMARRAS
AAACHMRRT: CHAMARRAT
AAACHMRSW: CHAWARMAS
AAACHNNPT: PANACHANT
AAACHNNRT: ACHARNANT
AAACHNRRT: ARRACHANT
AAACHNTTT: ATTACHANT
AAACHPRTU: CRAPAHUTA
           PARACHUTA
AAACHRSTT: RATTACHAS
AAACHRTTT: RATTACHAT
AAACIIJMN: JAMAICAIN
AAACIILMN: CALAMINAI
AAACIILNS: CANALISAI
AAACIJSSS: JACASSAIS
AAACIJSST: JACASSAIT
AAACILLMR: CAMARILLA
AAACILLNN: ANACLINAL
AAACILLSS: CAILLASSA
AAACILMNS: CALAMINAS
AAACILMNT: CALAMINAT
AAACILNSS: CANALISAS
AAACILNST: CANALISAT
AAACILRSS: SACRALISA
AAACILSTU: ACTUALISA
AAACILSTY: CATALYSAI
AAACIMRSS: MASSACRAI
AAACIMSST: MASCATAIS
AAACINPTT: CAPITANAT
AAACINRSU: CASUARINA
AAACIOSSV: AVOCASSAI
AAACIPRTU: CRAPAUTAI
AAACIRSST: TRACASSAI
AAACIRSTV: CRAVATAIS
AAACIRSTY: CARTAYAIS
AAACIRTTU: ACTUARIAT
AAACIRTTV: CRAVATAIT
AAACIRTTY: CARTAYAIT
AAACJMRSU: MARACUJAS
AAACJNSST: JACASSANT
AAACLNRSV: CARNAVALS
AAACLPTTU: CATAPULTA
AAACLSSTY: CATALYSAS
AAACLSTTY: CATALYSAT
AAACMRSSS: MACASSARS
           MASSACRAS
AAACMRSST: MASSACRAT
AAACNOPST: CAPONATAS
AAACNOSSV: CASANOVAS
AAACNRTTV: CRAVATANT
AAACNRTTY: CARTAYANT
AAACOPRRT: RACRAPOTA
AAACOSSSV: AVOCASSAS
AAACOSSTV: AVOCASSAT
AAACPRSTU: CRAPAUTAS
AAACPRTTU: CRAPAUTAT
AAACRSSST: TRACASSAS
AAACRSSTT: TRACASSAT
AAADDEPST: DESADAPTA
AAADEFGRS: DESAGRAFA
AAADEGGLN: GALANDAGE
AAADEGINN: ANDAINAGE
AAADEGINR: GANADERIA
AAADEGLRS: ALGARADES
AAADEGMRU: MARAUDAGE
AAADEGNRT: ADRAGANTE
AAADEGNTV: DAVANTAGE
AAADEGRTU: TARAUDAGE
AAADEGRUV: RAVAUDAGE
AAADEHRRS: HASARDERA
AAADEHRTV: THERAVADA
AAADEILRV: LAVADAIRE
AAADEIMNS: AMANDAIES
AAADEINNR: ANDAINERA
AAADEIPRR: PARADERAI
AAADEIPRT: ADAPTERAI
           PETARADAI
           READAPTAI
AAADELNRX: ALEXANDRA
AAADEMNPS: EMPANADAS
AAADEMNRT: MANDATERA
AAADEMORU: AMADOUERA
AAADEMPRS: PARADAMES
AAADEMPST: ADAPTAMES
AAADEMRRS: DESAMARRA
AAADEMRRU: MARAUDERA
AAADEMRSS: DAMASSERA
AAADENSTV: VANADATES
AAADEOPTZ: ZAPATEADO
AAADEPRRS: PARADERAS
AAADEPRSS: PARADASSE
AAADEPRST: ADAPTERAS
           ESTRAPADA
           PARADATES
           PETARADAS
           READAPTAS
AAADEPRTT: ATTRAPADE
           PETARADAT
           READAPTAT
AAADEPSST: ADAPTASSE
AAADEPSTT: ADAPTATES
AAADERRTT: ATTARDERA
AAADERRTU: TARAUDERA
AAADERRUV: RAVAUDERA
AAADFFIIR: AFFADIRAI
AAADFFINR: AFFRIANDA
AAADFFIRS: AFFADIRAS
AAADFIINS: FAISANDAI
AAADFINSS: FAISANDAS
AAADFINST: FAISANDAT
AAADFIPTT: ADAPTATIF
AAADFLNOR: FARANDOLA
AAADFNNOR: NANOFARAD
AAADGILUV: GALVAUDAI
AAADGIMRU: MARGAUDAI
AAADGINRR: AGRANDIRA
AAADGLSUV: GALVAUDAS
AAADGLTUV: GALVAUDAT
AAADGMRSU: MARGAUDAS
AAADGMRTU: MARGAUDAT
AAADGNRST: ADRAGANTS
AAADHIRSS: HASARDAIS
AAADHIRST: HASARDAIT
AAADHMNRS: RAMADHANS
AAADHMRSY: HAMADRYAS
AAADHNRSS: DARSHANAS
AAADHNRST: HASARDANT
AAADIILLT: TAILLADAI
AAADIIMNT: DIAMANTAI
AAADIINNS: ANDAINAIS
AAADIINNT: ANDAINAIT
AAADIINTT: ANTIDATAI
AAADILLPR: PAILLARDA
AAADILLST: TAILLADAS
AAADILLTT: TAILLADAT
AAADILNSV: VANDALISA
AAADILPSS: PALISSADA
AAADILRSS: SARLADAIS
AAADIMNNT: ADAMANTIN
AAADIMNRU: MAURANDIA
AAADIMNST: DIAMANTAS
           MANDATAIS
AAADIMNTT: DIAMANTAT
           MANDATAIT
AAADIMOPR: DIAPORAMA
AAADIMOSU: AMADOUAIS
AAADIMOTU: AMADOUAIT
AAADIMRST: DRAMATISA
AAADIMRSU: MARAUDAIS
AAADIMRTU: MARAUDAIT
AAADIMRUV: MARIVAUDA
AAADIMSSS: DAMASSAIS
AAADIMSST: DAMASSAIT
AAADINNNT: ANDAINANT
AAADINNRS: ANDRIANAS
AAADINRRT: ANTIRADAR
AAADINSTT: ANTIDATAS
AAADINTTT: ANTIDATAT
AAADIRSTT: ATTARDAIS
AAADIRSTU: TARAUDAIS
AAADIRSUV: RAVAUDAIS
AAADIRTTT: ATTARDAIT
AAADIRTTU: TARAUDAIT
AAADIRTUV: RAVAUDAIT
AAADLMMOP: MADAPOLAM
AAADLOPRX: PARADOXAL
AAADMNNTT: MANDATANT
AAADMNOTU: AMADOUANT
AAADMNRTU: MARAUDANT
AAADMNSST: DAMASSANT
AAADMNSTU: TAMANDUAS
AAADNPRSS: PASDARANS
AAADNRTTT: ATTARDANT
AAADNRTTU: TARAUDANT
AAADNRTUV: RAVAUDANT
AAADPPRRS: SPARADRAP
AAAEEFFGI: AFFEAGEAI
AAAEEFFGR: AFFEAGERA
AAAEEFFGS: AFFEAGEAS
AAAEEFFGT: AFFEAGEAT
AAAEEGILT: ETALAGEAI
AAAEEGIMN: AMENAGEAI
AAAEEGLMM: AMALGAMEE
AAAEEGLRT: ETALAGERA
AAAEEGLST: ETALAGEAS
AAAEEGLTT: ETALAGEAT
AAAEEGMNR: AMENAGERA
AAAEEGMNS: AMENAGEAS
AAAEEGMNT: AMENAGEAT
AAAEEGNPR: APANAGERE
AAAEEGNPS: APANAGEES
AAAEEGNTV: AVANTAGEE
AAAEEGRRR: ARRERAGEA
AAAEEINNR: ANANERAIE
AAAEFFGIT: AFFAITAGE
AAAEFFGOU: AFFOUAGEA
AAAEFFILR: AFFALERAI
AAAEFFIMR: AFFAMERAI
AAAEFFIRR: AFFAIRERA
AAAEFFIRT: AFFAITERA
AAAEFFLMS: AFFALAMES
AAAEFFLRS: AFFALERAS
AAAEFFLSS: AFFALASSE
AAAEFFLST: AFFALATES
AAAEFFMMS: AFFAMAMES
AAAEFFMRS: AFFAMERAS
AAAEFFMSS: AFFAMASSE
AAAEFFMST: AFFAMATES
AAAEFGGRS: AGRAFAGES
AAAEFGIRR: AGRAFERAI
AAAEFGMRS: AGRAFAMES
AAAEFGNRU: NAUFRAGEA
AAAEFGRRR: RAGRAFERA
AAAEFGRRS: AGRAFERAS
AAAEFGRSS: AGRAFASSE
AAAEFGRST: AGRAFATES
AAAEFILRR: RAFALERAI
AAAEFINNT: FAINEANTA
AAAEFIPRR: PARAFERAI
AAAEFLMRS: RAFALAMES
AAAEFLRRS: RAFALERAS
AAAEFLRSS: RAFALASSE
AAAEFLRST: RAFALATES
AAAEFMPRS: PARAFAMES
AAAEFNRRS: SAFRANERA
AAAEFPRRS: PARAFERAS
AAAEFPRSS: PARAFASSE
AAAEFPRST: PARAFATES
           PATARAFES
AAAEGGINR: AGRAINAGE
AAAEGGRRV: AGGRAVERA
AAAEGHLPP: ALPHAPAGE
AAAEGHNPT: AGAPANTHE
AAAEGIIPR: PAGAIERAI
AAAEGILSX: AGALAXIES
AAAEGIMNR: AMARINAGE
           MAGANERAI
           MANAGERAI
AAAEGIMNS: MANAGEAIS
AAAEGIMNT: MANAGEAIT
AAAEGIMRR: RAMAGERAI
AAAEGIMRS: RAMAGEAIS
AAAEGIMRT: RAMAGEAIT
AAAEGINPZ: APANAGIEZ
AAAEGINRR: AGRAINERA
           ARRANGEAI
AAAEGIPPR: APPAIRAGE
AAAEGIPRS: PAGAIERAS
AAAEGIPRT: PARTAGEAI
           TAPAGERAI
AAAEGIPRY: PAGAYERAI
AAAEGIPST: TAPAGEAIS
AAAEGIPTT: TAPAGEAIT
AAAEGIPTU: PATAUGEAI
AAAEGIRRV: RAVAGERAI
AAAEGIRSV: RAVAGEAIS
AAAEGIRTV: RAVAGEAIT
AAAEGLMMR: AMALGAMER
AAAEGLMMS: AMALGAMES
AAAEGLMMZ: AMALGAMEZ
AAAEGLMNS: LAMANAGES
AAAEGLMSX: MALAXAGES
AAAEGLNNS: SALANGANE
AAAEGLPRU: ALPAGUERA
AAAEGLRST: ASTRAGALE
AAAEGMMNR: ANAGRAMME
AAAEGMMNS: MAGANAMES
AAAEGMNNT: MANAGEANT
           MANGANATE
AAAEGMNRS: MAGANERAS
           MANAGERAS
AAAEGMNRT: RAMAGEANT
AAAEGMNSS: MAGANASSE
AAAEGMNST: MAGANATES
AAAEGMPSY: PAGAYAMES
AAAEGMRRS: AMARRAGES
           RAMAGERAS
AAAEGMRSS: RAMASSAGE
AAAEGNNPT: APANAGENT
AAAEGNPRS: APANAGERS
AAAEGNPTT: TAPAGEANT
AAAEGNRRR: ARRANGERA
AAAEGNRRS: ARRANGEAS
AAAEGNRRT: ARRANGEAT
AAAEGNRTV: AVANTAGER
           RAVAGEANT
AAAEGNSTV: AVANTAGES
AAAEGNTVZ: AVANTAGEZ
AAAEGPRRT: PARTAGERA
AAAEGPRST: PARTAGEAS
           TAPAGERAS
AAAEGPRSY: PAGAYERAS
AAAEGPRTT: ATTRAPAGE
           PARTAGEAT
AAAEGPRTU: PATAUGERA
AAAEGPSSY: PAGAYASSE
AAAEGPSTU: PATAUGEAS
AAAEGPSTY: PAGAYATES
AAAEGPTTU: PATAUGEAT
AAAEGQRTU: QUARTAGEA
AAAEGRRST: TARARAGES
AAAEGRRSV: RAVAGERAS
AAAEHINNT: AHANAIENT
AAAEHINRS: AHANERAIS
AAAEHINRT: AHANERAIT
AAAEHINSV: HAVANAISE
AAAEHIRRS: HARARAISE
AAAEHMNRS: MAHARANES
AAAEHNPSS: ANAPHASES
AAAEHNSSS: AHANASSES
AAAEHPPRR: PARAPHERA
AAAEHRRSS: HARASSERA
AAAEIIPRS: APAISERAI
AAAEIIRRV: AVARIERAI
AAAEIJNSV: JAVANAISE
AAAEILLPT: PALATIALE
AAAEILLRS: SALARIALE
AAAEILLRT: ALLAITERA
AAAEILMRR: ALARMERAI
AAAEILMRX: MALAXERAI
AAAEILNPS: ANAPLASIE
AAAEILNPT: PLATANAIE
AAAEILNTV: AVALAIENT
AAAEILRRS: SALARIERA
AAAEILRRV: RAVALERAI
AAAEILRSV: AVALERAIS
           AVALISERA
AAAEILRTV: AVALERAIT
AAAEIMNRR: AMARINERA
AAAEIMNRT: AIMANTERA
AAAEIMPSS: APAISAMES
AAAEIMRRR: AMARRERAI
AAAEIMRSS: AMASSERAI
AAAEIMRSV: AVARIAMES
AAAEIMSSS: ASSAMAISE
AAAEINNRT: ANEANTIRA
AAAEINPRV: PAVANERAI
AAAEINPST: APAISANTE
AAAEINRST: ARASAIENT
AAAEINSST: ASTANAISE
AAAEIPPRR: APPAIRERA
           APPARIERA
AAAEIPPRT: APPATERAI
AAAEIPRSS: APAISERAS
AAAEIPSSS: APAISASSE
AAAEIPSST: APAISATES
AAAEIRRSS: ARASERAIS
AAAEIRRST: ARASERAIT
