Tirages de 4 lettres de AABB à ACMP - Page 1/9

AABB:	BABA	AAGV:	GAVA	AAMS:	AMAS	ABEL:	ABLE		OBAS	ACEY:	CAYE
AADM:	DAMA	AALM:	LAMA	AARY:	RAYA	ABIR:	ABRI	ACEH:	ACHE		CITA
AADR:	RADA	AALN:	ANAL	AASV:	VASA		BRAI		ECHA	ACJK:	JACK
AADS:	ADAS	AALP:	ALPA	AASX:	AXAS	ABIS:	BAIS	ACEK:	CAKE	ACJO:	JACO
AADT:	DATA		LAPA	AATT:	TATA		BASI	ACEL:	CALE	ACKL:	LACK
AADV:	ADAV		PALA	AATX:	AXAT		BISA		CELA	ACKP:	PACK
AAEL:	ALEA	AALR:	RALA		TAXA		ISBA		LACE	ACKR:	RACK
AAER:	AERA	AALS:	SALA	ABBE:	ABBE	ABIT:	BATI	ACEM:	ACME	ACKT:	TACK
AAFL:	ALFA	AALT:	TAAL	ABBY:	BABY		BITA		CAME	ACKY:	YACK
AAFN:	FANA		TALA	ABCN:	BANC	ABIW:	BIWA	ACEN:	ACNE	ACLL:	CALL
AAFR:	AFAR	AALU:	AULA	ABCS:	BACS	ABJS:	JABS		CANE	ACLM:	CLAM
AAFT:	AFAT	AALV:	AVAL		CABS	ABLM:	LAMB	ACEP:	CAPE	ACLN:	CLAN
AAFX:	FAXA		LAVA	ABCU:	CUBA	ABLO:	LABO	ACER:	ACRE	ACLO:	CALO
AAGG:	GAGA	AALY:	ALYA		UBAC		LOBA		AREC		COLA
AAGH:	AGHA		LAYA	ABDE:	BADE	ABLS:	BALS		CREA	ACLP:	CLAP
AAGL:	GALA	AAMM:	MAMA		DABE	ABNR:	BARN		RACE	ACLS:	CALS
AAGN:	NAGA	AAMN:	AMAN	ABDO:	ABDO*		BRAN		REAC		LACS
AAGR:	GARA		MANA	ABDR:	BARD	ABNS:	BANS	ACES:	ACES	ACLT:	TALC
	RAAG	AAMP:	PAMA	ABDS:	DABS	ABNU:	BUNA		CASE	ACLU:	ACUL
	RAGA	AAMR:	ARMA	ABDU:	BAUD		NUBA	ACET:	ACTE		CULA
AAGS:	AGAS		MAAR	ABEE:	ABEE	ABOR:	BORA		CATE	ACLY:	CLAY
	SAGA		MARA	ABEI:	BAIE		ROBA	ACEV:	AVEC	ACMO:	COMA
AAGT:	GATA		RAMA		BEAI	ABOS:	BOAS		CAVE	ACMP:	CAMP


Tirages de 4 lettres de ACMR à AETT - Page 2/9

ACMR:	MARC	ADFO:	FADO		DOSA		GERA	AELN:	ANEL	AENV:	AVEN
ACMS:	MACS	ADFR:	FARD		SADO		GREA		ELAN		NAVE
ACNO:	ACON	ADGO:	GODA		SODA		RAGE	AELP:	ALPE	AENZ:	NAZE
	NOCA	ADGR:	DRAG	ADOT:	DOTA	AEGS:	AGES		LAPE	AEPP:	PAPE
ACNR:	CRAN	ADHJ:	HADJ	ADOU:	DOUA		SAGE		PALE	AEPR:	APRE
ACNS:	NACS	ADHL:	DAHL*	ADOX:	DOXA		SEGA		PELA		EPAR
	SCAN		DHAL*	ADPR:	DRAP	AEGT:	GATE	AELR:	LARE		PARE
ACNT:	CANT	ADHN:	HAND	ADPU:	DUPA	AEGU:	AUGE		RALE		RAPE
ACNY:	CYAN	ADHR:	HARD	ADQU:	QUAD		GUEA		REAL	AEPS:	ASPE
ACOP:	CAPO	ADHS:	DAHS	ADRS:	RADS	AEGV:	GAVE	AELS:	ALES		PESA
ACOR:	OCRA	ADHU:	DAHU	ADRT:	TARD	AEGZ:	GAZE		LESA		SAPE
ACOT:	COTA	ADIK:	KADI	ADRU:	ARDU	AEHI:	HAIE		SALE	AEPT:	APTE
	OCTA	ADIL:	DAIL		DURA	AEHJ:	HAJE	AELT:	ETAL		PATE
	TACO		DIAL	ADRY:	RYAD	AEHL:	HALE		TAEL		PETA
ACOX:	COXA		LAID		YARD		HELA		TALE		TAPE
ACPR:	PARC	ADIM:	DAIM	ADSW:	DAWS	AEHS:	HASE	AELU:	ELUA	AEPU:	PEAU
ACPS:	CAPS		DIAM		WADS	AEHT:	HATE	AELV:	LAVE	AEPV:	PAVE
	PACS	ADIN:	DINA	ADTU:	TAUD	AEHV:	HAVE		LEVA		VAPE
ACPU:	PUCA		NIDA	ADUW:	DAUW	AEIL:	AILE		VELA	AEPX:	APEX
ACRS:	ARCS	ADIO:	IODA	AEEG:	AGEE		ELIA	AELW:	WALE	AEPY:	PAYE
	CARS	ADIR:	DARI	AEEN:	ANEE		LAIE	AELX:	AXEL	AERR:	ERRA
ACRT:	TRAC		DIRA	AEER:	AERE	AEIM:	AIME	AELY:	LAYE		RARE
ACRU:	CRAU		RAID	AEEX:	AXEE		AMIE	AELZ:	LAZE	AERS:	ARES
	CURA		RIAD	AEFK:	FAKE*		EMIA	AEMM:	MAME		RASE
ACRV:	VRAC		RIDA	AEFL:	FEAL		MAIE	AEMN:	AMEN		REAS
ACRY:	CARY	ADIS:	AIDS		FELA	AEIN:	AINE		MENA		RESA*
ACRZ:	CZAR		DAIS	AEFM:	FAME	AEIP:	EPIA	AEMP:	PAME		SERA
ACSS:	SACS		DIAS		MAFE		PAIE	AEMR:	AMER	AERT:	ATRE
ACST:	SCAT		SIDA	AEFN:	FANE	AEIR:	AIRE		ARME		RATE
	TACS	ADIV:	DIVA		NAFE		RAIE		MARE		REAT
ACSU:	SUCA		VIDA	AEFR:	FARE		REAI		RAME		TARE
ACSY:	SACY	ADJR:	JARD		FERA	AEIS:	AIES	AEMS:	AMES	AERU:	AREU
ACTT:	TACT	ADLN:	LAND	AEFT:	FATE		AISE		MESA	AERV:	RAVE
ACTU:	ACTU	ADLO:	DOLA		FETA		SAIE		SAME		REVA
ACUV:	CUVA	ADLR:	LARD	AEFX:	FAXE	AEIT:	ETAI		SEMA	AERX:	AXER
ADDR:	DARD	ADLS:	LADS	AEGG:	GAGE		TAIE	AEMT:	MATE	AERY:	EYRA
ADEE:	AEDE	ADLU:	DUAL	AEGI:	AGIE	AEJL:	JALE		MEAT		RAYE
ADEF:	FADE	ADLY:	LADY		GAIE	AEJM:	MAJE		META	AESS:	ASES
ADEG:	GADE	ADMR:	DRAM		GEAI	AEJN:	JEAN		TEAM		ASSE
ADEI:	AIDE	ADMS:	DAMS	AEGL:	EGAL	AEJS:	JASE	AEMX:	EXAM	AEST:	ASTE
ADEJ:	DEJA	ADNO:	ADON		GALE	AEJT:	JETA	AEMY:	MAYE		SATE
	JADE		DONA		GELA	AEKL:	KALE	AEMZ:	MAZE	AESU:	SEAU
ADEL:	DEAL	ADNR:	NARD	AEGM:	MAGE	AEKN:	KENA	AENP:	PANE	AESV:	AVES*
	DELA		RAND		MEGA	AEKS:	KEAS		PEAN		VASE
ADEM:	DAME	ADNS:	DANS	AEGN:	ANGE		SAKE	AENS:	ANES	AESX:	AXES
	EDAM	ADOP:	DOPA		GENA	AELL:	ALLE		ANSE		SAXE
ADEN:	ADNE	ADOR:	DORA		NAGE	AELM:	ALEM		NASE		SEXA
ADER:	RADE		RODA	AEGP:	PAGE		LAME	AENT:	ANTE	AETT:	ETAT
ADET:	DATE	ADOS:	ADOS	AEGR:	AREG		MALE		ENTA		TATE
ADEV:	VEDA		DAOS		GARE		MELA	AENU:	AUNE		TETA


Tirages de 4 lettres de AETU à AKNO - Page 3/9

AETU:	ETAU	AFSU:	FUSA	AHHS:	SHAH	AIKR:	RAKI		MUAI	AIRT:	RAIT
AETX:	TAXE		SAUF	AHII:	HIAI	AIKS:	SAKI	AIMX:	MAXI		TARI
AETZ:	ZETA	AFTU:	FAUT	AHIK:	HAIK		SKAI		MIXA		TIRA
AEUV:	AVEU	AFUX:	FAUX	AHIR:	HAIR		SKIA	AINN:	NAIN		TRIA
	VEAU	AGGI:	GIGA	AHIS:	HAIS	AIKT:	IKAT	AINP:	PAIN	AIRU:	RUAI
AEUX:	EAUX	AGGN:	GANG		HIAS	AIKV:	KIVA		PIAN	AIRV:	RAVI
AEVX:	VEXA	AGGS:	GAGS	AHIT:	HAIT	AIKW:	KAWI	AINR:	RANI		RIVA
AEVZ:	AVEZ	AGHR:	ARGH*		HIAT	AILM:	LIMA	AINS:	ANIS		VAIR
AEXZ:	AXEZ	AGIN:	AGNI		THAI		MAIL		ASIN		VIRA
AEYZ:	AYEZ		GAIN	AHIU:	HUAI		MALI		NAIS		VRAI
AFFS:	FAFS		NAGI	AHIV:	HAVI	AILN:	ANIL		NIAS	AISS:	ISSA
AFGL:	FLAG	AGIO:	AGIO	AHKL:	LAKH	AILO:	ALOI		SAIN		SAIS
AFGN:	FANG	AGIP:	PAGI	AHKN:	ANKH	AILP:	PALI	AINT:	NAIT	AIST:	ASTI
AFGR:	GRAF	AGIR:	AGIR		KHAN		PILA		NIAT		SAIT
AFII:	FIAI		GARI	AHKT:	KHAT		PLIA		TAIN		SATI
AFIK:	KIFA	AGIS:	AGIS	AHLL:	HALL	AILR:	LARI		TIAN		TAIS
AFIL:	FILA		GAIS	AHLO:	HALO		LIRA	AINU:	NUAI		TISA
AFIM:	FAIM	AGIT:	AGIT		HOLA		RAIL	AINV:	VAIN	AISU:	SUAI
AFIN:	AFIN		GITA	AHMT:	MATH		RIAL		VINA		USAI
	NAIF	AGIU:	AGUI	AHMU:	HUMA	AILS:	AILS	AINW:	IWAN	AISV:	AVIS
AFIP:	PIAF		AIGU	AHNS:	HANS		LAIS	AINZ:	NAZI		VAIS
	PIFA		GUAI		SHAN		LIAS		ZAIN		VISA
AFIR:	FRAI	AGIV:	VAGI	AHOR:	HARO		SALI		ZANI	AISX:	AXIS
AFIS:	FAIS	AGLM:	GLAM*		HORA		SIAL	AIOS:	OSAI		IXAS
	FIAS	AGLO:	GOAL	AHOU:	HOUA		SILA	AIOT:	IOTA	AISY:	AISY
AFIT:	FAIT	AGLS:	GALS		OUAH	AILT:	ALTI		OTAI	AITT:	TAIT
	FIAT		GLAS	AHOV:	HOVA		LAIT	AIPP:	PAPI		TATI
AFIX:	FAIX	AGLU:	GLUA	AHOX:	HOAX		LIAT		PIPA	AITU:	TUAI
	FIXA	AGMO:	OGAM	AHRS:	RASH		LITA	AIPR:	PAIR	AITX:	IXAT
AFLN:	FLAN	AGMR:	GRAM	AHRT:	HART	AILW:	WALI		PARI		TAXI
AFLO:	LOFA	AGMS:	MAGS*		TAHR*	AIMM:	AMMI		PRIA	AJMS:	JAMS
AFLP:	PLAF	AGNR:	RANG	AHST:	HAST		IMAM		RIPA	AJNS:	JANS
AFLT:	FLAT	AGNS:	GANS	AHSU:	HUAS		MIAM	AIPS:	APIS	AJOS:	SOJA
AFLU:	FLUA		SANG	AHTU:	HAUT		MIMA		ASPI	AJOT:	JOTA
AFMU:	FUMA	AGNT:	GANT		HUAT	AIMN:	IMAN		PAIS	AJOU:	JOUA
AFNO:	FAON		TANG*	AIIL:	LIAI		MAIN	AIPT:	PAIT	AJPU:	PUJA
AFNS:	FANS	AGNY:	YANG	AIIN:	NIAI		MINA		PATI	AJRS:	JARS
AFOR:	AFRO	AGOY:	GOYA	AIIR:	IRAI	AIMO:	MOAI		PITA	AJRU:	JURA
	FARO		YOGA	AIIX:	IXAI	AIMR:	MARI		TAPI	AJSS:	JASS
	FORA	AGPS:	GAPS		IXIA		MIRA		TIPA	AJTU:	AJUT
AFOS:	SOFA		GASP*	AIJN:	JAIN		RAMI	AIPU:	PUAI		JUTA
AFOU:	OUAF*	AGRS:	GARS	AIJS:	JAIS		RIMA	AIPX:	PAIX	AJZZ:	JAZZ
AFPS:	PAFS		GRAS	AIJT:	JATI	AIMS:	AMIS	AIQU:	QUAI	AKKO:	KOKA
AFQS:	FAQS	AGRU:	GAUR	AIKK:	KAKI		MAIS		QUIA	AKKR:	KRAK
AFQW:	WAQF*		GRAU	AIKL:	KALI		MISA	AIRR:	RIRA	AKLO:	KOLA
AFRS:	FARS		GUAR*		LIKA*		SAMI	AIRS:	AIRS	AKMO:	AMOK
AFRT:	FART	AGRY:	GRAY	AIKM:	KAMI		SIMA		IRAS		MAKO*
	RAFT	AGST:	TAGS		MAKI	AIMT:	MATI		RAIS		MOKA
AFST:	FATS	AGSW:	SWAG*	AIKN:	KINA		MITA		RIAS	AKMR:	MARK
	TAFS	AGSY:	GAYS	AIKP:	PIKA*	AIMU:	AMUI		SARI	AKNO:	KAON


Tirages de 4 lettres de AKNO à BILL - Page 4/9

	KOAN	ALSU:	ALUS	ANOY:	NOYA		RUPA	BBII:	BIBI	BEIR:	BRIE
AKNS:	KANS	ALSV:	VALS	ANOZ:	ZONA	APRW:	WRAP	BBLU:	BULB	BEIS:	BISE
AKNT:	TANK	ALSY:	LYSA	ANPS:	PANS	APSS:	PASS	BBOO:	BOBO	BEIT:	BETI
AKNU:	KUNA	ALTU:	LUTA	ANPU:	PUNA		SPAS	BBOS:	BOBS		BITE
AKOP:	KAPO	ALUV:	UVAL	ANRZ:	RANZ	APST:	PATS	BCEE:	CEBE	BEJU:	JUBE
AKOR:	KORA		VALU	ANSS:	SANS		SPAT	BCEH:	CHEB	BEKR:	BERK
	OKRA	ALUX:	AULX	ANST:	TANS	APSU:	PUAS	BCEO:	COBE*	BELO:	LOBE
AKOS:	OKAS		LUXA	ANSU:	ANUS		SUPA	BCES:	BECS		OBEL
AKOT:	KOTA	ALWY:	YAWL		NUAS		UPAS	BCEU:	CUBE	BELS:	BELS
AKRS:	KSAR	AMMU:	UMMA	ANSV:	VANS	APSW:	SWAP	BCIR:	CRIB		BLES
AKRT:	KART	AMMY:	MAMY	ANSY:	NAYS		WAPS	BCIS:	BICS	BELT:	BLET
AKRU:	RAKU	AMNO:	NOMA	ANTT:	TANT		WASP	BCIU:	CUBI	BELU:	BLEU
AKSS:	SKAS	AMNS:	MANS	ANTU:	NUAT	APSY:	PAYS	BCKO:	BOCK	BEMO:	BOME
AKST:	KATS	AMNX:	MANX		TUNA	APTU:	PUAT	BCLO:	BLOC	BEMU:	EMBU
	SKAT	AMOR:	OMRA	ANUU:	UNAU	APTY:	TYPA	BCLU:	CLUB	BENR:	BREN
AKSU:	SKUA	AMOS:	MAOS	ANUY:	YUAN	AQST:	QATS	BCOR:	BROC	BENS:	BENS
AKSV:	KVAS		MASO	AOPR:	PRAO	ARSS:	SARS		CORB*	BEOR:	BOER
AKSW:	KWAS		MOAS	AOPS:	POSA		SRAS	BCOS:	COBS		BORE
AKSY:	YAKS		SOMA		SOAP	ARST:	ARTS	BCOU:	BOUC		ORBE
AKTY:	KYAT	AMOT:	TOMA	AOPT:	OPTA		RATS	BCSU:	BUSC		ROBE
ALLO:	ALLO	AMOX:	MOXA		POTA*		SART	BDEE:	BEDE	BEOT:	BOTE
ALMM:	MALM	AMOY:	MAYO		TOPA		STAR	BDEI:	BIDE	BEOU:	BOUE
ALMS:	MALS		MOYA	AOPV:	VAPO		TARS	BDEL:	BLED	BEOX:	BOXE
	SLAM	AMPS:	SPAM	AOPY:	POYA		TSAR	BDES:	DEBS	BERS:	BERS
ALMT:	MALT	AMPU:	PUMA	AORS:	ROSA	ARSU:	RUAS	BDII:	DIBI	BERU:	BEUR
ALMU:	LUMA	AMPV:	VAMP	AORT:	ROTA		RUSA	BDNO:	BOND		BURE
	MAUL	AMRS:	MARS		TARO		SAUR	BDOR:	BORD		REBU
ALNP:	PLAN	AMRT:	TRAM	AORU:	ROUA	ARSV:	VARS	BDOY:	BODY	BESU:	BEUS
ALNU:	ALUN	AMRU:	ARUM	AOSS:	ASSO*	ARSY:	RAYS	BDSU:	DUBS		BUES
	ULNA		MURA		OSAS	ARTU:	RUAT	BEEK:	BEKE		BUSE
ALNV:	VLAN	AMST:	MATS	AOST:	OSAT	ARTX:	TRAX	BEEL:	BELE	BESW:	WEBS
ALOR:	AROL	AMSU:	MUAS		OTAS	ARTY:	ARTY	BEEN:	BENE	BESY:	BEYS
	ORAL		MUSA		TAOS	ARTZ:	TZAR	BEER:	BEER	BETU:	BUTE
ALOS:	LAOS		SAMU		TOSA	ARUZ:	AZUR	BEES:	BEES		TUBE
	LOAS	AMSY:	YAMS	AOSX:	SAXO	ASSU:	SUAS	BEET:	BETE	BETY:	BYTE
	OLAS	AMTU:	MATU	AOSY:	SOYA		USAS	BEEU:	BUEE	BEUZ:	ZEBU
ALOT:	ALTO		MUAT	AOTT:	OTAT	ASSY:	YASS	BEEZ:	BEEZ	BGIN:	BING
	TOLA		MUTA	AOTU:	AOUT	ASTT:	STAT	BEFI:	BIEF	BGIO:	BIGO
ALOU:	LOUA	AMUX:	MAUX		AUTO		TATS	BEFR:	BREF		IGBO
ALOV:	LOVA	AMUZ:	ZAMU		TOUA	ASTU:	SAUT	BEGI:	BIGE	BGIU:	GUIB
	VOLA	ANNO:	ANON	AOTV:	VOTA		SUAT	BEGO:	BOGE	BGLO:	BLOG
ALPS:	LAPS	ANNS:	NANS	AOTY:	OYAT		TUAS		GOBE	BGOS:	BOGS
	PALS	ANNT:	TANN	AOUV:	VOUA		USAT	BEGU:	BEGU	BGRU:	BURG
ALPT:	PLAT	ANOP:	PAON	APPS:	APPS*	ATTU:	TUAT	BEHU:	BEUH	BGSU:	BUGS
ALPU:	PALU	ANOR:	ORNA	APPY:	PAPY	ATTW:	WATT	BEIL:	BILE	BHOU:	BOUH
	PULA	ANOS:	NAOS	APRS:	PARS	ATUV:	VATU	BEIN:	BENI	BHSU:	BUSH
ALRY:	LYRA	ANOT:	NOTA		RAPS		VAUT		BIEN		HUBS
	RYAL		TAON	APRT:	PART	ATUX:	TAUX		BINE	BIIS:	IBIS
ALSS:	SALS	ANOU:	NOUA		RAPT	AUVX:	VAUX	BEIO:	OBEI	BIKR:	BRIK
ALST:	LATS	ANOV:	NOVA	APRU:	PARU	BBEE:	BEBE	BEIP:	BIPE	BILL:	BILL


Tirages de 4 lettres de BILO à DENY - Page 5/9

BILO:	LOBI		OBUS	CEHO:	ECHO	CESZ:	ZECS	CKRU:	RUCK*		MEDE
BIMU:	IMBU	BOSY:	BOYS	CEHR:	CHER	CEUV:	CUVE	CLOO:	COLO	DEEN:	EDEN
BINO:	BONI	BOSZ:	ZOBS	CEHU:	CHUE		VECU		COOL	DEEP:	PEDE
BINR:	BRIN	BOTU:	BOUT		ECHU	CEUX:	CEUX		LOCO	DEFI:	DEFI
BINS:	IBNS		BUTO	CEHW:	WECH	CFIL:	FLIC	CLOP:	PLOC	DEFN:	FEND
BINZ:	BINZ	BOTY:	TOBY	CEHZ:	CHEZ	CFIR:	FRIC	CLOS:	CLOS	DEGO:	DOGE
BIOR:	BRIO	BPSU:	PUBS	CEIL:	CIEL	CFIS:	FICS		COLS		GODE
BIOS:	BIOS	BRRR:	BRRR		LICE		FISC	CLOT:	CLOT	DEGU:	DEUG
	BOIS	BRSU:	BRUS	CEIM:	CIME	CFLO:	FLOC		COLT	DEHS:	SHED
	IBOS	BRTU:	BRUT	CEIN:	CINE	CFOR:	FROC	CLOU:	CLOU	DEIL:	LIED
	OBIS	BSTU:	BUTS	CEIR:	CIRE	CFOS:	FOCS	CLSU:	CULS	DEIM:	DEMI
BIOT:	BOIT		TUBS		CRIE	CHIN:	INCH	CMOO:	MOCO		DIME
	OBIT	BUZZ:	BUZZ	CEIS:	SCIE	CHIP:	CHIP		MOOC		IDEM
BIPS:	BIPS	CCEI:	CECI	CEIT:	CITE	CHIS:	HICS*	CMOS:	COMS	DEIN:	DENI
BIRR:	BIRR	CCHI:	CHIC	CEIV:	CIVE	CHIT:	CHTI	CMSU:	MUSC		DINE
BIRS:	BRIS	CCHO:	CHOC		VICE	CHLO:	LOCH	CNOS:	CONS		INDE
	RIBS*	CCIL:	CLIC	CEKN:	NECK	CHMU:	CHUM	CNOU:	NOUC	DEIO:	IODE
BIRU:	BRUI	CCIR:	CRIC	CEKO:	COKE	CHOP:	CHOP	CNOY:	CYON	DEIP:	PIED
BIST:	BITS	CCOO:	COCO	CEKR:	RECK	CHOU:	CHOU	COOP:	POCO	DEIR:	DIRE
BISU:	BUIS	CCOR:	CROC	CEKT:	TECK		OUCH	COPR:	PORC		RIDE
	SUBI	CCOU:	COCU	CELS:	CLES	CHSU:	CHUS		PROC*	DEIS:	DISE
BITU:	BITU	CCUU:	CUCU	CELU:	CLUE	CHTU:	CHUT	COPS:	COPS		IDES
BJOS:	JOBS	CDEE:	CEDE		CULE	CIKK:	KICK	COPU:	COUP		SIED
BKOO:	BOOK	CDEI:	CEDI	CEMS:	MECS	CILM:	CLIM	COQS:	COQS	DEIT:	DITE
BKOS:	KOBS		DECI	CEMY:	CYME	CILN:	CLIN	CORS:	CORS		EDIT
BLLU:	BULL	CDEK:	DECK	CENO:	CONE	CILO:	LOCI		ROCS	DEIU:	DIEU
BLOO:	BOLO*	CDEO:	CODE		NOCE	CILP:	CLIP	CORT:	TROC	DEIV:	DEVI
BLOR:	BROL		DECO		ONCE	CILS:	CILS	CORU:	COUR		DIVE
BLOS:	BOLS	CDEU:	DECU	CENS:	CENS	CIMS:	SMIC	CORW:	CROW		VIDE
	LOBS		DUCE	CENT:	CENT	CINO:	COIN	COSS:	SOCS	DEJS:	DEJS*
BLOT:	BLOT	CDIO:	DICO	CEOR:	CORE	CINQ:	CINQ	COST:	COTS	DEKS:	DESK
BMOO:	BOOM	CDKO:	DOCK		OCRE	CINR:	CRIN		TOCS	DEKY:	DYKE
BMOS:	MOBS	CDNO:	DONC	CEOS:	ECOS	CINZ:	ZINC	COSU:	COUS	DELO:	DOLE
BMOU:	BOUM	CDOS:	DOCS	CEOT:	COTE	CIOR:	COIR	COSV:	VOCS	DELS:	DELS*
	UMBO*	CDOU:	COUD		ECOT	CIOS:	COIS	COSY:	COSY		LEDS
BMRU:	RUMB		DOCU		ETOC	CIOT:	COIT	COTU:	COUT	DELU:	DUEL
BNOS:	BONS		DOUC*	CEOX:	COXE		COTI	COUV:	COUV	DELV:	VELD
	SNOB	CDSU:	DUCS	CEPS:	CEPS	CIOV:	VIOC	CRSU:	CRUS	DEMO:	DEMO
BNRU:	BRUN		SCUD		PECS	CIPS:	PICS	CRTU:	CRUT		DOME
BNSU:	BUNS	CEEH:	ECHE	CEPU:	PUCE		SPIC		TRUC		MODE
BOOT:	BOOT	CEEL:	CELE	CERS:	CERS	CIRS:	CRIS		TURC	DEMS:	DEMS
	BOTO*	CEEN:	CENE	CERT:	CRET	CIRT:	TRIC	CSSU:	SUCS	DENO:	ONDE
BOPS:	BOPS	CEEP:	CEPE	CERU:	CRUE	CIRU:	CUIR	CSTU:	CUTS	DENP:	PEND
BORS:	ROBS	CEER:	CREE		CURE	CIST:	TICS		STUC	DENR:	NERD
BORT:	BORT	CEFH:	CHEF		ECRU	CISU:	CUIS	DDJU:	JUDD		REND
BORU:	BOUR	CEFL:	CLEF		RECU	CITU:	CUIT	DDOO:	DODO	DENT:	DENT
	BROU	CEFO:	COEF	CESS:	SECS		CUTI	DDOU:	DODU		TEND
BOSS:	BOSS	CEFR:	CERF	CESU:	ECUS	CJNO:	JONC	DEEF:	FEDE	DENU:	DUNE
BOST:	BOTS	CEGR:	GREC		SECU	CKOR:	ROCK	DEEI:	IDEE	DENV:	VEND
BOSU:	BOUS	CEHI:	CHIE		SUCE	CKPU:	PUCK	DEEM:	DEME	DENY:	DYNE


Tirages de 4 lettres de DENZ à EIJO - Page 6/9

DENZ:	ZEND	DLOS:	DOLS	EEHM:	HEME	EEOT:	OTEE	EFIP:	PIFE	EGJU:	JUGE
DEOP:	DOPE		LODS	EEHR:	HERE	EEOV:	EVOE	EFIR:	FIER	EGLO:	LEGO
DEOR:	DORE	DMOR:	MORD	EEHU:	HUEE		OVEE	EFIS:	FIES		LOGE
	RODE	DMOS:	DOMS	EEIL:	ELIE	EEPP:	PEPE	EFIU:	FIEU	EGLS:	GELS
DEOS:	DEOS	DMOU:	DOUM		LIEE	EEPR:	PERE		FUIE		LEGS
	DOSE		MOUD	EEIM:	EMIE	EEPS:	PESE	EFIX:	FIXE	EGLU:	GLUE
	ODES	DNOP:	POND	EEIN:	NIEE	EEPT:	PETE	EFIZ:	FIEZ		LUGE
	SODE	DNOR:	NORD	EEIP:	EPIE	EEPU:	PUEE	EFJU:	FEUJ	EGLY:	GLEY
DEOT:	DOTE		ROND	EEIS:	SIEE	EEPV:	PEVE*	EFKU:	KEUF	EGMU:	MUGE
DEOU:	DOUE	DNOS:	DONS	EEIX:	IXEE	EEPZ:	PEZE	EFLO:	FLOE	EGNO:	GONE
	OUED	DNOT:	DONT	EEJP:	JEEP	EERR:	ERRE		LOFE	EGNS:	GENS
DEPR:	PERD		TOND	EEJS:	JESE		REER	EFLS:	SELF	EGNT:	GENT
DEPU:	DUPE	DOOR:	ORDO	EEJT:	EJET	EERS:	ERES	EFLT:	FLET	EGOR:	GORE
DERS:	DERS	DOPR:	DROP		JETE		ERSE	EFLU:	FLUE		OGRE
