Tirages de 10 lettres de AAAABDIRRT à AAABDEGIMR - Page 1/420

AAAABDIRRT:	ABATARDIRA	AAAALMNRSZ:	SALMANAZAR	AAABCEHMRS:	RABACHAMES
AAABDEGMSS:	GAMBADASSE	AAABEGGIRS:	GABARIAGES		ARABISANTE
AAABDEGMST:	GAMBADATES	AAABEGHNSU:	HAUBANAGES		BASANERAIT
AAABDEGNUU:	BAGUENAUDA	AAABEGIIRR:	ABREAGIRAI	AAABEINSST:	ABAISSANTE
AAABDEGRSV:	BAVARDAGES		GABARIERAI	AAABEINTTT:	ABATTAIENT
AAABDEILNN:	ALABANDINE	AAABEGIMRS:	GABARIAMES	AAABEIQRRU:	BARAQUERAI
AAABDEILNS:	DEBANALISA	AAABEGIRRR:	BAGARRERAI	AAABEIRRSS:	ABRASERAIS
AAABDEILNT:	ALABANDITE	AAABEGIRRS:	ABREAGIRAS		ARABISERAS
	BALADAIENT		GABARIERAS		RABAISSERA
AAABDEILRS:	BALADERAIS	AAABEGIRRT:	GRABATAIRE	AAABEIRRST:	ABRASERAIT
AAABDEILRT:	BALADERAIT	AAABEGIRSS:	GABARIASSE	AAABEIRRTT:	BARATTERAI
AAABDEIRRU:	BARREAUDAI*	AAABEGIRST:	GABARIATES	AAABEIRSSS:	ABAISSERAS
AAABDEIRRV:	BAVARDERAI	AAABEGLLST:	BALLASTAGE		ARABISASSE
AAABDEIRRZ:	BAZARDERAI	AAABEGMRRS:	BAGARRAMES	AAABEIRSST:	ARABISATES
AAABDEIRST:	ABATARDIES	AAABEGRRRS:	BAGARRERAS		TABASSERAI
AAABDEISSZ:	BAZADAISES	AAABEGRRSS:	BAGARRASSE	AAABEIRSSV:	BAVASSERAI
AAABDELPST:	ADAPTABLES	AAABEGRRST:	BAGARRATES	AAABEISSSS:	ABAISSASSE
AAABDELSSS:	BALADASSES	AAABEGRSTT:	BARATTAGES	AAABEISSST:	ABAISSATES
AAABDEMRSV:	BAVARDAMES		RABATTAGES	AAABEJQRRU:	BARJAQUERA
AAABDEMRSZ:	BAZARDAMES	AAABEGSSST:	TABASSAGES	AAABEKKLSY:	KAYAKABLES
AAABDEMSSS:	AMBASSADES	AAABEHINRU:	HAUBANERAI	AAABELLNSY:	ANALYSABLE
AAABDENRSS:	SARABANDES	AAABEHMNSU:	HAUBANAMES	AAABELLRST:	BALLASTERA
AAABDERRSS:	BARDASSERA	AAABEHNRSU:	HAUBANERAS	AAABELMPRS:	PALABRAMES
	DEBARRASSA	AAABEHNSSU:	HAUBANASSE	AAABELMSTT:	ATTABLAMES
AAABDERRSU:	BARREAUDAS*	AAABEHNSTU:	HAUBANATES	AAABELPRRS:	PALABRERAS
AAABDERRSV:	BAVARDERAS	AAABEIILRS:	BALAIERAIS	AAABELPRRV:	PARAVERBAL
AAABDERRSZ:	BAZARDERAS	AAABEIILRT:	BALAIERAIT	AAABELPRSS:	PALABRASSE
AAABDERRTU:	BARREAUDAT*	AAABEIIRRS:	ARABISERAI	AAABELPRST:	PALABRATES
AAABDERSSV:	BAVARDASSE	AAABEIIRSS:	ABAISSERAI	AAABELQTTU:	ATTAQUABLE
AAABDERSSZ:	BAZARDASSE	AAABEILLRT:	BATAILLERA	AAABELRSTT:	ATTABLERAS
AAABDERSTV:	BAVARDATES	AAABEILMRS:	MALBARAISE	AAABELSSST:	ABLATASSES
AAABDERSTZ:	BAZARDATES	AAABEILNRS:	BANALISERA	AAABELSSSY:	BALAYASSES
AAABDERTUX:	BATARDEAUX	AAABEILNSS:	ALBANAISES	AAABELSSTT:	ATTABLASSE
AAABDGILNS:	BANGLADAIS	AAABEILNTT:	ABLATAIENT	AAABELSTTT:	ATTABLATES
AAABDGINOV:	VAGABONDAI	AAABEILNTY:	BALAYAIENT	AAABEMQRSU:	BARAQUAMES
AAABDGNOSV:	VAGABONDAS	AAABEILPRR:	PALABRERAI	AAABEMRRSS:	EMBARRASSA
AAABDGNOTV:	VAGABONDAT	AAABEILRST:	ABLATERAIS	AAABEMRSTT:	BARATTAMES
AAABDIIJNS:	ABIDJANAIS	AAABEILRSY:	BALAYERAIS	AAABEMSSST:	TABASSAMES
AAABDINNNO:	ABANDONNAI	AAABEILRTT:	ABLATERAIT	AAABEMSSSV:	BAVASSAMES
AAABDIRSSS:	BARDASSAIS		ATTABLERAI	AAABENNSSS:	BANANASSES
AAABDIRSST:	BARDASSAIT	AAABEILRTY:	BALAYERAIT	AAABENRTTT:	RABATTANTE
AAABDNNNOS:	ABANDONNAS	AAABEIMRSS:	ARABISAMES	AAABENSSSS:	BASANASSES
AAABDNNNOT:	ABANDONNAT	AAABEIMSSS:	ABAISSAMES	AAABEQRRSU:	BARAQUERAS
AAABDNRSST:	BARDASSANT	AAABEINNNT:	BANANAIENT	AAABEQRSSU:	BARAQUASSE
AAABEEINNR:	BANANERAIE	AAABEINNRS:	BANANERAIS	AAABEQRSTU:	BARAQUATES
AAABEFFLRU:	AFFABULERA	AAABEINNRT:	BANANERAIT	AAABERRSTT:	BARATTERAS
AAABEFILRR:	BALAFRERAI	AAABEINNST:	BASANAIENT	AAABERSSSS:	ABRASASSES
AAABEFLMRS:	BALAFRAMES	AAABEINRRT:	BARATINERA	AAABERSSST:	TABASSERAS
AAABEFLRRS:	BALAFRERAS	AAABEINRSS:	BASANERAIS	AAABERSSSV:	BAVASSERAS


Tirages de 10 lettres de AAABERSSTT à AAACDEFRRS - Page 3/420

AAABERSSTT:	BARATTASSE	AAABIRSTTY:	ABSTRAYAIT	AAACCELORR:	CARACOLERA
AAABERSTTT:	BARATTATES	AAABJNQRTU:	BARJAQUANT	AAACCEMNNS:	CANCANAMES
AAABESSSST:	TABASSASSE	AAABLLNSTT:	BALLASTANT	AAACCENNRS:	CANCANERAS
AAABESSSSV:	BAVASSASSE	AAABMORSTU:	MARABOUTAS	AAACCENNSS:	CANCANASSE
AAABESSSTT:	TABASSATES	AAABMORTTU:	MARABOUTAT	AAACCENNST:	CANCANATES
AAABESSSTV:	BAVASSATES	AAABNRSTTT:	RABATTANTS	AAACCENPRT:	ACCAPARENT
AAABFFIILR:	AFFAIBLIRA	AAABNRSTTY:	ABSTRAYANT	AAACCEPRRU:	ACCAPAREUR
AAABFFILSU:	AFFABULAIS	AAABRSSTTU:	TARABUSTAS	AAACCERSSS:	SACCARASES*
AAABFFILTU:	AFFABULAIT	AAABRSTTTU:	TARABUSTAT	AAACCERSST:	SACCARATES*
AAABFFLNTU:	AFFABULANT	AAACCCHHHS:	CHACHACHAS*	AAACCERSTT:	CATARACTES
AAABGHLNSU:	GALHAUBANS	AAACCDEIRR:	CACARDERAI	AAACCFIIRS:	SACCARIFIA*
AAABGIILNT:	GABALITAIN	AAACCDEIRS:	CASCADERAI	AAACCGMNOP:	ACCOMPAGNA
AAABGINORU:	BARAGOUINA		SACCADERAI	AAACCHILNS:	CALANCHAIS
AAABHLRSST:	BALTHASARS	AAACCDELOR:	CARACOLADE	AAACCHILNT:	CALANCHAIT
AAABHLRSTZ:	BALTHAZARS	AAACCDELRV:	CAVALCADER	AAACCHIRSV:	CRAVACHAIS
AAABIIILLS:	LABIALISAI	AAACCDELSV:	CAVALCADES	AAACCHIRTV:	CRAVACHAIT
AAABIIKLNS:	BALKANISAI	AAACCDELVZ:	CAVALCADEZ	AAACCHLNNT:	CALANCHANT
AAABIILLSS:	LABIALISAS	AAACCDEMRS:	CACARDAMES	AAACCHNRTV:	CRAVACHANT
AAABIILLST:	BATAILLAIS	AAACCDEMSS:	CASCADAMES	AAACCIILLR:	CARCAILLAI
	LABIALISAT		SACCADAMES	AAACCIILMT:	ACCLIMATAI
AAABIILLTT:	BATAILLAIT	AAACCDERRS:	CACARDERAS	AAACCILLRS:	CARCAILLAS
AAABIILMQU:	ALAMBIQUAI	AAACCDERSS:	CACARDASSE	AAACCILLRT:	CARCAILLAT
AAABIILNSS:	BANALISAIS		CASCADERAS	AAACCILLST:	ACCASTILLA
AAABIILNST:	BANALISAIT		DECARCASSA	AAACCILMST:	ACCLIMATAS
AAABIINRST:	BARATINAIS		SACCADERAS	AAACCILMTT:	ACCLIMATAT
AAABIINRTT:	BARATINAIT	AAACCDERST:	CACARDATES	AAACCILORS:	CARACOLAIS
AAABIIRRST:	ABSTRAIRAI	AAACCDESSS:	CASCADASSE	AAACCILORT:	CARACOLAIT
AAABIIRSSS:	RABAISSAIS		SACCADASSE	AAACCIRRTU:	CARICATURA
AAABIIRSST:	RABAISSAIT	AAACCDESST:	CASCADATES	AAACCJOPUY:	JACAPUCAYO
AAABIJQRSU:	BARJAQUAIS		SACCADATES	AAACCLNORT:	CARACOLANT
AAABIJQRTU:	BARJAQUAIT	AAACCEEGIR:	AGARICACEE	AAACCNOPRS:	ACCAPARONS
AAABIKLNSS:	BALKANISAS	AAACCEEHNT:	ACANTHACEE		CAPARACONS
AAABIKLNST:	BALKANISAT	AAACCEEPRS:	ACCAPAREES	AAACDDEILR:	CALDEIRADA*
AAABILLNTT:	BATAILLANT	AAACCEGIRS:	SACCAGERAI	AAACDDIINT:	CANDIDATAI
AAABILLSST:	BALLASTAIS	AAACCEGISS:	SACCAGEAIS	AAACDDINST:	CANDIDATAS
AAABILLSTT:	BALLASTAIT	AAACCEGIST:	SACCAGEAIT	AAACDDINTT:	CANDIDATAT
AAABILMQSU:	ALAMBIQUAS	AAACCEGNST:	SACCAGEANT	AAACDEEGNR:	ACAGNARDEE
AAABILMQTU:	ALAMBIQUAT	AAACCEGRSS:	SACCAGERAS	AAACDEEHLN:	ACHALANDEE
AAABILNNST:	BANALISANT	AAACCEHLNR:	CALANCHERA	AAACDEEINS:	NAIADACEES
AAABILNRST:	ALABASTRIN	AAACCEHRRV:	CRAVACHERA	AAACDEELRS:	ESCALADERA
AAABIMORTU:	MARABOUTAI	AAACCEHRSS:	SACCHARASE	AAACDEENNP:	PANDANACEE*
AAABINNRTT:	BARATINANT	AAACCEHRST:	SACCHARATE	AAACDEERTU:	CADEAUTERA
AAABINRSST:	ARABISANTS	AAACCEILMR:	ACCLAMERAI	AAACDEFGRS:	CAFARDAGES
	RABAISSANT	AAACCEINNR:	CANCANERAI	AAACDEFGRU:	FAUCARDAGE
AAABINSSST:	ABAISSANTS	AAACCEINPU:	IPECACUANA	AAACDEFHIU:	ECHAFAUDAI
AAABIRRSST:	ABSTRAIRAS	AAACCEIPRZ:	ACCAPARIEZ	AAACDEFHSU:	ECHAFAUDAS
AAABIRRSTT:	RABATTRAIS	AAACCELMMS:	ACCLAMAMES	AAACDEFHTU:	ECHAFAUDAT
AAABIRRTTT:	RABATTRAIT	AAACCELMRS:	ACCLAMERAS	AAACDEFIRR:	CAFARDERAI
AAABIRSSTY:	ABSTRAYAIS	AAACCELMSS:	ACCLAMASSE	AAACDEFMRS:	CAFARDAMES
AAABIRSTTU:	TARABUSTAI	AAACCELMST:	ACCLAMATES	AAACDEFRRS:	CAFARDERAS


Tirages de 10 lettres de AAACDEFRRU à AAACEHIRTT - Page 4/420

AAACDEFRRU:	FAUCARDERA	AAACDGMNPR:	CAMPAGNARD	AAACEFINRT:	CARAFAIENT
AAACDEFRSS:	CAFARDASSE	AAACDHIINP:	HANDICAPAI	AAACEFIRRS:	CARAFERAIS
AAACDEFRST:	CAFARDATES	AAACDHIMNR:	MARCHANDAI	AAACEFIRRT:	CARAFERAIT
AAACDEGHLN:	CHALANDAGE	AAACDHINPS:	HANDICAPAS	AAACEFLMNR:	MACFARLANE
AAACDEGHPR:	CHAPARDAGE	AAACDHINPT:	HANDICAPAT	AAACEFLMST:	CALFATAMES
AAACDEGIRV:	CAVIARDAGE	AAACDHIPRS:	CHAPARDAIS	AAACEFLQTU:	CATAFALQUE
AAACDEGLNR:	CALANDRAGE	AAACDHIPRT:	CHAPARDAIT	AAACEFLRST:	CALFATERAS
AAACDEGLPR:	PLACARDAGE	AAACDHMNRS:	MARCHANDAS	AAACEFLSST:	CALFATASSE
AAACDEGLRV:	CLAVARDAGE	AAACDHMNRT:	MARCHANDAT	AAACEFLSTT:	CALFATATES
AAACDEGNRR:	ACAGNARDER	AAACDHNPRT:	CHAPARDANT	AAACEFRRSS:	FRACASSERA
AAACDEGNRS:	ACAGNARDES	AAACDIILRS:	RADICALISA	AAACEFRSSS:	CARAFASSES
	CANARDAGES	AAACDIIRSV:	CAVIARDAIS	AAACEGGLOT:	CATALOGAGE
AAACDEGNRZ:	ACAGNARDEZ	AAACDIIRTV:	CAVIARDAIT	AAACEGGNRS:	GARANCAGES
AAACDEHHNR:	DEHARNACHA	AAACDILNRS:	CALANDRAIS	AAACEGHIMR:	MARAICHAGE
AAACDEHLNR:	ACHALANDER	AAACDILNRT:	CALANDRAIT	AAACEGHNPS:	PANACHAGES
AAACDEHLNS:	ACHALANDES		CARDINALAT	AAACEGHRRS:	ARRACHAGES
AAACDEHLNZ:	ACHALANDEZ	AAACDILNSS:	SCANDALISA	AAACEGILMN:	CALAMINAGE
AAACDEHPRR:	CHAPARDERA	AAACDILPRS:	PLACARDAIS	AAACEGILRS:	AGARICALES
AAACDEILMN:	DECALAMINA		PLACARDISA	AAACEGILST:	AGALACTIES
AAACDEILSS:	ESCALADAIS	AAACDILPRT:	PLACARDAIT	AAACEGINRR:	GARANCERAI
AAACDEILST:	ESCALADAIT	AAACDILRSV:	CLAVARDAIS	AAACEGIPRS:	PACAGERAIS
AAACDEIMMS:	MACADAMISE	AAACDILRTV:	CLAVARDAIT	AAACEGIPRT:	PACAGERAIT
AAACDEINRR:	ANACARDIER	AAACDIMNOR:	AMORDANCAI	AAACEGISSS:	ESCAGASSAI
	CANARDERAI	AAACDINRRS:	RANCARDAIS	AAACEGISSZ:	AGACASSIEZ
AAACDEINSS:	CADENASSAI	AAACDINRRT:	RANCARDAIT	AAACEGMNRS:	GARANCAMES
AAACDEIRRV:	CAVIARDERA	AAACDINRTV:	CAVIARDANT	AAACEGNPRT:	PANCARTAGE
AAACDEIRTU:	CAUDATAIRE	AAACDIRSST:	CADASTRAIS	AAACEGNRRS:	GARANCERAS
AAACDEISTU:	CADEAUTAIS	AAACDIRSTT:	CADASTRAIT	AAACEGNRSS:	GARANCASSE
AAACDEITTU:	CADEAUTAIT	AAACDJMRSU:	MARACUDJAS	AAACEGNRST:	CASTAGNERA
AAACDELNRR:	CALANDRERA	AAACDLNNRT:	CALANDRANT		GARANCATES
AAACDELNST:	ESCALADANT	AAACDLNPRT:	PLACARDANT	AAACEGNSST:	AGACASSENT
AAACDELPRR:	PLACARDERA	AAACDLNRTV:	CLAVARDANT	AAACEGOPRT:	COPARTAGEA
AAACDELRRV:	CLAVARDERA	AAACDMNORS:	AMORDANCAS	AAACEGSSSS:	ESCAGASSAS
AAACDELRST:	CADASTRALE	AAACDMNORT:	AMORDANCAT	AAACEGSSST:	ESCAGASSAT
AAACDEMNOR:	MACARONADE	AAACDNNRRT:	RANCARDANT	AAACEHHNNR:	ENHARNACHA
AAACDEMNRS:	CANARDAMES	AAACDNRSTT:	CADASTRANT	AAACEHHNRR:	HARNACHERA
AAACDEMRSS:	MASCARADES		TRACTANDAS	AAACEHILNT:	ACHALAIENT
AAACDENRRR:	RANCARDERA	AAACDRSTUX:	CADASTRAUX	AAACEHILRS:	ACHALERAIS
AAACDENRRS:	CANARDERAS	AAACEEGLSV:	ESCLAVAGEA	AAACEHILRT:	ACHALERAIT
AAACDENRSS:	CANARDASSE	AAACEEGMPS:	PACAGEAMES	AAACEHILSS:	ACHALASIES
AAACDENRST:	CANARDATES	AAACEEGPSS:	PACAGEASSE		ECHALASSAI
AAACDENRUX:	CANARDEAUX	AAACEEGPST:	PACAGEATES	AAACEHIMNP:	EMPANACHAI
AAACDENSSS:	CADENASSAS	AAACEEILRS:	ARALIACEES	AAACEHIMNR:	AMANCHERAI
AAACDENSST:	CADENASSAT	AAACEELNPT:	PLATANACEE	AAACEHINPR:	PANACHERAI
AAACDENTTU:	CADEAUTANT	AAACEELNST:	SANTALACEE	AAACEHINRR:	ACHARNERAI
AAACDERRST:	CADASTRERA	AAACEEMNRT:	MARANTACEE	AAACEHINRT:	ACANTHAIRE
AAACDFIINO:	AFICIONADA	AAACEEMRST:	CASEMATERA	AAACEHIPRV:	PARACHEVAI
AAACDFIRSU:	FAUCARDAIS	AAACEEPRST:	CARAPATEES	AAACEHIPTU:	CHAPEAUTAI
AAACDFIRTU:	FAUCARDAIT	AAACEFGLST:	CALFATAGES	AAACEHIRRR:	ARRACHERAI
AAACDFNRTU:	FAUCARDANT	AAACEFILRT:	CALFATERAI	AAACEHIRTT:	ATTACHERAI


Tirages de 10 lettres de AAACEHLMRT à AAACIILMNS - Page 5/420

AAACEHLMRT:	MARECHALAT	AAACEIMNSS:	MACANAISES	AAACGILOTU:	CATALOGUAI
AAACEHLNST:	ACHALANTES	AAACEIMSST:	CASEMATAIS	AAACGIMNNS:	MANIGANCAS
AAACEHLNSV:	AVALANCHES		MASCATAISE	AAACGIMNNT:	MANIGANCAT
AAACEHLRRT:	CATARRHALE	AAACEIMSTT:	CASEMATAIT	AAACGIMRSU:	CAMARGUAIS
AAACEHLSSS:	ACHALASSES	AAACEINNTV:	AVANCAIENT	AAACGINNRV:	CARAVANING
	ECHALASSAS	AAACEINRRS:	SARRACENIA	AAACGINSST:	CASTAGNAIS
AAACEHLSST:	ECHALASSAT	AAACEINRRV:	CARAVANIER	AAACGINSTT:	CASTAGNAIT
AAACEHMMNS:	AMANCHAMES	AAACEINRSV:	AVANCERAIS	AAACGLOSTU:	CATALOGUAS
AAACEHMNPS:	EMPANACHAS	AAACEINRTV:	AVANCERAIT	AAACGLOTTU:	CATALOGUAT
	PANACHAMES	AAACEIPRTZ:	CARAPATIEZ	AAACGNNSTT:	CASTAGNANT
AAACEHMNPT:	EMPANACHAT	AAACEIRRST:	ACARIATRES	AAACHHINRS:	HARNACHAIS
AAACEHMNRR:	RAMANCHERA		CARTAIERAS	AAACHHINRT:	HARNACHAIT
AAACEHMNRS:	ACHARNAMES	AAACEIRRTV:	CRAVATERAI	AAACHHNNRT:	HARNACHANT
	AMANCHERAS	AAACEIRRTY:	CARTAYERAI	AAACHIILLM:	CHAMAILLAI
AAACEHMNSS:	AMANCHASSE	AAACEIRSTV:	VACATAIRES	AAACHIIRSV:	AVACHIRAIS
AAACEHMNST:	AMANCHATES	AAACEJMSSS:	JACASSAMES	AAACHIIRTV:	AVACHIRAIT
AAACEHMRRR:	CHAMARRERA	AAACEJRSSS:	JACASSERAS	AAACHILLMS:	CHAMAILLAS
AAACEHMRRS:	ARRACHAMES	AAACEJSSSS:	JACASSASSE	AAACHILLMT:	CHAMAILLAT
AAACEHMSTT:	ATTACHAMES	AAACEJSSST:	JACASSATES	AAACHILPST:	CHAPTALISA
AAACEHNPRS:	PANACHERAS	AAACELLMSS:	SALAMALECS	AAACHIMNRS:	RAMANCHAIS
AAACEHNPSS:	PANACHASSE	AAACELMPST:	CATAPLASME	AAACHIMNRT:	MARCHANTIA
AAACEHNPST:	PANACHATES	AAACELRSTY:	CATALYSERA		RAMANCHAIT
AAACEHNRRS:	ACHARNERAS	AAACELSSSV:	CAVALASSES	AAACHIMORU:	AMOURACHAI
AAACEHNRSS:	ACHARNASSE	AAACEMMNRS:	CAMERAMANS	AAACHIMRRS:	CHAMARRAIS
AAACEHNRST:	ACHARNATES	AAACEMNSTT:	CASEMATANT	AAACHIMRRT:	CHAMARRAIT
AAACEHNTTT:	ATTACHANTE	AAACEMRRSS:	MASSACRERA	AAACHINRST:	ARCHAISANT
AAACEHPRSV:	PARACHEVAS	AAACEMRSSX:	SCRAMASAXE	AAACHIPRTU:	CRAPAHUTAI
AAACEHPRTV:	PARACHEVAT	AAACEMRSTV:	CRAVATAMES		PARACHUTAI
AAACEHPSTU:	CHAPEAUTAS	AAACEMRSTY:	CARTAYAMES	AAACHIRSTT:	RATTACHAIS
AAACEHPTTU:	CHAPEAUTAT	AAACENPRTT:	CARAPATENT	AAACHIRTTT:	RATTACHAIT
AAACEHRRRS:	ARRACHERAS	AAACENSSSV:	AVANCASSES	AAACHLNRST:	CHARLATANS
AAACEHRRSS:	ARRACHASSE	AAACEORSSV:	AVOCASSERA	AAACHLPRRS:	CHAPARRALS
AAACEHRRST:	ARRACHATES	AAACEPRRTU:	CRAPAUTERA	AAACHLPRTU:	PARACHUTAL
AAACEHRRTT:	RATTACHERA	AAACERRSST:	TRACASSERA	AAACHMNNRT:	RAMANCHANT
AAACEHRSTT:	ATTACHERAS	AAACERRSTV:	CRAVATERAS	AAACHMNPRU:	CAPHARNAUM
AAACEHSSTT:	ATTACHASSE	AAACERRSTY:	CARTAYERAS	AAACHMNRRT:	CHAMARRANT
AAACEHSTTT:	ATTACHATES	AAACERSSTV:	CRAVATASSE	AAACHMORSU:	AMOURACHAS
AAACEIIJMN:	JAMAICAINE	AAACERSSTY:	CARTAYASSE	AAACHMORTU:	AMOURACHAT
AAACEIIRRT:	CARTAIERAI	AAACERSTTV:	CRAVATATES	AAACHNPRTY:	PYRACANTHA
AAACEIJRSS:	JACASSERAI	AAACERSTTY:	CARTAYATES	AAACHNRTTT:	RATTACHANT
AAACEILLNN:	ANACLINALE	AAACESSSTT:	CATASTASES	AAACHNSTTT:	ATTACHANTS
	ENCANAILLA	AAACFIINRS:	AFRICANISA	AAACHPRSTU:	CRAPAHUTAS
AAACEILMNR:	CALAMINERA	AAACFILPRS:	PARAFISCAL		PARACHUTAS
AAACEILMNT:	CATAMENIAL	AAACFIRSSS:	FRACASSAIS	AAACHPRTTU:	CRAPAHUTAT
AAACEILMRS:	CARAMELISA	AAACFIRSST:	FRACASSAIT		PARACHUTAT
