AAABCC: CACABA
AABRRT: BARRAT
AABRSS: BRASAS
        BRASSA
        SABARS
        SABRAS
AABRST: BRASAT
        RABATS
        SABRAT
        TABARS
AABRSV: BRAVAS
AABRSY: BRAYAS
AABRSZ: BARZAS
        BAZARS
AABRTT: BATTRA
AABRTV: BRAVAT
AABRTY: BRAYAT
AABSSS: BASSAS
AABSST: BASTAS
AABSSU: ABUSAS
AABSTT: BASTAT
AABSTU: ABUSAT
        ABUTAS
AABSUX: BASAUX
AABTTU: ABATTU
        ABUTAT
AACCDE: ACCEDA
AACCEH: ECACHA
AACCEL: CAECAL
AACCHI: CACHAI
AACCHL: CHACAL
AACCHO: COACHA
AACCHR: CRACHA
AACCHS: CACHAS
AACCHT: CACHAT
        CATCHA
AACCLO: ACCOLA
AACCLU: ACCULA
AACCNN: CANCAN
AACCNR: CARCAN
AACCOR: ACCORA
        CARACO
AACCOS: CACAOS
AACCOT: ACCOTA
AACCOU: ACCOUA
AACCRR: CRACRA
AACCST: TACCAS
AACCSU: ACCUSA
AACDEF: FACADE
AACDEG: CAGADE
AACDEL: ALCADE
        CALADE
        DECALA
        DELACA
AACDEP: DECAPA
AACDER: ARCADE
AACDEU: AUDACE
        CADEAU
AACDEV: DECAVA
AACDFR: CAFARD
AACDHI: CHIADA
AACDHR: ACHARD
        DRACHA
AACDHS: SCHADA
AACDHT: DATCHA
AACDIM: CADMIA
AACDIR: CADRAI
        CARDAI
        CARDIA
AACDIT: CAIDAT
AACDLU: CAUDAL
AACDMR: CAMARD
AACDNR: CADRAN
        CANARD
        CARDAN
AACDNS: SCANDA
AACDRS: CADRAS
        CARDAS
AACDRT: CADRAT
        CARDAT
AACDTU: TACAUD
AACEEG: AGACEE
AACEER: ARACEE
AACEFF: EFFACA
AACEFL: ECLAFA
AACEFR: CARAFE
AACEFT: CAFETA
AACEGL: CALAGE
        LACAGE
AACEGN: AGENCA
AACEGP: PACAGE
AACEGR: AGACER
        RACAGE
AACEGS: AGACES
        SAGACE
AACEGT: AGETAC
AACEGV: CAVAGE
AACEGZ: AGACEZ
AACEHL: ACHALE
AACEHP: APACHE
AACEHT: ACHETA
AACEHV: ACHEVA
        EVACHA
AACEIL: ECALAI
AACEIM: EMACIA
AACEIP: CAPEAI
AACEIR: ACERAI
        ACIERA
AACELM: CALAME
AACELN: ALCANE
        ELANCA
        ENLACA
AACELP: CAPELA
        PALACE
AACELR: CALERA
        LACERA
        RECALA
        RELACA
AACELS: ALSACE
        ECALAS
        SALACE
AACELT: ACETAL
        CALETA
        ECALAT
        ECLATA
AACELU: ACAULE
AACELV: CAVALE
AACEMN: MENACA
AACEMR: CAMERA
        MACERA
AACENP: CANAPE
        PACANE
        PANACE
AACENR: ARCANE
        CANERA
        CARENA
AACENS: ACENSA
AACENV: AVANCE
        ENCAVA
AACENY: CYANEA
AACEPR: ACARPE
        CAPERA
        RAPACE
AACEPS: CAPEAS
        ESPACA
AACEPT: CAPEAT
AACEPY: CAPEYA
AACERS: ACARES
        ACERAS
        CASERA
        ECRASA
        RECASA
AACERT: ACERAT
        ACTERA
        CARATE
        ECARTA
AACERU: ARCEAU
AACERV: CAVERA
        RECAVA
AACESV: CAVEAS
AACEUV: CAVEAU
        EVACUA
AACEUX: EXAUCA
AACEVX: EXCAVA
AACFHI: FACHAI
AACFHS: FACHAS
AACFHT: FACHAT
AACFHU: FAUCHA
AACFIL: FACIAL
AACFIN: FIANCA
AACFIR: FARCAI
AACFIS: FASCIA
AACFIT: CAFTAI
AACFLO: AFOCAL
AACFLT: CALFAT
AACFNT: CAFTAN
AACFRS: FARCAS
        FRACAS
AACFRT: FARCAT
AACFST: CAFTAS
AACFTT: CAFTAT
AACGHI: GACHAI
AACGHS: GACHAS
AACGHT: GACHAT
AACGIL: GLACAI
AACGIR: AGARIC
        GRACIA
AACGIS: GAIACS
AACGIU: CAGUAI
AACGLS: GLACAS
AACGLT: GLACAT
AACGNS: CAGNAS
AACGRU: CARGUA
AACGSU: CAGUAS
AACGTU: CAGUAT
AACHHI: HACHAI
AACHHN: HANCHA
AACHHS: HACHAS
AACHHT: HACHAT
AACHII: AICHAI
AACHIK: HACKAI
AACHIL: CHIALA
        LACHAI
AACHIM: MACHAI
AACHIN: CHAINA
AACHIR: CHARIA
AACHIS: AICHAS
AACHIT: AICHAT
        CHATIA
        TACHAI
AACHIV: AVACHI
        VACHAI
AACHKL: KALACH
AACHKP: CHAPKA
AACHKR: CHAKRA
AACHKS: HACKAS
        KACHAS
AACHKT: HACKAT
AACHKW: KWACHA
AACHLR: ARCHAL
AACHLS: CLASHA
        LACHAS
AACHLT: LACHAT
AACHLU: CHAULA
AACHMN: CHAMAN
AACHMO: AMOCHA
AACHMR: CHARMA
        MARCHA
AACHMS: HAMACS
        MACHAS
AACHMT: MACHAT
        MATCHA
AACHMU: CHAUMA
AACHNT: CHANTA
AACHOT: CAHOTA
AACHPS: PACHAS
AACHRS: ACHARS
        CRASHA
AACHRT: CHATRA
        RACHAT
AACHRU: RAUCHA
AACHSS: CHASSA
AACHST: ACHATS
        TACHAS
AACHSV: VACHAS
AACHTT: CHATTA
        TACHAT
        TCHATA
AACHTV: VACHAT
AACIIR: CARIAI
AACIJT: JACTAI
AACILL: ALCALI
        CAILLA
        CALLAI
AACILM: AMICAL
        CALMAI
        CAMAIL
        CLAMAI
        MACLAI
AACILN: CALINA
        LANCAI
AACILP: APICAL
        CLAPAI
        PLACAI
AACILR: RACIAL
        RACLAI
AACILS: CALAIS
        LACAIS
AACILT: CALAIT
        CALTAI
        LACAIT
        LAICAT
        TACLAI
AACILV: CLAVAI
AACIMN: CAIMAN
AACIMP: CAMPAI
AACIMR: CRAMAI
AACIMS: CAMAIS
AACIMT: CAMAIT
AACINN: CANNAI
AACINR: ANCRAI
        ARNICA
        CANARI
        CRANAI
        NACRAI
        RACINA
        RICANA
AACINS: CANAIS
AACINT: CANAIT
        CANTAI
        CATINA
        TANCAI
AACIOP: OPIACA
AACIPS: CAPAIS
        PACSAI
AACIPT: CAPAIT
        CAPTAI
AACIQU: CAQUAI
AACIRR: CARRAI
AACIRS: CARIAS
        SACRAI
AACIRT: CARIAT
        CARTAI
        CATIRA
        TRACAI
AACIRV: CAVIAR
AACISS: CASAIS
        CASSAI
AACIST: ACTAIS
        CASAIT
        CASTAI
AACISU: CAUSAI
        SAUCAI
AACISV: CAVAIS
AACITT: ACTAIT
AACITV: ACTIVA
        CAVAIT
AACITY: CAITYA
AACIVY: VAICYA
AACJLO: CAJOLA
AACJNS: CAJANS
AACJOU: ACAJOU
AACJST: JACTAS
AACJTT: JACTAT
AACKNS: SNACKA
AACKRS: ARACKS
AACKST: CAKTAS
AACKSY: KAYACS
AACLLS: CALLAS
AACLLT: CALLAT
AACLMP: CLAMPA
AACLMR: CALMAR
AACLMS: CALMAS
        CLAMAS
        CLAMSA
        MACLAS
AACLMT: CALMAT
        CLAMAT
        MACLAT
AACLMU: MACULA
AACLNO: CANOLA
AACLNS: LANCAS
AACLNT: CALANT
        CANTAL
        LACANT
        LANCAT
AACLNU: CANULA
AACLOR: RACOLA
AACLOS: CALAOS
AACLPP: CLAPPA
AACLPS: CLAPAS
        PASCAL
        PLACAS
        SCALPA
AACLPT: CAPTAL
        CLAPAT
        PLACAT
AACLQU: CALQUA
        CLAQUA
AACLRS: LASCAR
        RACLAS
        SACRAL
        SARCLA
AACLRT: RACLAT
AACLRW: CRAWLA
AACLSS: CLASSA
AACLST: CALTAS
        TACLAS
AACLSU: CASUAL
        CAUSAL
AACLSV: CALVAS
        CLAVAS
AACLTT: CALTAT
        TACLAT
AACLTV: CLAVAT
AACMNT: CAMANT
AACMOR: AMORCA
AACMOT: COMATA
AACMPR: CRAMPA
AACMPS: CAMPAS
AACMPT: CAMPAT
AACMQU: MACQUA
AACMRS: CRAMAS
AACMRT: CRAMAT
        TARMAC
AACMUZ: MAUZAC
AACNNS: CANNAS
        SCANNA
AACNNT: CANANT
        CANNAT
AACNNU: NUANCA
AACNOT: CANOTA
AACNPS: PANCAS
AACNPT: CAPANT
AACNRS: ANCRAS
        CANARS
        CRANAS
        NACRAS
AACNRT: ANCRAT
        CRANAT
        CRANTA
        NACRAT
AACNRU: CARNAU
AACNST: CANTAS
        CASANT
        TANCAS
AACNSZ: NAZCAS
AACNTT: ACTANT
        CANTAT
        TANCAT
AACNTV: CAVANT
        VACANT
AACNUX: CANAUX
AACOPT: CAPOTA
AACORS: CASOAR
AACOSS: COASSA
AACOST: ATOCAS
AACOSU: CAOUAS
AACOSV: VACOAS
AACOTV: AVOCAT
AACPPS: CAPPAS
AACPQU: PACQUA
AACPSS: PACSAS
AACPST: CAPTAS
        PACSAT
AACPTT: CAPTAT
AACQRU: CRAQUA
AACQSU: CAQUAS
        CASQUA
        SACQUA
AACQTU: CAQUAT
AACRRS: CARRAS
AACRRT: CARRAT
AACRSS: CRASSA
        SACRAS
AACRST: CARATS
        CARTAS
        CASTAR
        CASTRA
        SACRAT
        TRACAS
AACRSU: ACARUS
AACRSV: CARVAS
AACRTT: CARTAT
        TRACAT
        TRACTA
AACSSS: CASSAS
AACSST: CASSAT
        CASTAS
AACSSU: CAUSAS
        SAUCAS
AACSTT: CASTAT
AACSTU: CAUSAT
        SAUCAT
AADDER: DERADA
AADDIR: DARDAI
AADDIS: DADAIS
AADDRS: DARDAS
AADDRT: DARDAT
AADEFR: FADERA
AADEGL: GELADA
AADEGM: DAMAGE
AADEGN: AGENDA
AADEGS: ADAGES
AADEGT: DATAGE
AADEGZ: DEGAZA
AADEHL: DEHALA
        HADALE
AADEHR: ADHERA
AADEIL: DEALAI
AADEIN: NAIADE
AADEIR: AIDERA
AADEIU: AIDEAU
AADEIV: EVADAI
AADEJM: DJEMAA
AADEJR: ADJARE
AADELM: MALADE
AADELP: PEDALA
AADELS: DEALAS
        SALADE
AADELT: DEALAT
        DETALA
AADELU: DALEAU
AADELV: DELAVA
        DEVALA
AADELY: DELAYA
AADEMM: MADAME
AADEMN: AMANDE
        AMENDA
        MANADE
AADEMR: DAMERA
        DERAMA
AADEMS: DESAMA
AADEMT: DEMATA
AADENP: PADANE
        PANADE
AADEPR: DEPARA
        DERAPA
        PARADE
AADEPS: DESAPA
        ESPADA
AADEPT: ADAPTE
AADEPV: DEPAVA
AADERR: RADERA
AADERS: DERASA
        RASADE
AADERT: DATERA
        DERATA
AADERU: RADEAU
AADERY: DERAYA
AADEST: SEDATA
AADESV: DEVASA
        EVADAS
AADESX: DESAXA
AADETV: EVADAT
AADETX: DETAXA
AADFFI: AFFADI
AADFIK: KADAIF
AADFIR: FARDAI
AADFIS: FADAIS
AADFIT: FADAIT
AADFNT: FADANT
AADFRS: FARADS
        FARDAS
AADFRT: FARDAT
AADFRU: FARAUD
        FAUDRA
        FRAUDA
AADFRY: FAYARD
AADGHR: HAGARD
AADGIN: DAIGNA
AADGIO: ADAGIO
AADGIR: GARDAI
        GRADAI
AADGIU: DAGUAI
AADGLN: GLANDA
        LADANG
AADGRS: GARDAS
        GRADAS
        SAGARD
AADGRT: GARDAT
        GRADAT
AADGRU: DRAGUA
        GRADUA
AADGSU: DAGUAS
AADGTU: DAGUAT
AADHIL: DAHLIA
AADHIR: HARDAI
AADHIS: HAIDAS
AADHJR: RADJAH
AADHMR: DHARMA
AADHRS: HARDAS
        HASARD
AADHRT: HARDAT
AADHUX: HADAUX
AADIIR: RADIAI
AADIIS: AIDAIS
AADIIT: AIDAIT
AADIJN: DJAINA
AADIJR: DARIJA
AADILL: DALLAI
AADILP: LAPIDA
        PLAIDA
AADILR: LARDAI
        LIARDA
        RADIAL
AADILS: DALASI
AADILT: DILATA
AADILU: ADULAI
AADILV: VALIDA
AADIMN: DAMNAI
        MANDAI
AADIMO: AMODIA
AADIMR: ADMIRA
AADIMS: DAMAIS
AADIMT: DAMAIT
AADINN: ANDAIN
AADINR: DRAINA
        RADIAN
        RADINA
AADINS: DANSAI
AADINT: AIDANT
AADINV: VIANDA
AADIOR: ADORAI
AADIPR: DIAPRA
        DRAPAI
AADIQS: QASIDA
AADIRS: DAIRAS
        RADAIS
        RADIAS
AADIRT: RADAIT
        RADIAT
        TARDAI
AADIRV: DRAVAI
AADIRY: DRAYAI
AADISS: SADISA
AADIST: DATAIS
        STADIA
AADITT: DATAIT
AADITU: AUDITA
        TAUDAI
AADJRS: ADJARS
        RADJAS
AADJRU: ADJURA
AADKSY: DAYAKS
AADLLS: DALLAS
AADLLT: DALLAT
AADLMO: AMODAL
AADLMR: MALARD
AADLNU: LANDAU
AADLOU: DOUALA
AADLRS: LARDAS
AADLRT: LARDAT
AADLRU: RADULA
AADLSU: ADULAS
        SALAUD
AADLTU: ADULAT
AADMMR: RAMDAM
AADMNS: DAMANS
        DAMNAS
        MANDAS
        NDAMAS
AADMNT: DAMANT
        DAMNAT
        MANDAT
AADMOU: AMADOU
AADMRS: MADRAS
AADMRU: MARAUD
AADMYY: MAYDAY
AADNNO: ADONNA
AADNOR: ADORNA
AADNPR: PANARD
AADNPS: PADANS
        PANDAS
AADNQS: NASDAQ
AADNRS: NASARD
AADNRT: RADANT
AADNSS: DANSAS
AADNST: DANSAT
        TANSAD
AADNSV: VANDAS
AADNTT: DATANT
AADOPS: POSADA
AADOPT: ADOPTA
AADORS: ADORAS
AADORT: ADORAT
        RADOTA
AADOSS: ADOSSA
        ASADOS
AADPRS: DRAPAS
AADPRT: DRAPAT
        PATARD
AADPTU: PATAUD
AADQRU: QUADRA
AADRRS: ADRARS
        RADARS
AADRST: TARDAS
AADRSV: DRAVAS
        VASARD
AADRSY: DRAYAS
AADRTT: TARDAT
AADRTU: DATURA
        TARAUD
AADRTV: DRAVAT
AADRTY: DRAYAT
AADRUV: VAUDRA
AADSTU: TAUDAS
AADTTU: TAUDAT
AAEEGR: AERAGE
        AREAGE
AAEEGT: ETAGEA
AAEELV: AVALEE
AAEELZ: AZALEE
AAEERR: AERERA
AAEERS: ARASEE
AAEFFL: AFFALE
AAEFFM: AFFAME
AAEFFN: EFFANA
AAEFFR: AFFERA
        EFFARA
AAEFGL: FAGALE
AAEFGN: FANAGE
AAEFGR: AGRAFE
AAEFLR: ERAFLA
        RAFALE
AAEFLT: FATALE
AAEFLV: FAVELA
AAEFNR: FANERA
AAEFNS: FAENAS
AAEFPR: PARAFE
AAEFRS: AFARES
AAEFRX: FAXERA
AAEFSY: FASEYA
AAEGGI: AIGAGE
        GAGEAI
AAEGGR: GAGERA
        GARAGE
        RAGAGE
AAEGGS: GAGEAS
AAEGGT: GAGEAT
AAEGGV: GAVAGE
AAEGGW: WAGAGE
AAEGGZ: GAZAGE
AAEGHL: HALAGE
AAEGHV: HAVAGE
AAEGIL: EGALAI
AAEGIM: AGAMIE
        IMAGEA
AAEGIN: NAGEAI
AAEGIP: PAGAIE
        PAGEAI
AAEGIR: AGREAI
        EGARAI
        RAGEAI
AAEGIS: SAGAIE
AAEGIY: EGAYAI
AAEGIZ: ZAGAIE
AAEGJL: GALEJA
AAEGJU: JAUGEA
AAEGLL: ALGALE
AAEGLM: LAMAGE
AAEGLN: AGNELA
        LANGEA
AAEGLP: ALPAGE
AAEGLR: GALERA
        REGALA
AAEGLS: EGALAS
        SALAGE
        SEGALA
AAEGLT: EGALAT
        GALATE
        GALETA
AAEGLU: ELAGUA
AAEGLV: LAVAGE
        VAGALE
AAEGLY: LAYAGE
AAEGMN: ENGAMA
        MAGANE
        MANAGE
        MANGEA
AAEGMR: MARGEA
        RAMAGE
AAEGMS: AGAMES
AAEGMT: GAMATE
        MATAGE
AAEGNR: NAGERA
        RANGEA
AAEGNS: NAGEAS
AAEGNT: AGNATE
        NAGEAT
AAEGNU: AGNEAU
        AUNAGE
AAEGPR: PAGERA
        PARAGE
        RAPAGE
AAEGPS: AGAPES
        PAGEAS
AAEGPT: PAGEAT
        TAPAGE
AAEGPV: PAVAGE
AAEGPY: PAGAYE
AAEGRR: GARERA
        RAGERA
        RAGREA
AAEGRS: AGREAS
        EGARAS
        RAGEAS
        RASAGE
AAEGRT: AGREAT
        EGARAT
        GATERA
        RAGEAT
        RATAGE
        REGATA
        TARAGE
AAEGRV: GAVERA
        RAVAGE
AAEGRY: RAYAGE
AAEGRZ: GAZERA
AAEGSS: AGASSE
AAEGST: AGATES
AAEGSV: AGAVES
AAEGSY: EGAYAS
AAEGTU: GATEAU
AAEGTX: TAXAGE
AAEGTY: EGAYAT
AAEHKT: TAKAHE
AAEHLN: ANHELA
        HALENA
AAEHLR: HALERA
AAEHLT: ALTHEA
        HALETA
AAEHLX: EXHALA
AAEHMR: MEHARA
AAEHMU: HAMEAU
AAEHNR: AHANER
AAEHNS: AHANES
AAEHNV: HAVANE
AAEHNZ: AHANEZ
AAEHRT: HATERA
AAEHRV: HAVERA
AAEILN: ALIENA
        ALINEA
AAEILR: ALAIRE
        LAIERA
AAEILS: ALAISE
        ALESAI
AAEILT: ETALAI
AAEILX: AXIALE
AAEIMN: AMENAI
        ANEMIA
        EMANAI
AAEIMR: AIMERA
AAEIMS: SAAMIE
AAEIMT: AMATIE
        ETAMAI
AAEINT: TAENIA
AAEINU: AUNAIE
AAEINV: AVANIE
AAEIPR: PAIERA
AAEIPS: APAISE
AAEIPT: EPATAI
AAEIRR: AIRERA
        ARAIRE
        RAIERA
AAEIRS: AERAIS
AAEIRT: AERAIT
AAEIRV: AVARIE
        AVERAI
AAEIRX: AXERAI
AAEIST: ASIATE
AAEISV: EVASAI
AAEITX: ATAXIE
AAEITY: ETAYAI
AAEJLV: JAVELA
AAEJMT: MAATJE
AAEJRR: EJARRA
AAEJRS: JASERA
AAEJUV: JAVEAU
AAEKKN: KANAKE
AAEKMW: WAKAME
AAEKRT: KARATE
AAELLP: PAELLA
AAELMP: EMPALA
AAELMR: ALARME
        LAMERA
AAELMX: MALAXE
AAELNN: ANNALE
        ANNELA
AAELNR: RANALE
AAELNS: ANALES
        NASALE
AAELNT: NATALE
AAELNV: LAVANE
        NAVALE
AAELNZ: ALEZAN
AAELPP: APPELA
        PAPALE
AAELPR: ALPERA
        LAPERA
AAELPT: PALETA
AAELPU: EPAULA
AAELRR: RALERA
AAELRS: RESALA
        SALERA
AAELRT: ALERTA
        ALTERA
        RATELA
        RELATA
        TALERA
AAELRV: ARVALE
        AVALER
        LAVERA
        RAVALE
        RELAVA
AAELRX: RELAXA
AAELRY: LAYERA
        RELAYA
AAELSS: ALESAS
AAELST: ALESAT
        ALTEAS
        ETALAS
AAELSV: AVALES
AAELSW: AWALES
AAELTT: ATTELA
        ETALAT
AAELTV: TAVELA
AAELTX: EXALTA
AAELUV: EVALUA
AAELVZ: AVALEZ
AAEMMZ: MAZAME
AAEMNR: RAMENA
AAEMNS: AMENAS
        EMANAS
AAEMNT: AMANTE
        AMENAT
        EMANAT
        ENTAMA
AAEMPR: EMPARA
        PAMERA
AAEMPT: EMPATA
        ETAMPA
AAEMRR: AMARRE
        ARMERA
        RAMERA
        REARMA
AAEMRS: MARAES
        SAMARE
AAEMRT: MATERA
        RETAMA
AAEMRU: RAMEAU
AAEMRZ: MAZERA
AAEMSS: AMASSE
AAEMST: ETAMAS
AAEMSX: AXAMES
AAEMTT: ETAMAT
AAEMTU: AMEUTA
AAENNP: EPANNA
AAENNS: SAANEN
AAENNT: ANNATE
AAENNU: ANNEAU
AAENNX: ANNEXA
AAENNZ: ZENANA
AAENPR: PANERA
AAENPS: PAEANS
AAENPV: PAVANE
AAENRS: ARENAS
AAENRT: AERANT
AAENRU: AUNERA
AAENRY: ENRAYA
AAENSS: ASSENA
